"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"°C"	""	""	""	""	""	""
"05/13/2017 14:50'00"	"42868.6180555556"	"  19.6000"	"  20.1000"	""	""	""	""	""	""	
"05/13/2017 15:00'00"	"42868.6250000000"	"  20.2000"	"  20.2000"	""	""	""	""	""	""	
"05/13/2017 15:10'00"	"42868.6319444444"	"  19.9000"	"  20.2000"	""	""	""	""	""	""	
"05/13/2017 15:20'00"	"42868.6388888889"	"  19.9000"	"  20.3000"	""	""	""	""	""	""	
"05/13/2017 15:30'00"	"42868.6458333333"	"  19.4000"	"  20.4000"	""	""	""	""	""	""	
"05/13/2017 15:40'00"	"42868.6527777778"	"  19.8000"	"  20.3000"	""	""	""	""	""	""	
"05/13/2017 15:50'00"	"42868.6597222222"	"  19.2000"	"  20.4000"	""	""	""	""	""	""	
"05/13/2017 16:00'00"	"42868.6666666667"	"  19.1000"	"  20.4000"	""	""	""	""	""	""	
"05/13/2017 16:10'00"	"42868.6736111111"	"  18.8000"	"  20.4000"	""	""	""	""	""	""	
"05/13/2017 16:20'00"	"42868.6805555556"	"  18.7000"	"  20.4000"	""	""	""	""	""	""	
"05/13/2017 16:30'00"	"42868.6875000000"	"  18.5000"	"  20.4000"	""	""	""	""	""	""	
"05/13/2017 16:40'00"	"42868.6944444444"	"  18.9000"	"  20.3000"	""	""	""	""	""	""	
"05/13/2017 16:50'00"	"42868.7013888889"	"  18.9000"	"  20.4000"	""	""	""	""	""	""	
"05/13/2017 17:00'00"	"42868.7083333333"	"  19.1000"	"  20.3000"	""	""	""	""	""	""	
"05/13/2017 17:10'00"	"42868.7152777778"	"  19.4000"	"  20.4000"	""	""	""	""	""	""	
