< Measurement Data Text Output >									
									
Date/Time	@date()	T60		ch.3	ch.4	ch.5	ch.6	ch.7	ch.8
		°C	°C						
07/16/2019 13:00'00	43662.54167	27.9	25.7						
07/16/2019 13:20'00	43662.55556	26.8	25.7						
07/16/2019 13:40'00	43662.56944	25.6	25.7						
07/16/2019 14:00'00	43662.58333	27	25.6						
07/16/2019 14:20'00	43662.59722	26.6	25.6						
07/16/2019 14:40'00	43662.61111	28.2	25.7						
07/16/2019 15:00'00	43662.625	24.4	25.7						
07/16/2019 15:20'00	43662.63889	25	25.7						
07/16/2019 15:40'00	43662.65278	24	30.8						
07/16/2019 16:00'00	43662.66667	24.6	31.6						
07/16/2019 16:20'00	43662.68056	25.1	30.7						
07/16/2019 16:40'00	43662.69444	24.8	28.7						
07/16/2019 17:00'00	43662.70833	24.5	28						
07/16/2019 17:20'00	43662.72222	25.1	28.1						
07/16/2019 17:40'00	43662.73611	24.9	28.1						
07/16/2019 18:00'00	43662.75	24.6	28						
07/16/2019 18:20'00	43662.76389	24.5	28.1						
07/16/2019 18:40'00	43662.77778	23.8	28						
07/16/2019 19:00'00	43662.79167	23.4	27.9						
07/16/2019 19:20'00	43662.80556	23.1	27.9						
07/16/2019 19:40'00	43662.81944	23.1	27.7						
07/16/2019 20:00'00	43662.83333	23.3	27.5						
07/16/2019 20:20'00	43662.84722	23	27.4						
07/16/2019 20:40'00	43662.86111	23.2	27.2						
07/16/2019 21:00'00	43662.875	23.3	27.2						
07/16/2019 21:20'00	43662.88889	23.3	27.1						
07/16/2019 21:40'00	43662.90278	23.3	27						
07/16/2019 22:00'00	43662.91667	23.3	27						
07/16/2019 22:20'00	43662.93056	23.3	26.9						
07/16/2019 22:40'00	43662.94444	23.5	26.8						
07/16/2019 23:00'00	43662.95833	23.4	26.8						
07/16/2019 23:20'00	43662.97222	23.3	26.8						
07/16/2019 23:40'00	43662.98611	23.2	26.6						
07/17/2019 00:00'00	43663	23.1	26.5						
07/17/2019 00:20'00	43663.01389	23.1	26.5						
07/17/2019 00:40'00	43663.02778	22.9	26.4						
07/17/2019 01:00'00	43663.04167	22.7	26.3						
07/17/2019 01:20'00	43663.05556	22.7	26.2						
07/17/2019 01:40'00	43663.06944	22.8	26.1						
07/17/2019 02:00'00	43663.08333	22.7	25.9						
07/17/2019 02:20'00	43663.09722	22.6	25.7						
07/17/2019 02:40'00	43663.11111	22.4	25.7						
07/17/2019 03:00'00	43663.125	22.5	25.6						
07/17/2019 03:20'00	43663.13889	22.4	25.5						
07/17/2019 03:40'00	43663.15278	22.2	25.4						
07/17/2019 04:00'00	43663.16667	21.9	25.3						
07/17/2019 04:20'00	43663.18056	21.6	25.2						
07/17/2019 04:40'00	43663.19444	21.7	25.1						
07/17/2019 05:00'00	43663.20833	21.9	25.1						
07/17/2019 05:20'00	43663.22222	21.9	25.1						
07/17/2019 05:40'00	43663.23611	22	25						
07/17/2019 06:00'00	43663.25	22.7	25						
07/17/2019 06:20'00	43663.26389	24.1	25.1						
07/17/2019 06:40'00	43663.27778	25.8	25.2						
07/17/2019 07:00'00	43663.29167	26.2	25.4						
07/17/2019 07:20'00	43663.30556	25.1	25.4						
07/17/2019 07:40'00	43663.31944	26.5	25.5						
07/17/2019 08:00'00	43663.33333	26.8	25.6						
07/17/2019 08:20'00	43663.34722	28.1	25.7						
07/17/2019 08:40'00	43663.36111	30.4	26						
07/17/2019 09:00'00	43663.375	31.9	26.4						
07/17/2019 09:20'00	43663.38889	31.4	26.5						
07/17/2019 09:40'00	43663.40278	32.3	26.6						
07/17/2019 10:00'00	43663.41667	33.3	26.8						
07/17/2019 10:20'00	43663.43056	33.2	27						
07/17/2019 10:40'00	43663.44444	33.2	27.3						
07/17/2019 11:00'00	43663.45833	31	27.6						
07/17/2019 11:20'00	43663.47222	28.4	27.6						
07/17/2019 11:40'00	43663.48611	29.9	27.6						
07/17/2019 12:00'00	43663.5	31.9	27.7						
07/17/2019 12:20'00	43663.51389	33.4	27.8						
07/17/2019 12:40'00	43663.52778	31.6	28						
07/17/2019 13:00'00	43663.54167	31.9	28						
07/17/2019 13:20'00	43663.55556	34.1	28.1						
07/17/2019 13:40'00	43663.56944	33	28.2						
07/17/2019 14:00'00	43663.58333	33.5	28.3						
07/17/2019 14:20'00	43663.59722	34.5	28.4						
07/17/2019 14:40'00	43663.61111	32.6	28.5						
07/17/2019 15:00'00	43663.625	30.9	28.6						
07/17/2019 15:20'00	43663.63889	29.9	28.5						
07/17/2019 15:40'00	43663.65278	31.8	28.5						
07/17/2019 16:00'00	43663.66667	31	28.4						
07/17/2019 16:20'00	43663.68056	28.2	28.2						
07/17/2019 16:40'00	43663.69444	28.6	28.1						
07/17/2019 17:00'00	43663.70833	27.8	27.9						
07/17/2019 17:20'00	43663.72222	26.8	27.7						
07/17/2019 17:40'00	43663.73611	26.2	27.6						
07/17/2019 18:00'00	43663.75	26	27.4						
07/17/2019 18:20'00	43663.76389	26.2	27.3						
07/17/2019 18:40'00	43663.77778	26.2	27.1						
07/17/2019 19:00'00	43663.79167	26.1	27.1						
07/17/2019 19:20'00	43663.80556	25.8	27						
07/17/2019 19:40'00	43663.81944	25.7	26.8						
07/17/2019 20:00'00	43663.83333	25.6	26.8						
07/17/2019 20:20'00	43663.84722	25.2	26.7						
07/17/2019 20:40'00	43663.86111	25.1	26.7						
07/17/2019 21:00'00	43663.875	25.2	26.6						
07/17/2019 21:20'00	43663.88889	25	26.6						
07/17/2019 21:40'00	43663.90278	24.8	26.5						
07/17/2019 22:00'00	43663.91667	24.7	26.4						
07/17/2019 22:20'00	43663.93056	24.6	26.3						
07/17/2019 22:40'00	43663.94444	24.6	26.3						
07/17/2019 23:00'00	43663.95833	24.6	26.2						
07/17/2019 23:20'00	43663.97222	24.6	26.2						
07/17/2019 23:40'00	43663.98611	24.6	26.1						
07/18/2019 00:00'00	43664	24.5	26.1						
07/18/2019 00:20'00	43664.01389	24.5	26						
07/18/2019 00:40'00	43664.02778	24.5	25.9						
07/18/2019 01:00'00	43664.04167	24.3	25.8						
07/18/2019 01:20'00	43664.05556	24.3	25.8						
07/18/2019 01:40'00	43664.06944	24.3	25.8						
07/18/2019 02:00'00	43664.08333	24.3	25.7						
07/18/2019 02:20'00	43664.09722	24.3	25.7						
07/18/2019 02:40'00	43664.11111	24.3	25.7						
07/18/2019 03:00'00	43664.125	24.2	25.7						
07/18/2019 03:20'00	43664.13889	24	25.6						
07/18/2019 03:40'00	43664.15278	24.2	25.6						
07/18/2019 04:00'00	43664.16667	24	25.6						
07/18/2019 04:20'00	43664.18056	24	25.6						
07/18/2019 04:40'00	43664.19444	23.9	25.6						
07/18/2019 05:00'00	43664.20833	23.9	25.5						
07/18/2019 05:20'00	43664.22222	23.9	25.5						
07/18/2019 05:40'00	43664.23611	24.2	25.5						
07/18/2019 06:00'00	43664.25	25	25.5						
07/18/2019 06:20'00	43664.26389	25.4	25.5						
07/18/2019 06:40'00	43664.27778	27.5	25.5						
07/18/2019 07:00'00	43664.29167	28.9	25.6						
07/18/2019 07:20'00	43664.30556	27.9	25.8						
07/18/2019 07:40'00	43664.31944	27.8	25.8						
07/18/2019 08:00'00	43664.33333	32.3	26						
07/18/2019 08:20'00	43664.34722	30	26.2						
07/18/2019 08:40'00	43664.36111	28.7	26.4						
07/18/2019 09:00'00	43664.375	28.8	26.5						
07/18/2019 09:20'00	43664.38889	29.2	26.6						
07/18/2019 09:40'00	43664.40278	29.8	26.4						
07/18/2019 10:00'00	43664.41667	31.9	26.5						
07/18/2019 10:20'00	43664.43056	28.6	26.6						
07/18/2019 10:40'00	43664.44444	28.1	26.6						
07/18/2019 11:00'00	43664.45833	30	26.7						
07/18/2019 11:20'00	43664.47222	30.7	26.8						
07/18/2019 11:40'00	43664.48611	32.7	27						
07/18/2019 12:00'00	43664.5	33.8	27.2						
07/18/2019 12:20'00	43664.51389	33.2	27.5						
07/18/2019 12:40'00	43664.52778	32	27.7						
07/18/2019 13:00'00	43664.54167	32.9	27.7						
07/18/2019 13:20'00	43664.55556	32.1	27.9						
07/18/2019 13:40'00	43664.56944	33.5	28.1						
07/18/2019 14:00'00	43664.58333	32.4	28.2						
07/18/2019 14:20'00	43664.59722	31.3	28.3						
07/18/2019 14:40'00	43664.61111	29.2	28.3						
07/18/2019 15:00'00	43664.625	30.1	28.2						
07/18/2019 15:20'00	43664.63889	30.2	28.2						
07/18/2019 15:40'00	43664.65278	29.3	28.1						
07/18/2019 16:00'00	43664.66667	28.3	28.1						
07/18/2019 16:20'00	43664.68056	27.5	28						
07/18/2019 16:40'00	43664.69444	26.1	27.9						
07/18/2019 17:00'00	43664.70833	26.8	27.8						
07/18/2019 17:20'00	43664.72222	26.3	27.6						
07/18/2019 17:40'00	43664.73611	26	27.5						
07/18/2019 18:00'00	43664.75	26	27.5						
07/18/2019 18:20'00	43664.76389	26	27.4						
07/18/2019 18:40'00	43664.77778	25.9	27.4						
07/18/2019 19:00'00	43664.79167	25.9	27.2						
07/18/2019 19:20'00	43664.80556	25.7	27.2						
07/18/2019 19:40'00	43664.81944	23.9	27						
07/18/2019 20:00'00	43664.83333	24.4	26.9						
07/18/2019 20:20'00	43664.84722	24.8	26.8						
07/18/2019 20:40'00	43664.86111	24.9	26.7						
07/18/2019 21:00'00	43664.875	25.1	26.7						
07/18/2019 21:20'00	43664.88889	25	26.6						
07/18/2019 21:40'00	43664.90278	24	26.5						
07/18/2019 22:00'00	43664.91667	23.8	26.4						
07/18/2019 22:20'00	43664.93056	23.3	26.3						
07/18/2019 22:40'00	43664.94444	23.5	26.2						
07/18/2019 23:00'00	43664.95833	23.6	26.1						
07/18/2019 23:20'00	43664.97222	23.4	26						
07/18/2019 23:40'00	43664.98611	23.4	25.9						
07/19/2019 00:00'00	43665	23.3	25.8						
07/19/2019 00:20'00	43665.01389	23.5	25.8						
07/19/2019 00:40'00	43665.02778	23.6	25.8						
07/19/2019 01:00'00	43665.04167	23.7	25.7						
07/19/2019 01:20'00	43665.05556	23.4	25.7						
07/19/2019 01:40'00	43665.06944	23.3	25.6						
07/19/2019 02:00'00	43665.08333	23.1	25.5						
07/19/2019 02:20'00	43665.09722	23	25.5						
07/19/2019 02:40'00	43665.11111	22.9	25.4						
07/19/2019 03:00'00	43665.125	22.9	25.3						
07/19/2019 03:20'00	43665.13889	22.9	25.3						
07/19/2019 03:40'00	43665.15278	23.2	25.3						
07/19/2019 04:00'00	43665.16667	23	25.3						
07/19/2019 04:20'00	43665.18056	23	25.2						
07/19/2019 04:40'00	43665.19444	23.1	25.2						
07/19/2019 05:00'00	43665.20833	22.9	25.1						
07/19/2019 05:20'00	43665.22222	23	25.1						
07/19/2019 05:40'00	43665.23611	23.3	25.1						
07/19/2019 06:00'00	43665.25	24	25.1						
07/19/2019 06:20'00	43665.26389	24	25.1						
07/19/2019 06:40'00	43665.27778	24.8	25.2						
07/19/2019 07:00'00	43665.29167	24.6	25.2						
07/19/2019 07:20'00	43665.30556	25.4	25.2						
07/19/2019 07:40'00	43665.31944	26	25.3						
07/19/2019 08:00'00	43665.33333	26.7	25.4						
07/19/2019 08:20'00	43665.34722	27.3	25.5						
07/19/2019 08:40'00	43665.36111	27.3	25.6						
07/19/2019 09:00'00	43665.375	28.2	25.7						
07/19/2019 09:20'00	43665.38889	29.9	25.8						
07/19/2019 09:40'00	43665.40278	30.5	25.9						
07/19/2019 10:00'00	43665.41667	31.6	26.1						
07/19/2019 10:20'00	43665.43056	31.3	26.4						
07/19/2019 10:40'00	43665.44444	33.7	26.6						
07/19/2019 11:00'00	43665.45833	30.4	26.8						
07/19/2019 11:20'00	43665.47222	29.1	26.9						
07/19/2019 11:40'00	43665.48611	29.2	26.9						
07/19/2019 12:00'00	43665.5	31.5	27						
07/19/2019 12:20'00	43665.51389	31.3	27.1						
07/19/2019 12:40'00	43665.52778	32	27.2						
07/19/2019 13:00'00	43665.54167	29.9	27.3						
07/19/2019 13:20'00	43665.55556	28.9	27.2						
07/19/2019 13:40'00	43665.56944	29.5	27.2						
07/19/2019 14:00'00	43665.58333	30.7	27.2						
07/19/2019 14:20'00	43665.59722	29.4	27.3						
07/19/2019 14:40'00	43665.61111	30.2	27.3						
07/19/2019 15:00'00	43665.625	31.7	27.3						
07/19/2019 15:20'00	43665.63889	28.6	27.4						
07/19/2019 15:40'00	43665.65278	27.7	27.4						
07/19/2019 16:00'00	43665.66667	27.3	27.2						
07/19/2019 16:20'00	43665.68056	26.7	27.2						
07/19/2019 16:40'00	43665.69444	26.5	27.1						
07/19/2019 17:00'00	43665.70833	26.2	27						
07/19/2019 17:20'00	43665.72222	26.2	26.9						
07/19/2019 17:40'00	43665.73611	25.7	26.8						
07/19/2019 18:00'00	43665.75	24.9	26.7						
07/19/2019 18:20'00	43665.76389	25	26.6						
07/19/2019 18:40'00	43665.77778	24.9	26.6						
07/19/2019 19:00'00	43665.79167	24.8	26.5						
07/19/2019 19:20'00	43665.80556	24.7	26.4						
07/19/2019 19:40'00	43665.81944	24.8	26.4						
07/19/2019 20:00'00	43665.83333	24.6	26.3						
07/19/2019 20:20'00	43665.84722	24.6	26.3						
07/19/2019 20:40'00	43665.86111	24.6	26.2						
07/19/2019 21:00'00	43665.875	24.5	26.2						
07/19/2019 21:20'00	43665.88889	24.4	26.2						
07/19/2019 21:40'00	43665.90278	24.4	26.2						
07/19/2019 22:00'00	43665.91667	24.3	26.1						
07/19/2019 22:20'00	43665.93056	24.3	26						
07/19/2019 22:40'00	43665.94444	24.3	26						
07/19/2019 23:00'00	43665.95833	24.2	26						
07/19/2019 23:20'00	43665.97222	24.2	25.9						
07/19/2019 23:40'00	43665.98611	24.2	25.9						
07/20/2019 00:00'00	43666	24	25.9						
07/20/2019 00:20'00	43666.01389	24.2	25.9						
07/20/2019 00:40'00	43666.02778	24.1	25.8						
07/20/2019 01:00'00	43666.04167	24	25.8						
07/20/2019 01:20'00	43666.05556	24	25.8						
07/20/2019 01:40'00	43666.06944	24	25.7						
07/20/2019 02:00'00	43666.08333	24	25.7						
07/20/2019 02:20'00	43666.09722	23.8	25.7						
07/20/2019 02:40'00	43666.11111	24	25.7						
07/20/2019 03:00'00	43666.125	23.8	25.6						
07/20/2019 03:20'00	43666.13889	23.8	25.6						
07/20/2019 03:40'00	43666.15278	23.8	25.5						
07/20/2019 04:00'00	43666.16667	23.9	25.5						
07/20/2019 04:20'00	43666.18056	23.8	25.5						
07/20/2019 04:40'00	43666.19444	23.7	25.5						
07/20/2019 05:00'00	43666.20833	23.7	25.5						
07/20/2019 05:20'00	43666.22222	23.8	25.4						
07/20/2019 05:40'00	43666.23611	23.8	25.4						
07/20/2019 06:00'00	43666.25	24.2	25.4						
07/20/2019 06:20'00	43666.26389	24.5	25.4						
07/20/2019 06:40'00	43666.27778	25.2	25.4						
07/20/2019 07:00'00	43666.29167	26.1	25.4						
07/20/2019 07:20'00	43666.30556	26.9	25.5						
07/20/2019 07:40'00	43666.31944	29.2	25.5						
07/20/2019 08:00'00	43666.33333	28.1	25.7						
07/20/2019 08:20'00	43666.34722	28.1	25.8						
07/20/2019 08:40'00	43666.36111	29.4	26						
07/20/2019 09:00'00	43666.375	31.3	26.1						
07/20/2019 09:20'00	43666.38889	31.4	26.2						
07/20/2019 09:40'00	43666.40278	31.2	26.4						
07/20/2019 10:00'00	43666.41667	31.4	26.5						
07/20/2019 10:20'00	43666.43056	30.9	26.7						
07/20/2019 10:40'00	43666.44444	27.7	33						
07/20/2019 11:00'00	43666.45833	27.5	33						
07/20/2019 11:20'00	43666.47222	27.9	31.2						
07/20/2019 11:40'00	43666.48611	27.6	29.5						
07/20/2019 12:00'00	43666.5	29.6	29.8						
07/20/2019 12:20'00	43666.51389	30.2	29.8						
07/20/2019 12:40'00	43666.52778	30.2	29.9						
07/20/2019 13:00'00	43666.54167	30.5	30						
07/20/2019 13:20'00	43666.55556	29.9	29.9						
07/20/2019 13:40'00	43666.56944	29.3	29.9						
07/20/2019 14:00'00	43666.58333	29.8	29.9						
07/20/2019 14:20'00	43666.59722	29.4	29.9						
07/20/2019 14:40'00	43666.61111	29.4	30						
07/20/2019 15:00'00	43666.625	29.4	30						
07/20/2019 15:20'00	43666.63889	29.4	29.9						
07/20/2019 15:40'00	43666.65278	29.2	29.8						
07/20/2019 16:00'00	43666.66667	28.8	29.7						
07/20/2019 16:20'00	43666.68056	28.6	29.7						
07/20/2019 16:40'00	43666.69444	28.7	29.7						
07/20/2019 17:00'00	43666.70833	28.3	29.6						
07/20/2019 17:20'00	43666.72222	27.8	29.5						
07/20/2019 17:40'00	43666.73611	27.5	29.5						
07/20/2019 18:00'00	43666.75	26.9	29.3						
07/20/2019 18:20'00	43666.76389	26.5	29.2						
07/20/2019 18:40'00	43666.77778	26.1	29						
07/20/2019 19:00'00	43666.79167	25.8	28.9						
07/20/2019 19:20'00	43666.80556	25.7	28.7						
07/20/2019 19:40'00	43666.81944	25.5	28.6						
07/20/2019 20:00'00	43666.83333	25.5	28.5						
07/20/2019 20:20'00	43666.84722	25.2	28.4						
07/20/2019 20:40'00	43666.86111	25.3	28.3						
07/20/2019 21:00'00	43666.875	25.1	27.9						
07/20/2019 21:20'00	43666.88889	25	27.8						
07/20/2019 21:40'00	43666.90278	24.9	27.7						
07/20/2019 22:00'00	43666.91667	24.7	27.6						
07/20/2019 22:20'00	43666.93056	24.9	27.6						
07/20/2019 22:40'00	43666.94444	24.8	27.5						
07/20/2019 23:00'00	43666.95833	24.8	27.4						
07/20/2019 23:20'00	43666.97222	24.8	27.4						
07/20/2019 23:40'00	43666.98611	24.6	27.3						
07/21/2019 00:00'00	43667	24.6	27.2						
07/21/2019 00:20'00	43667.01389	24.5	27.1						
07/21/2019 00:40'00	43667.02778	24.5	27.1						
07/21/2019 01:00'00	43667.04167	24.7	27						
07/21/2019 01:20'00	43667.05556	24.7	27						
07/21/2019 01:40'00	43667.06944	24.6	26.9						
07/21/2019 02:00'00	43667.08333	24.6	26.9						
07/21/2019 02:20'00	43667.09722	24.8	26.9						
07/21/2019 02:40'00	43667.11111	24.8	26.8						
07/21/2019 03:00'00	43667.125	24.6	26.8						
07/21/2019 03:20'00	43667.13889	24.5	26.7						
07/21/2019 03:40'00	43667.15278	24.3	26.7						
07/21/2019 04:00'00	43667.16667	24	26.6						
07/21/2019 04:20'00	43667.18056	23.8	26.5						
07/21/2019 04:40'00	43667.19444	23.8	26.4						
07/21/2019 05:00'00	43667.20833	23.8	26.4						
07/21/2019 05:20'00	43667.22222	24.1	26.3						
07/21/2019 05:40'00	43667.23611	24.6	26.3						
07/21/2019 06:00'00	43667.25	24.7	26.2						
07/21/2019 06:20'00	43667.26389	25	26.3						
07/21/2019 06:40'00	43667.27778	25.9	26.3						
07/21/2019 07:00'00	43667.29167	27.1	26.4						
07/21/2019 07:20'00	43667.30556	27.4	26.4						
07/21/2019 07:40'00	43667.31944	28	26.5						
07/21/2019 08:00'00	43667.33333	27.7	26.5						
07/21/2019 08:20'00	43667.34722	27.5	26.6						
07/21/2019 08:40'00	43667.36111	28.1	26.6						
07/21/2019 09:00'00	43667.375	29.1	26.6						
07/21/2019 09:20'00	43667.38889	29.7	26.7						
07/21/2019 09:40'00	43667.40278	31.4	26.9						
07/21/2019 10:00'00	43667.41667	32.1	27						
07/21/2019 10:20'00	43667.43056	31.3	27.1						
07/21/2019 10:40'00	43667.44444	31.3	27.2						
07/21/2019 11:00'00	43667.45833	30.7	27.4						
07/21/2019 11:20'00	43667.47222	31.8	27.4						
07/21/2019 11:40'00	43667.48611	31.9	27.5						
07/21/2019 12:00'00	43667.5	31.8	27.6						
07/21/2019 12:20'00	43667.51389	30.2	27.6						
07/21/2019 12:40'00	43667.52778	30.7	27.6						
07/21/2019 13:00'00	43667.54167	31.3	27.6						
07/21/2019 13:20'00	43667.55556	30.3	27.6						
07/21/2019 13:40'00	43667.56944	29.6	27.7						
07/21/2019 14:00'00	43667.58333	30	27.7						
07/21/2019 14:20'00	43667.59722	29.4	27.6						
07/21/2019 14:40'00	43667.61111	29.7	27.6						
07/21/2019 15:00'00	43667.625	29.7	27.6						
07/21/2019 15:20'00	43667.63889	29.7	27.7						
07/21/2019 15:40'00	43667.65278	29.5	27.7						
07/21/2019 16:00'00	43667.66667	29.8	27.7						
07/21/2019 16:20'00	43667.68056	29	27.7						
07/21/2019 16:40'00	43667.69444	28.3	27.7						
07/21/2019 17:00'00	43667.70833	28.5	27.6						
07/21/2019 17:20'00	43667.72222	28.1	27.6						
07/21/2019 17:40'00	43667.73611	28.2	27.6						
07/21/2019 18:00'00	43667.75	28.2	27.5						
07/21/2019 18:20'00	43667.76389	27.5	27.5						
07/21/2019 18:40'00	43667.77778	27	27.4						
07/21/2019 19:00'00	43667.79167	26.6	27.4						
07/21/2019 19:20'00	43667.80556	26.2	27.3						
07/21/2019 19:40'00	43667.81944	26.2	27.2						
07/21/2019 20:00'00	43667.83333	26.4	27.2						
07/21/2019 20:20'00	43667.84722	26.4	27.1						
07/21/2019 20:40'00	43667.86111	26.1	27.1						
07/21/2019 21:00'00	43667.875	25.8	27						
07/21/2019 21:20'00	43667.88889	25.8	27						
07/21/2019 21:40'00	43667.90278	25.7	26.9						
07/21/2019 22:00'00	43667.91667	25.8	26.9						
07/21/2019 22:20'00	43667.93056	25.6	26.9						
07/21/2019 22:40'00	43667.94444	25.5	26.9						
07/21/2019 23:00'00	43667.95833	25.5	26.8						
07/21/2019 23:20'00	43667.97222	25.6	26.7						
07/21/2019 23:40'00	43667.98611	25.8	26.7						
07/22/2019 00:00'00	43668	25.8	26.7						
07/22/2019 00:20'00	43668.01389	25.9	26.7						
07/22/2019 00:40'00	43668.02778	25.8	26.7						
07/22/2019 01:00'00	43668.04167	25.9	26.7						
07/22/2019 01:20'00	43668.05556	25.9	26.7						
07/22/2019 01:40'00	43668.06944	25.9	26.6						
07/22/2019 02:00'00	43668.08333	25.7	26.6						
07/22/2019 02:20'00	43668.09722	25.3	26.6						
07/22/2019 02:40'00	43668.11111	25.4	26.6						
07/22/2019 03:00'00	43668.125	25.4	26.6						
07/22/2019 03:20'00	43668.13889	25.2	26.5						
07/22/2019 03:40'00	43668.15278	24.9	26.5						
07/22/2019 04:00'00	43668.16667	24.8	26.4						
07/22/2019 04:20'00	43668.18056	24.7	26.3						
07/22/2019 04:40'00	43668.19444	24.6	26.3						
07/22/2019 05:00'00	43668.20833	24.6	26.2						
07/22/2019 05:20'00	43668.22222	24.8	26.2						
07/22/2019 05:40'00	43668.23611	25	26.2						
07/22/2019 06:00'00	43668.25	25.8	26.2						
07/22/2019 06:20'00	43668.26389	26.4	26.2						
07/22/2019 06:40'00	43668.27778	27.7	26.2						
07/22/2019 07:00'00	43668.29167	28.1	26.2						
07/22/2019 07:20'00	43668.30556	27.8	26.4						
07/22/2019 07:40'00	43668.31944	30.3	26.5						
07/22/2019 08:00'00	43668.33333	29.8	26.5						
07/22/2019 08:20'00	43668.34722	29.7	26.7						
07/22/2019 08:40'00	43668.36111	29.9	26.8						
07/22/2019 09:00'00	43668.375	29.3	26.7						
07/22/2019 09:20'00	43668.38889	29.2	26.8						
07/22/2019 09:40'00	43668.40278	28.6	26.8						
07/22/2019 10:00'00	43668.41667	29.6	26.9						
07/22/2019 10:20'00	43668.43056	30.1	27						
07/22/2019 10:40'00	43668.44444	29.2	27.1						
07/22/2019 11:00'00	43668.45833	29.5	27.1						
07/22/2019 11:20'00	43668.47222	29.9	27.2						
07/22/2019 11:40'00	43668.48611	28.5	27.3						
07/22/2019 12:00'00	43668.5	28.7	27.3						
07/22/2019 12:20'00	43668.51389	28.2	27.3						
07/22/2019 12:40'00	43668.52778	28.3	27.2						
07/22/2019 13:00'00	43668.54167	28.2	27.2						
07/22/2019 13:20'00	43668.55556	29.8	27.2						
07/22/2019 13:40'00	43668.56944	30.3	27.3						
07/22/2019 14:00'00	43668.58333	29.2	27.4						
07/22/2019 14:20'00	43668.59722	29.6	27.4						
07/22/2019 14:40'00	43668.61111	30.2	27.5						
07/22/2019 15:00'00	43668.625	29.5	27.6						
07/22/2019 15:20'00	43668.63889	28.7	27.5						
07/22/2019 15:40'00	43668.65278	28.1	27.6						
07/22/2019 16:00'00	43668.66667	29.4	27.5						
07/22/2019 16:20'00	43668.68056	28.5	27.6						
07/22/2019 16:40'00	43668.69444	28.3	27.6						
07/22/2019 17:00'00	43668.70833	28.1	27.5						
07/22/2019 17:20'00	43668.72222	27.2	27.5						
07/22/2019 17:40'00	43668.73611	27	27.5						
07/22/2019 18:00'00	43668.75	26.7	27.4						
07/22/2019 18:20'00	43668.76389	26.6	27.4						
07/22/2019 18:40'00	43668.77778	26.2	27.3						
07/22/2019 19:00'00	43668.79167	26.2	27.2						
07/22/2019 19:20'00	43668.80556	26	27.2						
07/22/2019 19:40'00	43668.81944	25.9	27.2						
07/22/2019 20:00'00	43668.83333	25.8	27.1						
07/22/2019 20:20'00	43668.84722	25.8	27.1						
07/22/2019 20:40'00	43668.86111	25.8	27						
07/22/2019 21:00'00	43668.875	25.7	27						
07/22/2019 21:20'00	43668.88889	25.3	26.9						
07/22/2019 21:40'00	43668.90278	24.8	26.8						
07/22/2019 22:00'00	43668.91667	24.6	26.7						
07/22/2019 22:20'00	43668.93056	24.6	26.6						
07/22/2019 22:40'00	43668.94444	24.8	26.6						
07/22/2019 23:00'00	43668.95833	24.8	26.5						
07/22/2019 23:20'00	43668.97222	24.9	26.5						
07/22/2019 23:40'00	43668.98611	24.5	26.4						
07/23/2019 00:00'00	43669	24.2	26.4						
07/23/2019 00:20'00	43669.01389	24.1	26.3						
07/23/2019 00:40'00	43669.02778	24.1	26.2						
07/23/2019 01:00'00	43669.04167	24.1	26.1						
07/23/2019 01:20'00	43669.05556	24.2	26.1						
07/23/2019 01:40'00	43669.06944	24.4	26.1						
07/23/2019 02:00'00	43669.08333	24.3	26.1						
07/23/2019 02:20'00	43669.09722	24.2	26						
07/23/2019 02:40'00	43669.11111	24	26						
07/23/2019 03:00'00	43669.125	23.9	25.9						
07/23/2019 03:20'00	43669.13889	23.7	25.9						
07/23/2019 03:40'00	43669.15278	23.7	25.8						
07/23/2019 04:00'00	43669.16667	23.5	25.8						
07/23/2019 04:20'00	43669.18056	23.4	25.7						
07/23/2019 04:40'00	43669.19444	23.2	25.7						
07/23/2019 05:00'00	43669.20833	23.4	25.6						
07/23/2019 05:20'00	43669.22222	23.7	25.5						
07/23/2019 05:40'00	43669.23611	24.3	25.5						
07/23/2019 06:00'00	43669.25	26.5	25.6						
07/23/2019 06:20'00	43669.26389	29.6	25.7						
07/23/2019 06:40'00	43669.27778	30.6	25.8						
07/23/2019 07:00'00	43669.29167	33.9	26						
07/23/2019 07:20'00	43669.30556	32.7	26.3						
07/23/2019 07:40'00	43669.31944	33.4	26.6						
07/23/2019 08:00'00	43669.33333	28.6	26.7						
07/23/2019 08:20'00	43669.34722	33.4	26.8						
07/23/2019 08:40'00	43669.36111	32.3	27						
07/23/2019 09:00'00	43669.375	33.7	27.1						
07/23/2019 09:20'00	43669.38889	35.4	27.2						
07/23/2019 09:40'00	43669.40278	34.9	27.5						
07/23/2019 10:00'00	43669.41667	34.8	27.7						
07/23/2019 10:20'00	43669.43056	33.6	27.8						
07/23/2019 10:40'00	43669.44444	33.6	28						
07/23/2019 11:00'00	43669.45833	35.4	28.1						
07/23/2019 11:20'00	43669.47222	35.9	28.3						
07/23/2019 11:40'00	43669.48611	34.5	28.3						
07/23/2019 12:00'00	43669.5	35.6	28.5						
07/23/2019 12:20'00	43669.51389	34.7	28.6						
07/23/2019 12:40'00	43669.52778	34	28.7						
07/23/2019 13:00'00	43669.54167	34.7	28.8						
07/23/2019 13:20'00	43669.55556	34.3	28.9						
