date,T20_x,ST_x,T60_x,H_x,T20_y,ST_y,T60_y,H_y,T20,ST,T60,H
2016-11-16,15.216666666666676,15.367361111111117,13.829861111111109,82.1875,7.2,13.3,8.5,55,31.9,18.0,23.7,94
2016-11-17,14.081944444444442,14.597916666666666,13.084722222222227,83.58333333333333,7.3,12.7,8.2,58,28.0,16.7,21.1,98
2016-11-18,16.63819444444445,15.375000000000012,15.513194444444448,89.25694444444444,7.8,13.2,8.9,69,31.7,18.0,24.4,100
2016-11-19,16.190972222222232,16.21944444444445,15.968749999999993,97.63888888888889,13.7,15.5,14.2,86,24.4,17.2,20.3,100
2016-11-20,18.555555555555546,17.095833333333346,17.513194444444455,92.17361111111111,12.4,15.5,13.1,70,30.7,18.9,24.6,100
2016-11-21,16.815277777777773,16.850694444444414,16.539583333333333,94.95833333333333,12.2,15.8,13.0,80,24.0,17.7,20.6,100
2016-11-22,17.95694444444446,17.34652777777778,17.025694444444436,89.95833333333333,11.8,16.0,12.8,65,28.9,18.9,22.9,100
2016-11-23,14.896527777777777,15.793750000000005,14.295833333333333,87.60416666666667,11.2,14.7,11.7,60,23.7,16.8,18.8,100
2016-11-24,12.661111111111104,14.51041666666667,12.407638888888888,91.98611111111111,6.8,12.8,7.8,71,26.8,16.5,21.5,99
2016-11-25,13.078472222222222,13.574305555555558,12.258333333333333,85.76388888888889,6.0,11.6,7.0,61,27.3,15.8,21.4,95
2016-11-26,15.877083333333335,14.826388888888902,14.886805555555554,84.125,10.8,13.4,11.3,62,28.5,16.7,22.9,98
2016-11-27,16.843055555555566,16.093749999999982,16.310416666666665,96.56944444444444,13.9,15.3,14.3,87,27.9,17.2,22.7,100
2016-11-28,15.861111111111105,15.91249999999999,15.106944444444443,87.11111111111111,12.6,15.1,13.1,66,27.9,16.9,21.1,100
2016-11-29,16.008333333333326,15.454166666666664,14.836805555555552,84.41666666666667,12.5,14.7,12.9,61,27.0,17.0,20.6,97
2016-11-30,15.72013888888889,15.571527777777781,15.152083333333337,88.83333333333333,12.6,14.7,13.0,69,25.6,16.9,21.0,98
2016-12-01,16.41458333333334,15.984722222222226,15.907638888888888,93.54861111111111,13.3,15.2,13.6,77,27.5,17.1,22.7,100
2016-12-02,15.065972222222216,15.365972222222233,14.265972222222217,83.53472222222223,12.5,14.9,13.0,55,23.1,16.2,18.1,100
2016-12-03,16.427083333333332,15.578472222222226,15.343749999999996,84.4375,12.3,14.6,12.7,61,28.3,17.5,23.3,94
2016-12-04,16.995833333333334,16.04513888888887,16.138194444444437,88.72916666666667,12.4,14.8,12.8,69,29.7,17.8,23.9,98
2016-12-05,16.560416666666672,16.250694444444456,15.741666666666662,89.45833333333333,13.1,15.4,13.5,64,25.7,17.4,20.5,100
2016-12-06,15.39027777777779,15.640277777777776,14.649305555555562,85.40972222222223,12.3,14.8,12.6,60,26.0,16.8,20.3,99
2016-12-07,15.179166666666655,15.049999999999995,14.131944444444446,82.24305555555556,12.1,14.4,12.3,58,23.8,16.2,18.3,93
2016-12-08,15.426388888888892,15.101388888888879,14.375000000000009,81.83333333333333,12.0,14.5,12.2,59,25.7,16.6,20.3,94
2016-12-09,16.51736111111111,15.206249999999992,15.519444444444446,85.22222222222223,12.3,14.1,12.5,65,27.3,16.6,22.6,94
2016-12-10,15.156944444444441,15.104861111111111,14.121527777777779,83.03472222222223,12.1,14.5,12.3,59,25.8,16.3,20.4,94
2016-12-11,15.209722222222227,14.802083333333343,13.947916666666664,80.86111111111111,11.9,14.2,12.0,59,24.9,16.2,19.0,92
2016-12-12,15.072222222222216,14.845833333333323,14.245138888888887,83.36111111111111,11.9,14.1,12.0,64,25.2,16.2,20.2,93
2016-12-13,14.285416666666672,14.859027777777804,14.046527777777769,89.75694444444444,12.6,14.5,12.9,79,18.6,15.4,16.8,97
2016-12-14,15.799999999999999,15.297222222222214,14.793055555555554,85.19444444444444,12.2,14.6,12.3,63,27.1,17.0,21.7,98
2016-12-15,14.388888888888882,14.45972222222222,13.271527777777779,80.20833333333333,11.9,14.2,12.1,54,20.7,15.1,16.5,88
2016-12-16,14.278472222222222,14.377083333333335,13.160416666666663,86.04166666666667,11.1,13.7,11.0,57,23.3,15.5,17.8,100
2016-12-17,14.965972222222225,14.075694444444444,13.727083333333333,86.55555555555556,11.3,12.5,11.3,62,25.9,15.2,19.6,99
2016-12-18,16.034027777777784,15.000000000000004,14.996527777777775,85.5,12.1,13.9,12.2,68,27.7,17.0,22.5,92
2016-12-19,16.315277777777776,15.574999999999996,15.404861111111112,85.81944444444444,12.4,14.5,12.7,66,26.9,17.5,23.0,93
2016-12-20,15.260416666666666,15.46180555555554,14.915277777777776,89.54166666666667,12.5,14.7,12.8,83,21.4,16.7,19.5,93
2016-12-21,16.53402777777778,15.834722222222231,15.662499999999998,86.42361111111111,12.5,14.7,12.7,66,28.7,17.8,23.7,94
2016-12-22,15.731250000000001,15.743750000000018,15.527083333333328,94.05555555555556,12.6,15.0,13.0,88,21.2,16.4,19.2,100
2016-12-23,15.360416666666659,16.020138888888898,15.102777777777785,91.90972222222223,12.9,15.3,13.2,78,22.7,16.7,19.4,100
2016-12-24,15.52916666666666,15.590277777777775,14.669444444444455,85.11805555555556,12.7,14.9,12.9,62,25.9,17.0,20.4,94
2016-12-25,15.679166666666662,15.653472222222213,15.00138888888889,84.47916666666667,12.4,14.8,12.7,61,24.3,17.2,21.7,92
2016-12-26,16.06111111111111,15.844444444444438,15.446527777777781,85.55555555555556,12.3,14.8,12.5,65,26.9,17.5,22.9,93
2016-12-27,15.631944444444441,15.986111111111102,15.38472222222223,91.96527777777777,12.7,15.3,13.0,83,25.4,17.5,22.4,99
2016-12-28,16.686805555555555,16.0486111111111,15.449999999999992,85.27083333333333,12.1,14.8,12.2,71,33.0,18.6,26.4,92
2016-12-29,17.127083333333342,16.374305555555562,16.17916666666667,86.76388888888889,12.3,15.1,12.5,78,34.2,19.1,27.9,92
2016-12-30,17.010416666666657,16.34652777777778,15.73472222222221,85.45833333333333,12.0,15.0,12.3,73,33.9,19.1,27.4,90
2016-12-31,17.368055555555554,16.14097222222223,16.125694444444445,88.59722222222223,12.1,15.0,12.3,81,34.9,19.4,28.2,94
2017-01-01,17.463194444444447,16.461805555555554,16.39027777777778,92.9375,12.4,15.0,12.6,80,35.1,19.2,28.7,99
2017-01-02,17.607638888888896,16.78958333333333,16.6,95.27777777777777,12.3,15.3,12.6,70,35.9,19.7,29.2,100
2017-01-03,16.61875,16.713888888888892,16.077083333333327,95.52777777777777,12.6,15.7,13.0,75,33.5,18.9,28.6,100
2017-01-04,16.819444444444443,16.665972222222223,16.10069444444444,92.45138888888889,12.5,15.5,12.7,70,29.8,19.1,25.9,100
2017-01-05,16.21597222222222,16.315972222222225,15.279166666666665,90.03472222222223,12.0,15.2,12.2,59,32.3,18.5,26.2,99
2017-01-06,14.99097222222222,15.810416666666676,14.672222222222226,94.22222222222223,11.8,14.9,11.9,87,22.4,17.4,21.1,100
2017-01-07,17.341666666666672,16.39444444444444,16.319444444444446,92.60416666666667,11.9,14.8,12.1,70,36.5,19.5,30.3,100
2017-01-08,13.627083333333337,15.395138888888871,13.557638888888892,98.92361111111111,12.7,15.0,13.0,94,15.6,15.9,15.3,100
2017-01-09,16.63472222222221,15.896527777777761,15.542361111111124,92.88888888888889,12.6,14.8,12.8,68,30.5,18.1,25.4,100
