"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"08/01/2017 00:00'00"	"42948.0000000000"	"  26.7000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 00:10'00"	"42948.0069444444"	"  26.5000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 00:20'00"	"42948.0138888889"	"  26.4000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 00:30'00"	"42948.0208333333"	"  26.2000"	"  95.0000"	""	""	""	""	""	""	
"08/01/2017 00:40'00"	"42948.0277777778"	"  26.4000"	"  95.0000"	""	""	""	""	""	""	
"08/01/2017 00:50'00"	"42948.0347222222"	"  26.4000"	"  96.0000"	""	""	""	""	""	""	
"08/01/2017 01:00'00"	"42948.0416666667"	"  26.2000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 01:10'00"	"42948.0486111111"	"  26.3000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 01:20'00"	"42948.0555555556"	"  26.3000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 01:30'00"	"42948.0625000000"	"  26.4000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 01:40'00"	"42948.0694444444"	"  26.1000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 01:50'00"	"42948.0763888889"	"  26.1000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 02:00'00"	"42948.0833333333"	"  25.8000"	"  97.0000"	""	""	""	""	""	""	
"08/01/2017 02:10'00"	"42948.0902777778"	"  25.8000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 02:20'00"	"42948.0972222222"	"  25.8000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 02:30'00"	"42948.1041666667"	"  25.8000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 02:40'00"	"42948.1111111111"	"  25.7000"	"  98.0000"	""	""	""	""	""	""	
"08/01/2017 02:50'00"	"42948.1180555556"	"  25.5000"	"  98.0000"	""	""	""	""	""	""	
