Date/Time,T20,ST
2017/8/2 4:40,25.4,26.8
2017/8/2 4:50,25,26.8
2017/8/2 5:00,25,26.8
2017/8/2 5:10,25,26.8
2017/8/2 5:20,25.1,26.7
2017/8/2 5:30,25.4,26.7
2017/8/2 5:40,25.5,26.7
2017/8/2 5:50,25.8,26.8
2017/8/2 6:00,26.1,26.8
2017/8/2 6:10,26.5,26.9
2017/8/2 6:20,26.8,26.9
2017/8/2 6:30,27.3,27
2017/8/2 6:40,27.4,27
2017/8/2 6:50,28.4,27.1
2017/8/2 7:00,28.6,27.1
2017/8/2 7:10,28.4,27.2
2017/8/2 7:20,28,27.2
2017/8/2 7:30,27.2,27.2
2017/8/2 7:40,26.7,27.2
2017/8/2 7:50,26.8,27.1
2017/8/2 8:00,27,27.1
2017/8/2 8:10,27.3,27.2
2017/8/2 8:20,28.9,27.3
2017/8/2 8:30,28.9,27.3
2017/8/2 8:40,30.1,27.3
2017/8/2 8:50,29,27.4
2017/8/2 9:00,30.7,27.4
2017/8/2 9:10,31,27.5
2017/8/2 9:20,29,27.6
2017/8/2 9:30,27.5,27.6
2017/8/2 9:40,27.1,27.5
2017/8/2 9:50,29.5,27.5
2017/8/2 10:00,29,27.6
2017/8/2 10:10,28.2,27.6
2017/8/2 10:20,27.9,27.6
2017/8/2 10:30,27.9,27.6
2017/8/2 10:40,29.3,27.6
2017/8/2 10:50,31.2,27.7
2017/8/2 11:00,33.7,27.9
2017/8/2 11:10,32.6,28.1
2017/8/2 11:20,32.6,28.2
2017/8/2 11:30,33.3,28.3
2017/8/2 11:40,32.9,28.4
2017/8/2 11:50,34.7,28.6
2017/8/2 12:00,34.2,28.7
2017/8/2 12:10,34.8,28.8
2017/8/2 12:20,33.7,28.9
2017/8/2 12:30,32.9,29
2017/8/2 12:40,33.2,29.1
2017/8/2 12:50,31.1,29
2017/8/2 13:00,29.9,28.9
2017/8/2 13:10,29.8,28.8
2017/8/2 13:20,29.1,28.7
2017/8/2 13:30,30.4,28.6
2017/8/2 13:40,30.7,28.6
2017/8/2 13:50,29.4,28.5
2017/8/2 14:00,30.7,28.5
2017/8/2 14:10,29.1,28.4
2017/8/2 14:20,28.3,28.3
2017/8/2 14:30,27.9,28.3
2017/8/2 14:40,28.1,28.1
2017/8/2 14:50,30,28.2
2017/8/2 15:00,29.9,28.2
2017/8/2 15:10,29,28.2
2017/8/2 15:20,27.9,28.1
2017/8/2 15:30,27.1,28
2017/8/2 15:40,27,27.9
2017/8/2 15:50,26.6,27.8
2017/8/2 16:00,26.4,27.7
2017/8/2 16:10,26.4,27.6
2017/8/2 16:20,26.4,27.5
2017/8/2 16:30,26.4,27.4
2017/8/2 16:40,26.2,27.4
2017/8/2 16:50,25.8,27.3
2017/8/2 17:00,25.4,27.3
2017/8/2 17:10,25.5,27.2
2017/8/2 17:20,25.5,27.1
2017/8/2 17:30,25.7,27.1
2017/8/2 17:40,25.7,27
2017/8/2 17:50,25.4,27
2017/8/2 18:00,25.4,26.9
2017/8/2 18:10,25.4,26.8
2017/8/2 18:20,25.3,26.8
2017/8/2 18:30,25.3,26.7
2017/8/2 18:40,25.1,26.6
2017/8/2 18:50,25.1,26.6
2017/8/2 19:00,25.1,26.5
2017/8/2 19:10,25,26.5
2017/8/2 19:20,25,26.4
2017/8/2 19:30,25,26.4
2017/8/2 19:40,24.9,26.3
2017/8/2 19:50,25,26.3
2017/8/2 20:00,24.9,26.2
2017/8/2 20:10,24.9,26.2
2017/8/2 20:20,24.8,26.2
2017/8/2 20:30,24.8,26.1
2017/8/2 20:40,24.9,26.1
2017/8/2 20:50,24.9,26.1
2017/8/2 21:00,24.8,26.1
2017/8/2 21:10,24.8,26
2017/8/2 21:20,24.8,26
2017/8/2 21:30,24.7,26
2017/8/2 21:40,24.7,25.9
2017/8/2 21:50,24.7,25.9
2017/8/2 22:00,24.7,25.9
2017/8/2 22:10,24.7,25.9
2017/8/2 22:20,24.7,25.9
2017/8/2 22:30,24.6,25.8
2017/8/2 22:40,24.6,25.8
2017/8/2 22:50,24.5,25.8
2017/8/2 23:00,24.3,25.7
2017/8/2 23:10,24.5,25.7
2017/8/2 23:20,24.4,25.7
2017/8/2 23:30,24.3,25.7
2017/8/2 23:40,24.4,25.6
2017/8/2 23:50,24.3,25.6
2017/8/3 0:00,24.3,25.6
2017/8/3 0:10,24.3,25.6
2017/8/3 0:20,24.2,25.6
2017/8/3 0:30,24.2,25.6
2017/8/3 0:40,24.2,25.6
2017/8/3 0:50,24.1,25.5
2017/8/3 1:00,23.9,25.5
2017/8/3 1:10,24,25.6
2017/8/3 1:20,23.9,25.5
2017/8/3 1:30,23.9,25.5
2017/8/3 1:40,23.9,25.5
2017/8/3 1:50,23.9,25.5
2017/8/3 2:00,24,25.5
2017/8/3 2:10,23.6,25.5
2017/8/3 2:20,23.7,25.5
2017/8/3 2:30,23.6,25.5
2017/8/3 2:40,23.6,25.4
2017/8/3 2:50,23.4,25.4
2017/8/3 3:00,23.5,25.4
2017/8/3 3:10,23.5,25.4
2017/8/3 3:20,23.5,25.4
2017/8/3 3:30,23.5,25.4
2017/8/3 3:40,23.4,25.4
2017/8/3 3:50,23.5,25.3
2017/8/3 4:00,23.7,25.3
2017/8/3 4:10,23.7,25.3
2017/8/3 4:20,23.8,25.2
2017/8/3 4:30,23.8,25.3
2017/8/3 4:40,23.9,25.2
2017/8/3 4:50,23.8,25.3
2017/8/3 5:00,23.6,25.2
2017/8/3 5:10,23.6,25.2
2017/8/3 5:20,23.7,25.3
2017/8/3 5:30,23.9,25.2
2017/8/3 5:40,24.3,25.2
2017/8/3 5:50,24.4,25.3
2017/8/3 6:00,24.4,25.3
2017/8/3 6:10,25,25.4
2017/8/3 6:20,25.6,25.4
2017/8/3 6:30,25.5,25.5
2017/8/3 6:40,25.9,25.6
2017/8/3 6:50,25.8,25.6
2017/8/3 7:00,25.7,25.7
2017/8/3 7:10,26.1,25.7
2017/8/3 7:20,25.9,25.8
2017/8/3 7:30,26.4,25.8
2017/8/3 7:40,27.1,25.8
2017/8/3 7:50,28,26
2017/8/3 8:00,29.2,26.1
2017/8/3 8:10,29.9,26.2
2017/8/3 8:20,30,26.4
2017/8/3 8:30,29.8,26.5
2017/8/3 8:40,30.1,26.5
2017/8/3 8:50,30.3,26.6
2017/8/3 9:00,29.9,26.7
2017/8/3 9:10,30.4,26.8
2017/8/3 9:20,31.4,26.9
2017/8/3 9:30,30.8,27
2017/8/3 9:40,30.8,27.1
2017/8/3 9:50,30,27.1
2017/8/3 10:00,29.4,27
2017/8/3 10:10,30.3,27.1
2017/8/3 10:20,30.9,27.1
2017/8/3 10:30,31.9,27.2
2017/8/3 10:40,32.3,27.4
2017/8/3 10:50,32.7,27.5
2017/8/3 11:00,37.6,27.8
2017/8/3 11:10,37,28.2
2017/8/3 11:20,37.4,28.5
2017/8/3 11:30,37.5,28.8
2017/8/3 11:40,38.4,29
2017/8/3 11:50,38.6,29.3
2017/8/3 12:00,36.4,29.4
2017/8/3 12:10,38.8,29.6
2017/8/3 12:20,38.6,29.7
2017/8/3 12:30,34.7,29.7
2017/8/3 12:40,33.9,29.7
2017/8/3 12:50,33.7,29.6
2017/8/3 13:00,34.8,29.6
2017/8/3 13:10,38.1,29.6
2017/8/3 13:20,35.8,29.8
2017/8/3 13:30,39.1,29.6
2017/8/3 13:40,36.3,29.7
2017/8/3 13:50,35.4,29.6
2017/8/3 14:00,35.1,29.6
2017/8/3 14:10,34.9,29.5
2017/8/3 14:20,34.9,29.4
2017/8/3 14:30,34.3,29.4
2017/8/3 14:40,34.4,29.3
2017/8/3 14:50,34.8,29.4
2017/8/3 15:00,34.9,29.4
2017/8/3 15:10,33.6,29.3
2017/8/3 15:20,33.3,29.3
2017/8/3 15:30,33.2,28.8
2017/8/3 15:40,33.4,28.8
2017/8/3 15:50,32.9,28.8
2017/8/3 16:00,33.3,28.8
2017/8/3 16:10,33.5,28.7
2017/8/3 16:20,33.8,28.7
2017/8/3 16:30,32.6,28.7
2017/8/3 16:40,32.6,28.6
2017/8/3 16:50,31.4,28.6
2017/8/3 17:00,31.6,28.6
2017/8/3 17:10,31.3,28.5
2017/8/3 17:20,30.6,28.5
2017/8/3 17:30,30.4,28.4
2017/8/3 17:40,30.2,28.3
2017/8/3 17:50,29.4,28.3
2017/8/3 18:00,29,28.3
2017/8/3 18:10,28.8,28.2
2017/8/3 18:20,28.3,28.1
2017/8/3 18:30,27.9,28.1
2017/8/3 18:40,27.6,28.1
2017/8/3 18:50,27.3,28
2017/8/3 19:00,27.4,27.9
2017/8/3 19:10,27.4,27.8
2017/8/3 19:20,27.3,27.8
2017/8/3 19:30,27.2,27.7
2017/8/3 19:40,27.2,27.6
2017/8/3 19:50,27.2,27.6
2017/8/3 20:00,27.2,27.6
2017/8/3 20:10,27.2,27.5
2017/8/3 20:20,27.2,27.4
2017/8/3 20:30,27.1,27.4
2017/8/3 20:40,26.9,27.4
2017/8/3 20:50,26.8,27.4
2017/8/3 21:00,26.6,27.3
2017/8/3 21:10,26.9,27.3
2017/8/3 21:20,26.8,27.3
2017/8/3 21:30,26.6,27.3
2017/8/3 21:40,26.5,27.2
2017/8/3 21:50,26.7,27.2
2017/8/3 22:00,26.8,27.2
2017/8/3 22:10,26.9,27.1
2017/8/3 22:20,27,27.1
2017/8/3 22:30,27,27.1
2017/8/3 22:40,26.8,27.1
2017/8/3 22:50,26.7,27
2017/8/3 23:00,26.8,27.1
2017/8/3 23:10,26.7,27
2017/8/3 23:20,26.8,27
2017/8/3 23:30,26.6,27
2017/8/3 23:40,26.9,27
2017/8/3 23:50,26.8,26.9
2017/8/4 0:00,26.7,27
2017/8/4 0:10,26.4,26.9
2017/8/4 0:20,26.4,26.9
2017/8/4 0:30,26.6,26.8
2017/8/4 0:40,26.6,26.8
2017/8/4 0:50,26.4,26.9
2017/8/4 1:00,26.4,26.8
2017/8/4 1:10,26.3,26.8
2017/8/4 1:20,26.4,26.7
2017/8/4 1:30,26.3,26.8
2017/8/4 1:40,26.2,26.8
2017/8/4 1:50,26.3,26.7
2017/8/4 2:00,26.4,26.7
2017/8/4 2:10,26.1,26.7
2017/8/4 2:20,26.3,26.7
2017/8/4 2:30,26.4,26.6
2017/8/4 2:40,26.1,26.6
2017/8/4 2:50,25.9,26.6
2017/8/4 3:00,25.7,26.6
2017/8/4 3:10,26,26.6
2017/8/4 3:20,26,26.6
2017/8/4 3:30,26,26.6
2017/8/4 3:40,26,26.6
2017/8/4 3:50,26,26.6
2017/8/4 4:00,25.7,26.6
2017/8/4 4:10,25.7,26.6
2017/8/4 4:20,25.3,26.6
2017/8/4 4:30,24.7,26.5
2017/8/4 4:40,24.5,26.5
2017/8/4 4:50,24.1,26.5
2017/8/4 5:00,24.1,26.5
2017/8/4 5:10,24.5,26.5
2017/8/4 5:20,25,26.4
2017/8/4 5:30,25.5,26.4
2017/8/4 5:40,25.9,26.4
2017/8/4 5:50,26.1,26.4
2017/8/4 6:00,25.9,26.4
2017/8/4 6:10,26,26.4
2017/8/4 6:20,26.4,26.4
2017/8/4 6:30,26.3,26.4
2017/8/4 6:40,25.8,26.4
2017/8/4 6:50,25.7,26.4
2017/8/4 7:00,26,26.4
2017/8/4 7:10,27,26.4
2017/8/4 7:20,27.4,26.4
2017/8/4 7:30,28.7,26.4
2017/8/4 7:40,28.3,26.4
2017/8/4 7:50,28.3,26.5
2017/8/4 8:00,28.1,26.5
2017/8/4 8:10,28.3,26.5
2017/8/4 8:20,28.6,26.6
2017/8/4 8:30,29.7,26.6
2017/8/4 8:40,31.5,26.6
2017/8/4 8:50,30,26.6
2017/8/4 9:00,33.1,26.6
2017/8/4 9:10,33.5,26.7
2017/8/4 9:20,34.1,26.8
2017/8/4 9:30,33.9,26.9
2017/8/4 9:40,36.4,27
2017/8/4 9:50,34.9,27.1
2017/8/4 10:00,35.1,27.2
2017/8/4 10:10,36,27.4
2017/8/4 10:20,35.5,27.5
2017/8/4 10:30,35.8,27.7
2017/8/4 10:40,35.6,27.7
2017/8/4 10:50,34.6,27.9
2017/8/4 11:00,35.8,28
2017/8/4 11:10,35.8,28
2017/8/4 11:20,36.6,28.2
2017/8/4 11:30,36.3,28.3
2017/8/4 11:40,37.5,28.4
2017/8/4 11:50,38.1,28.5
2017/8/4 12:00,37.5,28.7
2017/8/4 12:10,37.2,28.8
2017/8/4 12:20,37.3,28.9
2017/8/4 12:30,37.8,28.9
2017/8/4 12:40,37.4,29.1
2017/8/4 12:50,39.1,29.3
2017/8/4 13:00,37.6,29.5
2017/8/4 13:10,36.3,29.6
2017/8/4 13:20,37.2,29.7
2017/8/4 13:30,39.2,29.7
2017/8/4 13:40,37.7,29.7
2017/8/4 13:50,37.5,29.6
2017/8/4 14:00,35.7,29.7
2017/8/4 14:10,36.1,29.7
2017/8/4 14:20,33.9,29.7
2017/8/4 14:30,34.2,29.7
2017/8/4 14:40,35.8,29.6
2017/8/4 14:50,35.3,29.6
2017/8/4 15:00,34.5,29.6
2017/8/4 15:10,33.9,29.6
2017/8/4 15:20,34.6,29.6
2017/8/4 15:30,34.5,29.6
2017/8/4 15:40,33.8,29.6
2017/8/4 15:50,34.8,29.6
2017/8/4 16:00,33.6,29.6
2017/8/4 16:10,33.7,29.6
2017/8/4 16:20,33.2,29.6
2017/8/4 16:30,34.6,29.6
2017/8/4 16:40,33.6,29.6
2017/8/4 16:50,33.6,29.6
2017/8/4 17:00,32.7,29.6
2017/8/4 17:10,33.4,29.6
2017/8/4 17:20,31.6,29.6
2017/8/4 17:30,30.4,29.5
2017/8/4 17:40,30.2,29.5
2017/8/4 17:50,29.6,29.5
2017/8/4 18:00,29.2,29.3
2017/8/4 18:10,29,29.3
2017/8/4 18:20,28.8,29.2
2017/8/4 18:30,28.4,29.1
2017/8/4 18:40,28.4,29.1
2017/8/4 18:50,28.3,29
2017/8/4 19:00,28.2,28.9
2017/8/4 19:10,28,28.9
2017/8/4 19:20,28,28.8
2017/8/4 19:30,27.8,28.8
2017/8/4 19:40,27.9,28.7
2017/8/4 19:50,27.7,28.6
2017/8/4 20:00,27.6,28.6
2017/8/4 20:10,27.4,28.5
2017/8/4 20:20,27.5,28.5
2017/8/4 20:30,27.3,28.4
2017/8/4 20:40,27.4,28.4
2017/8/4 20:50,26.9,28.3
2017/8/4 21:00,26.9,28.3
2017/8/4 21:10,26.7,28.3
2017/8/4 21:20,26.4,28.2
2017/8/4 21:30,26,28.2
2017/8/4 21:40,25.8,28.1
2017/8/4 21:50,25.8,28
2017/8/4 22:00,26,28.1
2017/8/4 22:10,26,28
2017/8/4 22:20,26,27.9
2017/8/4 22:30,26.2,27.9
2017/8/4 22:40,26.2,27.9
2017/8/4 22:50,26.2,27.9
2017/8/4 23:00,26.2,27.9
2017/8/4 23:10,26.2,27.8
2017/8/4 23:20,26.1,27.8
2017/8/4 23:30,26.1,27.8
2017/8/4 23:40,26.2,27.7
2017/8/4 23:50,26.2,27.7
2017/8/5 0:00,26.2,27.7
2017/8/5 0:10,26.2,27.7
2017/8/5 0:20,26.2,27.7
2017/8/5 0:30,26.2,27.6
2017/8/5 0:40,26.1,27.6
2017/8/5 0:50,25.9,27.6
2017/8/5 1:00,26,27.6
2017/8/5 1:10,25.9,27.5
2017/8/5 1:20,25.9,27.5
2017/8/5 1:30,25.9,27.5
2017/8/5 1:40,25.8,27.5
2017/8/5 1:50,25.9,27.5
2017/8/5 2:00,26,27.5
2017/8/5 2:10,26,27.5
2017/8/5 2:20,26,27.5
2017/8/5 2:30,25.8,27.4
2017/8/5 2:40,25.9,27.5
2017/8/5 2:50,25.9,27.4
2017/8/5 3:00,25.9,27.4
2017/8/5 3:10,26,27.5
2017/8/5 3:20,25.5,27.4
2017/8/5 3:30,25.5,27.4
2017/8/5 3:40,25.5,27.3
2017/8/5 3:50,25.5,27.4
2017/8/5 4:00,25.6,27.4
2017/8/5 4:10,25.6,27.3
2017/8/5 4:20,25.6,27.3
2017/8/5 4:30,25.5,27.3
2017/8/5 4:40,25.4,27.3
2017/8/5 4:50,25.4,27.3
2017/8/5 5:00,25.5,27.3
2017/8/5 5:10,25.6,27.2
2017/8/5 5:20,25.7,27.3
2017/8/5 5:30,25.7,27.2
2017/8/5 5:40,26,27.2
2017/8/5 5:50,26.3,27.2
2017/8/5 6:00,26.6,27.1
2017/8/5 6:10,26.9,27.1
2017/8/5 6:20,27.1,27.2
2017/8/5 6:30,27.3,27.2
2017/8/5 6:40,27.7,27.3
2017/8/5 6:50,28.1,27.2
2017/8/5 7:00,28.4,27.3
2017/8/5 7:10,29.3,27.3
2017/8/5 7:20,29.1,27.3
2017/8/5 7:30,28.4,27.3
2017/8/5 7:40,28.1,27.4
2017/8/5 7:50,28.2,27.4
2017/8/5 8:00,28.1,27.4
2017/8/5 8:10,29.2,27.5
2017/8/5 8:20,28.9,27.4
2017/8/5 8:30,29.1,27.5
2017/8/5 8:40,28.5,27.5
2017/8/5 8:50,27.9,27.5
2017/8/5 9:00,29,27.5
2017/8/5 9:10,29.9,27.5
2017/8/5 9:20,31.2,27.5
2017/8/5 9:30,31.7,27.6
2017/8/5 9:40,32.8,27.6
2017/8/5 9:50,32.3,27.7
2017/8/5 10:00,32.4,27.8
2017/8/5 10:10,32.6,27.9
2017/8/5 10:20,32.7,28
2017/8/5 10:30,32.9,28
2017/8/5 10:40,34.1,28.1
2017/8/5 10:50,35.2,28.1
2017/8/5 11:00,35.6,28.3
2017/8/5 11:10,33.3,28.4
2017/8/5 11:20,32.1,28.4
2017/8/5 11:30,32.2,28.5
2017/8/5 11:40,34.2,28.5
2017/8/5 11:50,33.3,28.6
2017/8/5 12:00,34,28.6
2017/8/5 12:10,35.1,28.7
2017/8/5 12:20,38.2,28.7
2017/8/5 12:30,37.6,28.8
2017/8/5 12:40,33.7,29
2017/8/5 12:50,31.6,29
2017/8/5 13:00,31.7,29.1
2017/8/5 13:10,32.8,29.1
2017/8/5 13:20,32.1,29.1
2017/8/5 13:30,32,29.1
2017/8/5 13:40,35,29.1
2017/8/5 13:50,33.6,29.1
2017/8/5 14:00,34.8,29.2
2017/8/5 14:10,33,29.2
2017/8/5 14:20,32.3,29.3
2017/8/5 14:30,34.8,29.3
2017/8/5 14:40,31.8,29.3
2017/8/5 14:50,34.2,29.3
2017/8/5 15:00,34.3,29.3
2017/8/5 15:10,32.6,29.4
2017/8/5 15:20,32.5,29.4
2017/8/5 15:30,31.2,29.4
2017/8/5 15:40,34,29.4
2017/8/5 15:50,35.6,29.4
2017/8/5 16:00,32.8,29.4
2017/8/5 16:10,32.2,29.6
2017/8/5 16:20,33.8,29.6
2017/8/5 16:30,32.4,29.6
2017/8/5 16:40,33.3,29.6
2017/8/5 16:50,32.9,29.6
2017/8/5 17:00,32.1,29.5
2017/8/5 17:10,31.5,29.6
2017/8/5 17:20,31.4,29.6
2017/8/5 17:30,31.1,29.5
2017/8/5 17:40,31,29.5
2017/8/5 17:50,31.1,29.5
2017/8/5 18:00,29.1,29.5
2017/8/5 18:10,28.6,29.4
2017/8/5 18:20,28.4,29.4
2017/8/5 18:30,28.2,29.4
2017/8/5 18:40,27.7,29.2
2017/8/5 18:50,27.5,29.2
2017/8/5 19:00,27.3,29.2
2017/8/5 19:10,27.1,29.1
2017/8/5 19:20,27,29
2017/8/5 19:30,27,29
2017/8/5 19:40,26.9,28.9
2017/8/5 19:50,26.8,28.8
2017/8/5 20:00,26.6,28.7
2017/8/5 20:10,26.8,28.7
2017/8/5 20:20,26.7,28.7
2017/8/5 20:30,26.6,28.6
2017/8/5 20:40,26.6,28.6
2017/8/5 20:50,26.5,28.5
2017/8/5 21:00,26.6,28.5
2017/8/5 21:10,26.6,28.4
2017/8/5 21:20,26.5,28.4
2017/8/5 21:30,26.6,28.4
2017/8/5 21:40,26.5,28.3
2017/8/5 21:50,26.6,28.3
2017/8/5 22:00,26.7,28.3
2017/8/5 22:10,26.7,28.2
2017/8/5 22:20,26.8,28.2
2017/8/5 22:30,26.7,28.2
2017/8/5 22:40,26.7,28.2
2017/8/5 22:50,26.6,28.1
2017/8/5 23:00,26.5,28.1
2017/8/5 23:10,26.4,28.1
2017/8/5 23:20,26.1,28.1
2017/8/5 23:30,26.4,28.1
2017/8/5 23:40,26.5,28
2017/8/5 23:50,26.8,28
2017/8/6 0:00,26.7,28
2017/8/6 0:10,26.8,28
2017/8/6 0:20,26.8,28
2017/8/6 0:30,26.4,28
2017/8/6 0:40,26.4,27.9
2017/8/6 0:50,26.3,27.9
2017/8/6 1:00,26,27.9
2017/8/6 1:10,26,27.9
