date,T20_x,ST_x,T60_x,H_x,T20_y,ST_y,T60_y,H_y,T20,ST,T60,H
2016-07-22,26.940277777777776,27.328472222222217,27.319444444444446,71.07638888888889,23.3,25.1,23.4,47,34.2,31.6,35.6,92
2016-07-23,26.36319444444444,26.513888888888903,26.797916666666655,66.81944444444444,22.6,24.2,22.5,42,34.6,30.2,35.8,84
2016-07-24,27.265972222222207,27.391666666666666,27.85902777777777,69.20833333333333,21.4,23.9,21.4,39,38.8,33.3,39.6,97
2016-07-25,27.975000000000005,27.681250000000006,28.47638888888889,70.34027777777777,21.6,24.2,21.7,34,38.6,32.1,41.4,96
2016-07-26,23.269444444444456,25.043750000000003,23.534722222222214,91.77083333333333,21.6,23.9,21.9,78,26.1,25.9,26.3,100
2016-07-27,26.645833333333318,26.195138888888895,27.134722222222216,80.8125,21.8,23.6,22.1,44,38.1,30.4,39.9,100
2016-07-28,28.035416666666656,27.288888888888895,28.624305555555548,73.1875,23.8,25.0,23.8,40,38.1,31.6,41.5,91
2016-07-29,27.745138888888885,27.527777777777782,28.231944444444427,74.47916666666667,22.1,24.6,22.1,38,37.0,33.4,41.3,99
2016-07-30,29.04722222222221,27.818055555555542,29.96388888888889,68.5,21.6,24.5,21.6,35,37.5,31.6,41.0,100
2016-07-31,29.709027777777788,28.279861111111117,30.712499999999995,68.19444444444444,22.1,24.9,22.1,38,37.8,32.2,41.2,99
2016-08-01,29.277083333333344,28.54513888888889,30.068055555555564,76.61111111111111,23.6,25.8,23.7,37,38.7,34.1,43.0,100
2016-08-02,29.293750000000003,28.476388888888906,29.9361111111111,76.47222222222223,23.7,26.2,23.9,44,39.0,31.5,42.4,100
2016-08-03,29.210416666666674,28.157638888888872,29.70694444444444,76.79861111111111,23.9,26.3,24.1,48,38.1,30.2,39.8,100
2016-08-04,29.87083333333333,28.629861111111115,30.63125000000001,73.79166666666667,23.7,26.1,23.8,42,39.2,34.1,41.9,100
2016-08-05,30.17916666666668,28.938888888888894,30.82916666666667,73.875,24.0,26.3,24.1,43,38.7,32.7,42.0,99
2016-08-06,30.182638888888885,28.894444444444446,30.5951388888889,73.375,24.3,26.6,24.4,47,38.9,31.4,41.1,99
2016-08-07,29.562500000000007,28.911111111111097,30.17916666666666,75.22222222222223,24.3,26.6,24.4,35,39.4,32.9,44.9,100
2016-08-08,31.429861111111126,28.975694444444443,31.69097222222223,66.73611111111111,23.7,26.4,23.8,41,39.1,31.9,41.4,98
2016-08-09,31.48541666666665,28.646527777777774,31.3673611111111,58.770833333333336,25.2,26.1,24.7,38,38.5,32.7,40.5,78
2016-08-10,29.27708333333332,27.66666666666667,29.568055555555564,65.09722222222223,22.9,25.7,22.8,35,37.2,30.5,40.2,94
2016-08-11,28.661111111111097,27.504166666666656,29.265277777777797,72.6875,21.4,24.7,21.4,41,37.3,30.2,40.2,97
2016-08-12,28.461805555555557,27.488194444444442,29.049999999999994,71.79861111111111,23.6,25.9,23.6,32,36.5,30.3,40.0,99
2016-08-13,29.006944444444432,27.70694444444443,29.65277777777779,70.84027777777777,24.5,25.8,24.4,42,37.3,30.9,41.8,88
2016-08-14,26.969444444444456,26.790277777777767,27.156944444444438,79.74305555555556,23.8,25.9,24.0,55,32.9,27.7,33.5,94
2016-08-15,29.079861111111104,27.626388888888894,29.26527777777777,76.72222222222223,23.5,25.4,23.5,46,37.7,30.4,41.5,95
2016-08-16,29.28749999999999,28.017361111111114,29.445833333333344,77.64583333333333,23.8,26.3,24.3,44,37.8,29.9,41.2,100
2016-08-17,30.647222222222215,28.329861111111107,30.48124999999999,76.28472222222223,25.9,26.8,25.8,56,36.7,30.0,36.9,95
2016-08-18,30.79583333333335,29.227777777777785,30.799999999999997,78.26388888888889,26.7,27.6,26.7,44,39.9,32.1,42.1,94
2016-08-19,30.170833333333334,28.720138888888883,29.788194444444432,78.72916666666667,24.9,27.2,25.2,51,39.5,30.4,39.8,96
2016-08-20,30.145138888888912,28.340277777777775,29.737499999999986,75.88194444444444,24.1,26.7,24.4,50,39.0,30.2,37.7,99
2016-08-21,30.05624999999999,29.29791666666667,29.918750000000003,70.56944444444444,23.8,26.0,24.1,40,38.5,38.3,39.9,91
2016-08-22,29.581944444444446,28.03541666666667,29.134027777777785,79.27777777777777,25.6,26.8,25.5,59,35.5,29.4,34.4,95
2016-08-23,30.103472222222226,28.627083333333346,29.944444444444443,76.15972222222223,24.4,26.6,24.7,43,39.1,36.7,38.7,99
2016-08-24,29.01805555555556,27.620138888888885,28.89930555555555,76.74305555555556,24.7,26.5,24.9,55,36.0,29.0,35.8,94
2016-08-25,29.49583333333333,27.641666666666666,29.236805555555545,75.07638888888889,24.4,26.4,24.7,49,36.7,29.0,36.0,97
2016-08-26,29.63680555555554,27.677083333333336,29.31180555555556,75.57638888888889,23.1,25.6,23.4,48,39.4,29.6,37.4,97
2016-08-27,28.405555555555555,27.59513888888889,28.352083333333336,79.34027777777777,23.8,26.0,24.2,53,38.2,30.2,36.9,96
2016-08-28,28.71041666666665,27.111111111111118,28.3673611111111,70.90972222222223,24.6,25.9,24.8,47,38.1,29.6,36.5,89
2016-08-29,29.843750000000007,27.045138888888875,29.086111111111126,69.16666666666667,24.8,25.9,25.2,46,38.3,28.5,35.6,84
2016-08-30,26.09305555555557,25.723611111111126,26.40972222222223,66.77083333333333,21.2,24.1,21.9,41,35.0,28.6,35.5,89
2016-08-31,27.711111111111116,25.791666666666668,27.43680555555555,64.76388888888889,19.3,22.9,20.0,36,38.0,31.9,36.8,87
2016-09-01,28.49513888888889,27.075,28.237500000000008,73.52083333333333,22.5,24.7,23.1,44,39.1,30.1,38.5,93
2016-09-02,28.855555555555547,27.136111111111116,28.70416666666666,69.96527777777777,20.9,24.4,21.7,41,38.3,30.3,39.3,93
2016-09-03,29.88680555555554,27.675000000000008,29.579861111111118,67.40972222222223,24.3,26.1,24.8,41,38.7,30.4,38.7,91
2016-09-04,29.2048611111111,27.920138888888882,29.278472222222224,73.76388888888889,23.2,26.4,24.3,51,37.2,30.5,38.4,91
2016-09-05,26.320138888888906,26.829861111111107,26.567361111111108,87.70833333333333,22.4,25.4,23.4,68,33.2,28.2,32.2,100
2016-09-06,27.756944444444432,27.29722222222221,27.73819444444444,85.88888888888889,24.4,26.1,24.9,57,38.1,29.2,36.1,98
2016-09-07,28.424999999999976,27.612499999999997,28.48750000000002,81.5,23.9,26.1,24.6,60,35.8,29.1,34.5,98
2016-09-08,26.40694444444445,26.959722222222233,26.677777777777763,87.72222222222223,22.9,25.2,23.6,73,32.3,28.4,32.5,98
2016-09-09,26.826388888888896,25.81805555555556,26.644444444444453,69.76388888888889,21.9,24.2,22.4,48,36.2,28.5,35.1,83
