"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-72wf Ch.1","TR-72wf Ch.2"
"","","°C","%"
"2018-08-11 15:40:00","43323.6527777778","31.3","73"
"2018-08-11 15:50:00","43323.6597222222","30.9","72"
"2018-08-11 16:00:00","43323.6666666667","30.5","75"
"2018-08-11 16:10:00","43323.6736111111","30.5","74"
"2018-08-11 16:20:00","43323.6805555556","31.5","72"
"2018-08-11 16:30:00","43323.6875000000","31.5","72"
"2018-08-11 16:40:00","43323.6944444444","31.1","73"
"2018-08-11 16:50:00","43323.7013888889","30.9","74"
"2018-08-11 17:00:00","43323.7083333333","29.9","78"
"2018-08-11 17:10:00","43323.7152777778","30.1","79"
"2018-08-11 17:20:00","43323.7222222222","30.0","80"
"2018-08-11 17:30:00","43323.7291666667","30.4","79"
"2018-08-11 17:40:00","43323.7361111111","30.3","78"
"2018-08-11 17:50:00","43323.7430555556","29.7","80"
"2018-08-11 18:00:00","43323.7500000000","29.4","83"
"2018-08-11 18:10:00","43323.7569444444","29.2","83"
"2018-08-11 18:20:00","43323.7638888889","28.8","84"
"2018-08-11 18:30:00","43323.7708333333","28.5","86"
"2018-08-11 18:40:00","43323.7777777778","28.5","88"
"2018-08-11 18:50:00","43323.7847222222","28.2","89"
"2018-08-11 19:00:00","43323.7916666667","28.1","90"
"2018-08-11 19:10:00","43323.7986111111","28.0","91"
"2018-08-11 19:20:00","43323.8055555556","27.8","91"
"2018-08-11 19:30:00","43323.8125000000","27.8","91"
"2018-08-11 19:40:00","43323.8194444444","27.8","94"
"2018-08-11 19:50:00","43323.8263888889","27.7","95"
"2018-08-11 20:00:00","43323.8333333333","27.7","95"
"2018-08-11 20:10:00","43323.8402777778","27.6","94"
"2018-08-11 20:20:00","43323.8472222222","27.6","94"
"2018-08-11 20:30:00","43323.8541666667","27.8","95"
"2018-08-11 20:40:00","43323.8611111111","27.7","95"
"2018-08-11 20:50:00","43323.8680555556","27.7","94"
"2018-08-11 21:00:00","43323.8750000000","27.7","94"
"2018-08-11 21:10:00","43323.8819444444","27.6","95"
"2018-08-11 21:20:00","43323.8888888889","27.7","96"
"2018-08-11 21:30:00","43323.8958333333","27.8","96"
"2018-08-11 21:40:00","43323.9027777778","27.8","97"
"2018-08-11 21:50:00","43323.9097222222","27.8","97"
"2018-08-11 22:00:00","43323.9166666667","27.8","98"
"2018-08-11 22:10:00","43323.9236111111","27.7","99"
"2018-08-11 22:20:00","43323.9305555556","27.7","100"
"2018-08-11 22:30:00","43323.9375000000","27.8","99"
"2018-08-11 22:40:00","43323.9444444444","27.8","98"
"2018-08-11 22:50:00","43323.9513888889","27.8","97"
"2018-08-11 23:00:00","43323.9583333333","27.7","97"
"2018-08-11 23:10:00","43323.9652777778","27.7","99"
"2018-08-11 23:20:00","43323.9722222222","27.6","98"
"2018-08-11 23:30:00","43323.9791666667","27.6","100"
"2018-08-11 23:40:00","43323.9861111111","27.5","100"
