"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"11/23/2016 14:50'00"	"42697.6180555556"	"  15.1000"	"  81.0000"	""	""	""	""	""	""	
"11/23/2016 15:00'00"	"42697.6250000000"	"  14.9000"	"  83.0000"	""	""	""	""	""	""	
"11/23/2016 15:10'00"	"42697.6319444444"	"  14.7000"	"  84.0000"	""	""	""	""	""	""	
"11/23/2016 15:20'00"	"42697.6388888889"	"  14.6000"	"  86.0000"	""	""	""	""	""	""	
"11/23/2016 15:30'00"	"42697.6458333333"	"  14.5000"	"  87.0000"	""	""	""	""	""	""	
"11/23/2016 15:40'00"	"42697.6527777778"	"  14.3000"	"  85.0000"	""	""	""	""	""	""	
"11/23/2016 15:50'00"	"42697.6597222222"	"  14.2000"	"  86.0000"	""	""	""	""	""	""	
"11/23/2016 16:00'00"	"42697.6666666667"	"  14.0000"	"  87.0000"	""	""	""	""	""	""	
"11/23/2016 16:10'00"	"42697.6736111111"	"  13.8000"	"  88.0000"	""	""	""	""	""	""	
"11/23/2016 16:20'00"	"42697.6805555556"	"  13.5000"	"  88.0000"	""	""	""	""	""	""	
"11/23/2016 16:30'00"	"42697.6875000000"	"  13.2000"	"  87.0000"	""	""	""	""	""	""	
"11/23/2016 16:40'00"	"42697.6944444444"	"  12.8000"	"  84.0000"	""	""	""	""	""	""	
"11/23/2016 16:50'00"	"42697.7013888889"	"  12.5000"	"  81.0000"	""	""	""	""	""	""	
"11/23/2016 17:00'00"	"42697.7083333333"	"  12.2000"	"  83.0000"	""	""	""	""	""	""	
"11/23/2016 17:10'00"	"42697.7152777778"	"  12.0000"	"  81.0000"	""	""	""	""	""	""	
"11/23/2016 17:20'00"	"42697.7222222222"	"  11.8000"	"  85.0000"	""	""	""	""	""	""	
"11/23/2016 17:30'00"	"42697.7291666667"	"  11.8000"	"  88.0000"	""	""	""	""	""	""	
"11/23/2016 17:40'00"	"42697.7361111111"	"  11.9000"	"  90.0000"	""	""	""	""	""	""	
"11/23/2016 17:50'00"	"42697.7430555556"	"  11.9000"	"  92.0000"	""	""	""	""	""	""	
"11/23/2016 18:00'00"	"42697.7500000000"	"  11.9000"	"  93.0000"	""	""	""	""	""	""	
"11/23/2016 18:10'00"	"42697.7569444444"	"  11.9000"	"  96.0000"	""	""	""	""	""	""	
"11/23/2016 18:20'00"	"42697.7638888889"	"  11.8000"	"  94.0000"	""	""	""	""	""	""	
"11/23/2016 18:30'00"	"42697.7708333333"	"  11.6000"	"  96.0000"	""	""	""	""	""	""	
"11/23/2016 18:40'00"	"42697.7777777778"	"  11.5000"	"  96.0000"	""	""	""	""	""	""	
"11/23/2016 18:50'00"	"42697.7847222222"	"  11.5000"	"  94.0000"	""	""	""	""	""	""	
"11/23/2016 19:00'00"	"42697.7916666667"	"  11.2000"	"  86.0000"	""	""	""	""	""	""	
"11/23/2016 19:10'00"	"42697.7986111111"	"  11.1000"	"  88.0000"	""	""	""	""	""	""	
"11/23/2016 19:20'00"	"42697.8055555556"	"  11.1000"	"  91.0000"	""	""	""	""	""	""	
"11/23/2016 19:30'00"	"42697.8125000000"	"  11.1000"	"  94.0000"	""	""	""	""	""	""	
"11/23/2016 19:40'00"	"42697.8194444444"	"  11.2000"	"  96.0000"	""	""	""	""	""	""	
"11/23/2016 19:50'00"	"42697.8263888889"	"  11.1000"	"  96.0000"	""	""	""	""	""	""	
"11/23/2016 20:00'00"	"42697.8333333333"	"  10.9000"	"  90.0000"	""	""	""	""	""	""	
"11/23/2016 20:10'00"	"42697.8402777778"	"  10.9000"	"  93.0000"	""	""	""	""	""	""	
"11/23/2016 20:20'00"	"42697.8472222222"	"  10.8000"	"  91.0000"	""	""	""	""	""	""	
"11/23/2016 20:30'00"	"42697.8541666667"	"  10.7000"	"  92.0000"	""	""	""	""	""	""	
"11/23/2016 20:40'00"	"42697.8611111111"	"  10.6000"	"  91.0000"	""	""	""	""	""	""	
"11/23/2016 20:50'00"	"42697.8680555556"	"  10.5000"	"  90.0000"	""	""	""	""	""	""	
"11/23/2016 21:00'00"	"42697.8750000000"	"  10.4000"	"  88.0000"	""	""	""	""	""	""	
"11/23/2016 21:10'00"	"42697.8819444444"	"  10.5000"	"  93.0000"	""	""	""	""	""	""	
"11/23/2016 21:20'00"	"42697.8888888889"	"  10.5000"	"  93.0000"	""	""	""	""	""	""	
"11/23/2016 21:30'00"	"42697.8958333333"	"  10.5000"	"  92.0000"	""	""	""	""	""	""	
"11/23/2016 21:40'00"	"42697.9027777778"	"  10.5000"	"  93.0000"	""	""	""	""	""	""	
"11/23/2016 21:50'00"	"42697.9097222222"	"  10.6000"	"  93.0000"	""	""	""	""	""	""	
"11/23/2016 22:00'00"	"42697.9166666667"	"  10.8000"	"  97.0000"	""	""	""	""	""	""	
"11/23/2016 22:10'00"	"42697.9236111111"	"  10.8000"	"  98.0000"	""	""	""	""	""	""	
"11/23/2016 22:20'00"	"42697.9305555556"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/23/2016 22:30'00"	"42697.9375000000"	"  10.7000"	"  97.0000"	""	""	""	""	""	""	
"11/23/2016 22:40'00"	"42697.9444444444"	"  10.6000"	"  95.0000"	""	""	""	""	""	""	
"11/23/2016 22:50'00"	"42697.9513888889"	"  10.6000"	"  97.0000"	""	""	""	""	""	""	
"11/23/2016 23:00'00"	"42697.9583333333"	"  10.6000"	"  98.0000"	""	""	""	""	""	""	
"11/23/2016 23:10'00"	"42697.9652777778"	"  10.5000"	"  98.0000"	""	""	""	""	""	""	
"11/23/2016 23:20'00"	"42697.9722222222"	"  10.5000"	"  97.0000"	""	""	""	""	""	""	
"11/23/2016 23:30'00"	"42697.9791666667"	"  10.5000"	"  97.0000"	""	""	""	""	""	""	
"11/23/2016 23:40'00"	"42697.9861111111"	"  10.5000"	"  98.0000"	""	""	""	""	""	""	
"11/23/2016 23:50'00"	"42697.9930555556"	"  10.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 00:00'00"	"42698.0000000000"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 00:10'00"	"42698.0069444444"	"  11.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 00:20'00"	"42698.0138888889"	"  11.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 00:30'00"	"42698.0208333333"	"  11.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 00:40'00"	"42698.0277777778"	"  10.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 00:50'00"	"42698.0347222222"	"  10.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 01:00'00"	"42698.0416666667"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 01:10'00"	"42698.0486111111"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 01:20'00"	"42698.0555555556"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 01:30'00"	"42698.0625000000"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 01:40'00"	"42698.0694444444"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 01:50'00"	"42698.0763888889"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 02:00'00"	"42698.0833333333"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 02:10'00"	"42698.0902777778"	"   9.6000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 02:20'00"	"42698.0972222222"	"   9.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 02:30'00"	"42698.1041666667"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 02:40'00"	"42698.1111111111"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 02:50'00"	"42698.1180555556"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 03:00'00"	"42698.1250000000"	"   9.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 03:10'00"	"42698.1319444444"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 03:20'00"	"42698.1388888889"	"   9.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 03:30'00"	"42698.1458333333"	"   9.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 03:40'00"	"42698.1527777778"	"   9.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 03:50'00"	"42698.1597222222"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 04:00'00"	"42698.1666666667"	"   9.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 04:10'00"	"42698.1736111111"	"   9.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 04:20'00"	"42698.1805555556"	"   9.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 04:30'00"	"42698.1875000000"	"   9.6000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 04:40'00"	"42698.1944444444"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 04:50'00"	"42698.2013888889"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 05:00'00"	"42698.2083333333"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 05:10'00"	"42698.2152777778"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 05:20'00"	"42698.2222222222"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 05:30'00"	"42698.2291666667"	"   9.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 05:40'00"	"42698.2361111111"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 05:50'00"	"42698.2430555556"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 06:00'00"	"42698.2500000000"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 06:10'00"	"42698.2569444444"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 06:20'00"	"42698.2638888889"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 06:30'00"	"42698.2708333333"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 06:40'00"	"42698.2777777778"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 06:50'00"	"42698.2847222222"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 07:00'00"	"42698.2916666667"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 07:10'00"	"42698.2986111111"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 07:20'00"	"42698.3055555556"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 07:30'00"	"42698.3125000000"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 07:40'00"	"42698.3194444444"	"  10.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 07:50'00"	"42698.3263888889"	"  10.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 08:00'00"	"42698.3333333333"	"  10.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 08:10'00"	"42698.3402777778"	"  10.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 08:20'00"	"42698.3472222222"	"  11.2000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 08:30'00"	"42698.3541666667"	"  11.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 08:40'00"	"42698.3611111111"	"  11.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 08:50'00"	"42698.3680555556"	"  11.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 09:00'00"	"42698.3750000000"	"  12.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 09:10'00"	"42698.3819444444"	"  12.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 09:20'00"	"42698.3888888889"	"  13.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 09:30'00"	"42698.3958333333"	"  13.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 09:40'00"	"42698.4027777778"	"  13.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 09:50'00"	"42698.4097222222"	"  13.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 10:00'00"	"42698.4166666667"	"  13.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 10:10'00"	"42698.4236111111"	"  13.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 10:20'00"	"42698.4305555556"	"  13.6000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 10:30'00"	"42698.4375000000"	"  14.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 10:40'00"	"42698.4444444444"	"  14.2000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 10:50'00"	"42698.4513888889"	"  14.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 11:00'00"	"42698.4583333333"	"  14.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 11:10'00"	"42698.4652777778"	"  14.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 11:20'00"	"42698.4722222222"	"  14.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 11:30'00"	"42698.4791666667"	"  14.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 11:40'00"	"42698.4861111111"	"  14.6000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 11:50'00"	"42698.4930555556"	"  14.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 12:00'00"	"42698.5000000000"	"  13.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 12:10'00"	"42698.5069444444"	"  14.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 12:20'00"	"42698.5138888889"	"  15.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 12:30'00"	"42698.5208333333"	"  16.2000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 12:40'00"	"42698.5277777778"	"  16.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 12:50'00"	"42698.5347222222"	"  18.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 13:00'00"	"42698.5416666667"	"  18.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 13:10'00"	"42698.5486111111"	"  19.0000"	"  98.0000"	""	""	""	""	""	""	
"11/24/2016 13:20'00"	"42698.5555555556"	"  19.0000"	"  97.0000"	""	""	""	""	""	""	
"11/24/2016 13:30'00"	"42698.5625000000"	"  18.9000"	"  96.0000"	""	""	""	""	""	""	
"11/24/2016 13:40'00"	"42698.5694444444"	"  18.4000"	"  93.0000"	""	""	""	""	""	""	
"11/24/2016 13:50'00"	"42698.5763888889"	"  18.1000"	"  94.0000"	""	""	""	""	""	""	
"11/24/2016 14:00'00"	"42698.5833333333"	"  18.0000"	"  94.0000"	""	""	""	""	""	""	
"11/24/2016 14:10'00"	"42698.5902777778"	"  18.6000"	"  95.0000"	""	""	""	""	""	""	
"11/24/2016 14:20'00"	"42698.5972222222"	"  19.4000"	"  96.0000"	""	""	""	""	""	""	
"11/24/2016 14:30'00"	"42698.6041666667"	"  19.8000"	"  97.0000"	""	""	""	""	""	""	
"11/24/2016 14:40'00"	"42698.6111111111"	"  20.3000"	"  98.0000"	""	""	""	""	""	""	
"11/24/2016 14:50'00"	"42698.6180555556"	"  20.7000"	"  94.0000"	""	""	""	""	""	""	
"11/24/2016 15:00'00"	"42698.6250000000"	"  19.4000"	"  80.0000"	""	""	""	""	""	""	
"11/24/2016 15:10'00"	"42698.6319444444"	"  15.9000"	"  75.0000"	""	""	""	""	""	""	
"11/24/2016 15:20'00"	"42698.6388888889"	"  14.0000"	"  83.0000"	""	""	""	""	""	""	
"11/24/2016 15:30'00"	"42698.6458333333"	"  14.5000"	"  96.0000"	""	""	""	""	""	""	
"11/24/2016 15:40'00"	"42698.6527777778"	"  15.0000"	"  98.0000"	""	""	""	""	""	""	
"11/24/2016 15:50'00"	"42698.6597222222"	"  14.7000"	"  96.0000"	""	""	""	""	""	""	
"11/24/2016 16:00'00"	"42698.6666666667"	"  14.0000"	"  96.0000"	""	""	""	""	""	""	
"11/24/2016 16:10'00"	"42698.6736111111"	"  13.2000"	"  97.0000"	""	""	""	""	""	""	
"11/24/2016 16:20'00"	"42698.6805555556"	"  12.5000"	"  97.0000"	""	""	""	""	""	""	
"11/24/2016 16:30'00"	"42698.6875000000"	"  11.9000"	"  97.0000"	""	""	""	""	""	""	
"11/24/2016 16:40'00"	"42698.6944444444"	"  11.5000"	"  98.0000"	""	""	""	""	""	""	
"11/24/2016 16:50'00"	"42698.7013888889"	"  11.1000"	"  98.0000"	""	""	""	""	""	""	
"11/24/2016 17:00'00"	"42698.7083333333"	"  11.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 17:10'00"	"42698.7152777778"	"  10.6000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 17:20'00"	"42698.7222222222"	"  10.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 17:30'00"	"42698.7291666667"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 17:40'00"	"42698.7361111111"	"   9.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 17:50'00"	"42698.7430555556"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 18:00'00"	"42698.7500000000"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 18:10'00"	"42698.7569444444"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 18:20'00"	"42698.7638888889"	"   9.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 18:30'00"	"42698.7708333333"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 18:40'00"	"42698.7777777778"	"   9.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 18:50'00"	"42698.7847222222"	"   9.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 19:00'00"	"42698.7916666667"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 19:10'00"	"42698.7986111111"	"   9.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 19:20'00"	"42698.8055555556"	"   9.4000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 19:30'00"	"42698.8125000000"	"   9.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 19:40'00"	"42698.8194444444"	"   9.2000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 19:50'00"	"42698.8263888889"	"   8.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 20:00'00"	"42698.8333333333"	"   8.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 20:10'00"	"42698.8402777778"	"   8.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 20:20'00"	"42698.8472222222"	"   8.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 20:30'00"	"42698.8541666667"	"   8.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 20:40'00"	"42698.8611111111"	"   8.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 20:50'00"	"42698.8680555556"	"   9.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 21:00'00"	"42698.8750000000"	"   9.2000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 21:10'00"	"42698.8819444444"	"   9.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 21:20'00"	"42698.8888888889"	"   8.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 21:30'00"	"42698.8958333333"	"   8.6000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 21:40'00"	"42698.9027777778"	"   8.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 21:50'00"	"42698.9097222222"	"   8.3000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 22:00'00"	"42698.9166666667"	"   8.2000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 22:10'00"	"42698.9236111111"	"   8.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 22:20'00"	"42698.9305555556"	"   8.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 22:30'00"	"42698.9375000000"	"   8.1000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 22:40'00"	"42698.9444444444"	"   8.0000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 22:50'00"	"42698.9513888889"	"   7.9000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 23:00'00"	"42698.9583333333"	"   7.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 23:10'00"	"42698.9652777778"	"   7.8000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 23:20'00"	"42698.9722222222"	"   7.7000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 23:30'00"	"42698.9791666667"	"   7.5000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 23:40'00"	"42698.9861111111"	"   7.6000"	"  99.0000"	""	""	""	""	""	""	
"11/24/2016 23:50'00"	"42698.9930555556"	"   7.7000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 00:00'00"	"42699.0000000000"	"   7.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 00:10'00"	"42699.0069444444"	"   7.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 00:20'00"	"42699.0138888889"	"   7.7000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 00:30'00"	"42699.0208333333"	"   7.7000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 00:40'00"	"42699.0277777778"	"   7.3000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 00:50'00"	"42699.0347222222"	"   7.3000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 01:00'00"	"42699.0416666667"	"   7.2000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 01:10'00"	"42699.0486111111"	"   7.1000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 01:20'00"	"42699.0555555556"	"   7.1000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 01:30'00"	"42699.0625000000"	"   7.0000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 01:40'00"	"42699.0694444444"	"   6.9000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 01:50'00"	"42699.0763888889"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 02:00'00"	"42699.0833333333"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 02:10'00"	"42699.0902777778"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 02:20'00"	"42699.0972222222"	"   6.6000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 02:30'00"	"42699.1041666667"	"   6.6000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 02:40'00"	"42699.1111111111"	"   6.6000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 02:50'00"	"42699.1180555556"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 03:00'00"	"42699.1250000000"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 03:10'00"	"42699.1319444444"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 03:20'00"	"42699.1388888889"	"   6.6000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 03:30'00"	"42699.1458333333"	"   6.7000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 03:40'00"	"42699.1527777778"	"   6.7000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 03:50'00"	"42699.1597222222"	"   6.6000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 04:00'00"	"42699.1666666667"	"   6.5000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 04:10'00"	"42699.1736111111"	"   6.4000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 04:20'00"	"42699.1805555556"	"   6.4000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 04:30'00"	"42699.1875000000"	"   6.2000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 04:40'00"	"42699.1944444444"	"   6.1000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 04:50'00"	"42699.2013888889"	"   6.0000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 05:00'00"	"42699.2083333333"	"   6.0000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 05:10'00"	"42699.2152777778"	"   6.2000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 05:20'00"	"42699.2222222222"	"   6.2000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 05:30'00"	"42699.2291666667"	"   6.3000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 05:40'00"	"42699.2361111111"	"   6.3000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 05:50'00"	"42699.2430555556"	"   6.3000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 06:00'00"	"42699.2500000000"	"   6.2000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 06:10'00"	"42699.2569444444"	"   6.2000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 06:20'00"	"42699.2638888889"	"   6.3000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 06:30'00"	"42699.2708333333"	"   6.2000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 06:40'00"	"42699.2777777778"	"   6.3000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 06:50'00"	"42699.2847222222"	"   6.5000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 07:00'00"	"42699.2916666667"	"   6.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 07:10'00"	"42699.2986111111"	"   7.1000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 07:20'00"	"42699.3055555556"	"   7.6000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 07:30'00"	"42699.3125000000"	"   8.1000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 07:40'00"	"42699.3194444444"	"   8.4000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 07:50'00"	"42699.3263888889"	"   8.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 08:00'00"	"42699.3333333333"	"   9.1000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 08:10'00"	"42699.3402777778"	"   9.6000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 08:20'00"	"42699.3472222222"	"  10.0000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 08:30'00"	"42699.3541666667"	"  10.2000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 08:40'00"	"42699.3611111111"	"  10.7000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 08:50'00"	"42699.3680555556"	"  11.7000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 09:00'00"	"42699.3750000000"	"  13.1000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 09:10'00"	"42699.3819444444"	"  13.8000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 09:20'00"	"42699.3888888889"	"  14.0000"	"  99.0000"	""	""	""	""	""	""	
"11/25/2016 09:30'00"	"42699.3958333333"	"  14.5000"	"  98.0000"	""	""	""	""	""	""	
