"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	""	""	""	""	""	""
"11/16/2016 09:30'00"	"42690.3958333333"	"  13.7000"	"  77.0000"	""	""	""	""	""	""	
"11/16/2016 09:40'00"	"42690.4027777778"	"  14.7000"	"  77.0000"	""	""	""	""	""	""	
"11/16/2016 09:50'00"	"42690.4097222222"	"  15.6000"	"  76.0000"	""	""	""	""	""	""	
"11/16/2016 10:00'00"	"42690.4166666667"	"  16.0000"	"  73.0000"	""	""	""	""	""	""	
"11/16/2016 10:10'00"	"42690.4236111111"	"  16.4000"	"  72.0000"	""	""	""	""	""	""	
"11/16/2016 10:20'00"	"42690.4305555556"	"  17.3000"	"  71.0000"	""	""	""	""	""	""	
"11/16/2016 10:30'00"	"42690.4375000000"	"  17.7000"	"  68.0000"	""	""	""	""	""	""	
"11/16/2016 10:40'00"	"42690.4444444444"	"  18.0000"	"  65.0000"	""	""	""	""	""	""	
"11/16/2016 10:50'00"	"42690.4513888889"	"  18.3000"	"  68.0000"	""	""	""	""	""	""	
"11/16/2016 11:00'00"	"42690.4583333333"	"  19.0000"	"  61.0000"	""	""	""	""	""	""	
"11/16/2016 11:10'00"	"42690.4652777778"	"  18.4000"	"  58.0000"	""	""	""	""	""	""	
"11/16/2016 11:20'00"	"42690.4722222222"	"  18.6000"	"  59.0000"	""	""	""	""	""	""	
"11/16/2016 11:30'00"	"42690.4791666667"	"  19.3000"	"  57.0000"	""	""	""	""	""	""	
"11/16/2016 11:40'00"	"42690.4861111111"	"  19.7000"	"  57.0000"	""	""	""	""	""	""	
"11/16/2016 11:50'00"	"42690.4930555556"	"  20.0000"	"  52.0000"	""	""	""	""	""	""	
"11/16/2016 12:00'00"	"42690.5000000000"	"  20.4000"	"  54.0000"	""	""	""	""	""	""	
"11/16/2016 12:10'00"	"42690.5069444444"	"  22.6000"	"  52.0000"	""	""	""	""	""	""	
"11/16/2016 12:20'00"	"42690.5138888889"	"  22.3000"	"  53.0000"	""	""	""	""	""	""	
"11/16/2016 12:30'00"	"42690.5208333333"	"  22.0000"	"  54.0000"	""	""	""	""	""	""	
"11/16/2016 12:40'00"	"42690.5277777778"	"  22.3000"	"  58.0000"	""	""	""	""	""	""	
"11/16/2016 12:50'00"	"42690.5347222222"	"  22.6000"	"  57.0000"	""	""	""	""	""	""	
"11/16/2016 13:00'00"	"42690.5416666667"	"  22.6000"	"  57.0000"	""	""	""	""	""	""	
"11/16/2016 13:10'00"	"42690.5486111111"	"  22.7000"	"  55.0000"	""	""	""	""	""	""	
"11/16/2016 13:20'00"	"42690.5555555556"	"  22.5000"	"  60.0000"	""	""	""	""	""	""	
"11/16/2016 13:30'00"	"42690.5625000000"	"  22.8000"	"  63.0000"	""	""	""	""	""	""	
"11/16/2016 13:40'00"	"42690.5694444444"	"  22.2000"	"  60.0000"	""	""	""	""	""	""	
"11/16/2016 13:50'00"	"42690.5763888889"	"  21.9000"	"  61.0000"	""	""	""	""	""	""	
"11/16/2016 14:00'00"	"42690.5833333333"	"  21.6000"	"  63.0000"	""	""	""	""	""	""	
"11/16/2016 14:10'00"	"42690.5902777778"	"  21.3000"	"  67.0000"	""	""	""	""	""	""	
"11/16/2016 14:20'00"	"42690.5972222222"	"  20.9000"	"  68.0000"	""	""	""	""	""	""	
"11/16/2016 14:30'00"	"42690.6041666667"	"  19.9000"	"  67.0000"	""	""	""	""	""	""	
"11/16/2016 14:40'00"	"42690.6111111111"	"  19.0000"	"  73.0000"	""	""	""	""	""	""	
"11/16/2016 14:50'00"	"42690.6180555556"	"  18.7000"	"  74.0000"	""	""	""	""	""	""	
"11/16/2016 15:00'00"	"42690.6250000000"	"  18.1000"	"  73.0000"	""	""	""	""	""	""	
"11/16/2016 15:10'00"	"42690.6319444444"	"  17.6000"	"  78.0000"	""	""	""	""	""	""	
"11/16/2016 15:20'00"	"42690.6388888889"	"  17.3000"	"  80.0000"	""	""	""	""	""	""	
