Date/Time,ch.1,ch.2
01/10/2019 11:00'00,19.6,17
01/10/2019 11:10'00,18.2,17.2
01/10/2019 11:20'00,17.5,17.2
01/10/2019 11:30'00,16,17.3
01/10/2019 11:40'00,14.9,17.3
01/10/2019 11:50'00,14,17.3
01/10/2019 12:00'00,14,17.3
01/10/2019 12:10'00,15.4,17.3
01/10/2019 12:20'00,16.2,17.3
01/10/2019 12:30'00,16.5,17.3
01/10/2019 12:40'00,16.3,17.3
01/10/2019 12:50'00,15.8,17.3
01/10/2019 13:00'00,15.4,17.3
01/10/2019 13:10'00,15.2,17.3
01/10/2019 13:20'00,15,17.3
01/10/2019 13:30'00,14.8,17.3
01/10/2019 13:40'00,15.3,17.3
01/10/2019 13:50'00,15.8,17.3
01/10/2019 14:00'00,15.9,17.3
01/10/2019 14:10'00,15.8,17.3
01/10/2019 14:20'00,16.5,17.3
01/10/2019 14:30'00,17.3,17.3
01/10/2019 14:40'00,18,17.3
01/10/2019 14:50'00,18.6,17.4
01/10/2019 15:00'00,18.5,17.4
01/10/2019 15:10'00,19,17.4
01/10/2019 15:20'00,18.8,17.5
01/10/2019 15:30'00,18.4,17.6
01/10/2019 15:40'00,18,17.6
01/10/2019 15:50'00,17.3,17.7
01/10/2019 16:00'00,16.4,17.7
01/10/2019 16:10'00,16,17.7
01/10/2019 16:20'00,15.8,17.7
01/10/2019 16:30'00,15.7,17.7
01/10/2019 16:40'00,15.9,17.6
01/10/2019 16:50'00,15,17.6
01/10/2019 17:00'00,14.4,17.6
01/10/2019 17:10'00,13.9,17.6
01/10/2019 17:20'00,13.5,17.5
01/10/2019 17:30'00,15.2,17.5
01/10/2019 17:40'00,14.2,17.4
01/10/2019 17:50'00,13.7,17.3
01/10/2019 18:00'00,14.1,17.3
01/10/2019 18:10'00,14.8,17.3
01/10/2019 18:20'00,13.8,17.2
01/10/2019 18:30'00,13.4,17.2
01/10/2019 18:40'00,15.5,17.1
01/10/2019 18:50'00,14.1,17.2
01/10/2019 19:00'00,13.5,17.1
01/10/2019 19:10'00,14.5,17
01/10/2019 19:20'00,14.5,17.1
01/10/2019 19:30'00,13.7,17
01/10/2019 19:40'00,13.5,16.9
01/10/2019 19:50'00,15.1,17
01/10/2019 20:00'00,13.8,17
01/10/2019 20:10'00,13.3,16.9
01/10/2019 20:20'00,15.6,16.8
01/10/2019 20:30'00,14,16.9
01/10/2019 20:40'00,13.5,16.9
01/10/2019 20:50'00,15,16.7
01/10/2019 21:00'00,14.3,16.8
01/10/2019 21:10'00,13.5,16.8
01/10/2019 21:20'00,14.2,16.8
01/10/2019 21:30'00,14.5,16.8
01/10/2019 21:40'00,13.5,16.7
01/10/2019 21:50'00,14.5,16.7
01/10/2019 22:00'00,14.3,16.7
01/10/2019 22:10'00,13.2,16.7
01/10/2019 22:20'00,15.5,16.6
01/10/2019 22:30'00,13.9,16.6
01/10/2019 22:40'00,13.4,16.6
01/10/2019 22:50'00,15.3,16.6
01/10/2019 23:00'00,13.6,16.6
01/10/2019 23:10'00,13.6,16.6
01/10/2019 23:20'00,15,16.6
01/10/2019 23:30'00,13.4,16.6
01/10/2019 23:40'00,14.6,16.5
01/10/2019 23:50'00,14.1,16.5
01/11/2019 00:00'00,13.2,16.5
01/11/2019 00:10'00,15.1,16.4
01/11/2019 00:20'00,13.4,16.5
01/11/2019 00:30'00,14.4,16.5
01/11/2019 00:40'00,14.1,16.4
01/11/2019 00:50'00,13.3,16.4
01/11/2019 01:00'00,15,16.3
01/11/2019 01:10'00,13.1,16.4
01/11/2019 01:20'00,14.7,16.3
01/11/2019 01:30'00,13.6,16.4
01/11/2019 01:40'00,13.7,16.4
01/11/2019 01:50'00,14.6,16.3
01/11/2019 02:00'00,13.2,16.4
01/11/2019 02:10'00,15.1,16.2
01/11/2019 02:20'00,14,16.3
01/11/2019 02:30'00,13.5,16.3
01/11/2019 02:40'00,14.8,16.3
01/11/2019 02:50'00,13.2,16.3
01/11/2019 03:00'00,14.7,16.3
01/11/2019 03:10'00,13.8,16.3
01/11/2019 03:20'00,13.5,16.2
01/11/2019 03:30'00,14.7,16.2
01/11/2019 03:40'00,13,16.2
01/11/2019 03:50'00,15,16.2
01/11/2019 04:00'00,13.7,16.2
01/11/2019 04:10'00,13.7,16.1
01/11/2019 04:20'00,14.4,16.1
01/11/2019 04:30'00,13.1,16.2
01/11/2019 04:40'00,15.1,16.2
01/11/2019 04:50'00,13.4,16.2
01/11/2019 05:00'00,14.4,16.1
01/11/2019 05:10'00,13.9,16.2
01/11/2019 05:20'00,13.4,16.1
01/11/2019 05:30'00,14.7,16.1
01/11/2019 05:40'00,13,16.1
01/11/2019 05:50'00,15,16.1
01/11/2019 06:00'00,13.6,16.1
01/11/2019 06:10'00,13.6,16.1
01/11/2019 06:20'00,14.5,16
01/11/2019 06:30'00,13,16.1
01/11/2019 06:40'00,15,16.1
01/11/2019 06:50'00,13.4,16.1
01/11/2019 07:00'00,13.7,16
01/11/2019 07:10'00,14.1,16.1
01/11/2019 07:20'00,13.1,16.1
01/11/2019 07:30'00,15,16
01/11/2019 07:40'00,13.4,16.1
01/11/2019 07:50'00,14,16
01/11/2019 08:00'00,14.4,16
01/11/2019 08:10'00,13.6,16.1
01/11/2019 08:20'00,14.1,16.1
01/11/2019 08:30'00,14.6,16.1
01/11/2019 08:40'00,14,16.1
01/11/2019 08:50'00,14.6,16.1
01/11/2019 09:00'00,17.5,16.1
01/11/2019 09:10'00,18.4,16.1
01/11/2019 09:20'00,19.5,16.2
01/11/2019 09:30'00,21.2,16.2
01/11/2019 09:40'00,23.3,16.3
01/11/2019 09:50'00,24,16.4
01/11/2019 10:00'00,24.4,16.5
01/11/2019 10:10'00,26.7,16.7
01/11/2019 10:20'00,27.4,16.8
01/11/2019 10:30'00,26.1,16.9
01/11/2019 10:40'00,26.1,17.1
01/11/2019 10:50'00,27.5,17.1
01/11/2019 11:00'00,30.3,17.2
01/11/2019 11:10'00,29.8,17.4
01/11/2019 11:20'00,27.7,17.6
01/11/2019 11:30'00,28.5,17.7
01/11/2019 11:40'00,28.2,17.9
01/11/2019 11:50'00,27.6,18
01/11/2019 12:00'00,28.3,18.2
01/11/2019 12:10'00,28.1,21.3
01/11/2019 12:20'00,26.7,22
01/11/2019 12:30'00,27.1,22.5
01/11/2019 12:40'00,29.5,22.7
01/11/2019 12:50'00,32.4,23.8
01/11/2019 13:00'00,29.1,23.3
01/11/2019 13:10'00,30.3,23.1
01/11/2019 13:20'00,31.6,23.6
01/11/2019 13:30'00,32.5,24.2
01/11/2019 13:40'00,30.8,24.8
01/11/2019 13:50'00,32.8,25.1
01/11/2019 14:00'00,31.7,25.5
01/11/2019 14:10'00,32,25.5
01/11/2019 14:20'00,31.7,25.4
01/11/2019 14:30'00,32.6,25.8
01/11/2019 14:40'00,33.5,26.2
01/11/2019 14:50'00,30,25.8
01/11/2019 15:00'00,31.9,25.7
01/11/2019 15:10'00,30.3,25.2
01/11/2019 15:20'00,29.1,24.6
01/11/2019 15:30'00,27.3,24
01/11/2019 15:40'00,25.1,23.5
01/11/2019 15:50'00,24.4,23.3
01/11/2019 16:00'00,23.1,22.8
01/11/2019 16:10'00,21.8,22.4
01/11/2019 16:20'00,20.8,22
01/11/2019 16:30'00,20.2,21.6
01/11/2019 16:40'00,19.6,21.2
01/11/2019 16:50'00,18.9,20.8
01/11/2019 17:00'00,18.4,20.4
01/11/2019 17:10'00,17.9,20.1
01/11/2019 17:20'00,17.4,19.8
01/11/2019 17:30'00,17,19.5
01/11/2019 17:40'00,16.7,19.2
01/11/2019 17:50'00,16.5,19
01/11/2019 18:00'00,16.1,18.7
01/11/2019 18:10'00,15.9,18.5
01/11/2019 18:20'00,15.7,18.3
01/11/2019 18:30'00,15.4,18.1
01/11/2019 18:40'00,15.2,17.9
01/11/2019 18:50'00,14.9,17.8
01/11/2019 19:00'00,14.8,17.6
01/11/2019 19:10'00,14.6,17.4
01/11/2019 19:20'00,14.4,17.2
01/11/2019 19:30'00,14.4,17.1
01/11/2019 19:40'00,15.2,17.3
01/11/2019 19:50'00,14.5,17
01/11/2019 20:00'00,14.2,16.8
01/11/2019 20:10'00,14.3,16.8
01/11/2019 20:20'00,15.1,17
01/11/2019 20:30'00,14.3,16.8
01/11/2019 20:40'00,13.9,16.6
01/11/2019 20:50'00,15.1,16.7
01/11/2019 21:00'00,14.1,16.5
01/11/2019 21:10'00,14.1,16.5
01/11/2019 21:20'00,14.8,16.6
01/11/2019 21:30'00,13.9,16.4
01/11/2019 21:40'00,14.5,16.4
01/11/2019 21:50'00,14.5,16.5
01/11/2019 22:00'00,13.4,16.2
01/11/2019 22:10'00,15,16.2
01/11/2019 22:20'00,14.1,16.3
01/11/2019 22:30'00,13.7,16
01/11/2019 22:40'00,15,16.2
01/11/2019 22:50'00,13.6,16.1
01/11/2019 23:00'00,14.2,16
01/11/2019 23:10'00,14.3,16.1
01/11/2019 23:20'00,13.3,15.9
01/11/2019 23:30'00,14.9,15.9
01/11/2019 23:40'00,13.6,15.9
01/11/2019 23:50'00,14.1,15.8
01/12/2019 00:00'00,14.4,15.9
01/12/2019 00:10'00,13.4,15.7
01/12/2019 00:20'00,15.1,15.8
01/12/2019 00:30'00,13.9,15.9
01/12/2019 00:40'00,13.4,15.7
01/12/2019 00:50'00,15.2,15.9
01/12/2019 01:00'00,14,15.9
01/12/2019 01:10'00,13.4,15.7
01/12/2019 01:20'00,15.3,15.8
01/12/2019 01:30'00,14.1,15.8
01/12/2019 01:40'00,13.4,15.7
01/12/2019 01:50'00,15.1,15.7
01/12/2019 02:00'00,14,15.8
01/12/2019 02:10'00,13.4,15.5
01/12/2019 02:20'00,15.3,15.7
01/12/2019 02:30'00,13.8,15.7
01/12/2019 02:40'00,13.4,15.6
01/12/2019 02:50'00,15.1,15.7
01/12/2019 03:00'00,13.7,15.6
01/12/2019 03:10'00,13.5,15.5
01/12/2019 03:20'00,15.1,15.6
01/12/2019 03:30'00,13.8,15.6
01/12/2019 03:40'00,13.2,15.4
01/12/2019 03:50'00,15.2,15.5
01/12/2019 04:00'00,14,15.6
01/12/2019 04:10'00,13.2,15.3
01/12/2019 04:20'00,15.2,15.5
01/12/2019 04:30'00,13.8,15.4
01/12/2019 04:40'00,13.3,15.3
01/12/2019 04:50'00,15,15.4
01/12/2019 05:00'00,13.6,15.4
01/12/2019 05:10'00,13.6,15.3
01/12/2019 05:20'00,14.7,15.5
01/12/2019 05:30'00,13.6,15.4
01/12/2019 05:40'00,13.7,15.2
01/12/2019 05:50'00,14.7,15.6
01/12/2019 06:00'00,13.6,15.3
01/12/2019 06:10'00,13.5,15.2
01/12/2019 06:20'00,14.9,15.5
01/12/2019 06:30'00,13.6,15.3
01/12/2019 06:40'00,13.4,15.2
01/12/2019 06:50'00,15,15.5
01/12/2019 07:00'00,13.6,15.3
01/12/2019 07:10'00,13.7,15.2
01/12/2019 07:20'00,14.6,15.5
01/12/2019 07:30'00,13.6,15.4
01/12/2019 07:40'00,13.5,15.3
01/12/2019 07:50'00,15.2,15.5
01/12/2019 08:00'00,14,15.5
01/12/2019 08:10'00,13.7,15.4
01/12/2019 08:20'00,13.9,15.4
01/12/2019 08:30'00,14.1,15.6
01/12/2019 08:40'00,14.2,15.6
01/12/2019 08:50'00,14.4,15.6
01/12/2019 09:00'00,14.6,15.7
01/12/2019 09:10'00,14.8,15.8
01/12/2019 09:20'00,15.6,16
01/12/2019 09:30'00,16.4,15.6
01/12/2019 09:40'00,15.7,15.4
01/12/2019 09:50'00,15.6,15.8
01/12/2019 10:00'00,16.2,16
01/12/2019 10:10'00,15.9,16.1
01/12/2019 10:20'00,15.5,16.1
01/12/2019 10:30'00,15.2,16.1
01/12/2019 10:40'00,15.5,16.1
01/12/2019 10:50'00,15.9,16.2
01/12/2019 11:00'00,15.8,16.2
01/12/2019 11:10'00,15.7,16.2
01/12/2019 11:20'00,15.1,16.1
01/12/2019 11:30'00,14.6,16
01/12/2019 11:40'00,14.7,15.9
01/12/2019 11:50'00,14.3,15.8
01/12/2019 12:00'00,14,15.7
01/12/2019 12:10'00,15.3,16
01/12/2019 12:20'00,16,16.2
01/12/2019 12:30'00,16.9,16.6
01/12/2019 12:40'00,18,16.8
01/12/2019 12:50'00,18.7,17.1
01/12/2019 13:00'00,19.7,17.5
01/12/2019 13:10'00,20.6,17.9
01/12/2019 13:20'00,21.1,18
01/12/2019 13:30'00,21.6,17.1
01/12/2019 13:40'00,22.6,17
01/12/2019 13:50'00,22.6,17.1
01/12/2019 14:00'00,22.8,17.3
01/12/2019 14:10'00,22.6,17.3
01/12/2019 14:20'00,21.9,17.5
01/12/2019 14:30'00,20.8,17.6
01/12/2019 14:40'00,20.9,17.7
01/12/2019 14:50'00,20.6,17.8
01/12/2019 15:00'00,20.3,17.9
01/12/2019 15:10'00,20.3,17.9
01/12/2019 15:20'00,20.1,17.9
01/12/2019 15:30'00,19.9,18
01/12/2019 15:40'00,18.7,18
01/12/2019 15:50'00,17.9,18
01/12/2019 16:00'00,17.3,18
01/12/2019 16:10'00,16.8,18
01/12/2019 16:20'00,16.5,18
01/12/2019 16:30'00,16.2,17.9
01/12/2019 16:40'00,15.9,17.9
01/12/2019 16:50'00,15.6,17.9
01/12/2019 17:00'00,15.3,17.9
01/12/2019 17:10'00,15,17.8
01/12/2019 17:20'00,14.7,17.7
01/12/2019 17:30'00,14.4,17.7
01/12/2019 17:40'00,14.3,17.7
01/12/2019 17:50'00,14.1,17.6
01/12/2019 18:00'00,14.1,17.5
01/12/2019 18:10'00,13.9,17.5
01/12/2019 18:20'00,13.8,17.4
01/12/2019 18:30'00,13.7,17.3
01/12/2019 18:40'00,13.9,17.3
01/12/2019 18:50'00,14.8,17.2
01/12/2019 19:00'00,14.2,17.2
01/12/2019 19:10'00,13.8,17.2
01/12/2019 19:20'00,13.6,17.2
01/12/2019 19:30'00,14.6,17.1
01/12/2019 19:40'00,13.7,17.1
01/12/2019 19:50'00,13.8,17
01/12/2019 20:00'00,14.2,17
01/12/2019 20:10'00,13.5,17
01/12/2019 20:20'00,14.3,16.9
01/12/2019 20:30'00,14.2,16.9
01/12/2019 20:40'00,13.7,16.9
01/12/2019 20:50'00,13.3,16.9
01/12/2019 21:00'00,14.8,16.8
01/12/2019 21:10'00,14.1,16.8
01/12/2019 21:20'00,13.6,16.7
01/12/2019 21:30'00,13.5,16.7
01/12/2019 21:40'00,14.8,16.7
01/12/2019 21:50'00,13.5,16.7
01/12/2019 22:00'00,13.8,16.7
01/12/2019 22:10'00,14.6,16.6
01/12/2019 22:20'00,13.3,16.6
01/12/2019 22:30'00,14.2,16.6
01/12/2019 22:40'00,14,16.6
01/12/2019 22:50'00,13.1,16.6
01/12/2019 23:00'00,14.6,16.5
01/12/2019 23:10'00,13.2,16.5
01/12/2019 23:20'00,13.7,16.5
01/12/2019 23:30'00,14.1,16.5
01/12/2019 23:40'00,13,16.5
01/12/2019 23:50'00,14.9,16.4
01/13/2019 00:00'00,13.3,16.4
01/13/2019 00:10'00,13.8,16.3
01/13/2019 00:20'00,14.1,16.3
01/13/2019 00:30'00,13,16.3
01/13/2019 00:40'00,15.1,16.3
01/13/2019 00:50'00,13.2,16.3
01/13/2019 01:00'00,13.7,16.3
01/13/2019 01:10'00,14.2,16.2
01/13/2019 01:20'00,13,16.3
01/13/2019 01:30'00,14.8,16.2
01/13/2019 01:40'00,13.4,16.2
01/13/2019 01:50'00,13.8,16.2
01/13/2019 02:00'00,14,16.2
01/13/2019 02:10'00,12.9,16.2
01/13/2019 02:20'00,14.3,16.1
01/13/2019 02:30'00,12.7,16.1
01/13/2019 02:40'00,13.7,16.1
01/13/2019 02:50'00,13.5,16.1
01/13/2019 03:00'00,13,16.1
01/13/2019 03:10'00,14,16
01/13/2019 03:20'00,12.6,16
01/13/2019 03:30'00,13.8,16
01/13/2019 03:40'00,12.8,16
01/13/2019 03:50'00,13.2,16
01/13/2019 04:00'00,13.5,15.9
01/13/2019 04:10'00,12.6,15.9
01/13/2019 04:20'00,14.2,15.9
01/13/2019 04:30'00,12.4,15.9
01/13/2019 04:40'00,14,15.8
01/13/2019 04:50'00,13.4,15.8
01/13/2019 05:00'00,12.9,15.8
01/13/2019 05:10'00,14.2,15.8
01/13/2019 05:20'00,12.5,15.8
01/13/2019 05:30'00,14,15.7
01/13/2019 05:40'00,13.2,15.7
01/13/2019 05:50'00,13.1,15.7
01/13/2019 06:00'00,14,15.7
01/13/2019 06:10'00,12.6,15.7
01/13/2019 06:20'00,14.4,15.7
01/13/2019 06:30'00,12.7,15.7
01/13/2019 06:40'00,14,15.7
01/13/2019 06:50'00,13.7,15.7
01/13/2019 07:00'00,13,15.7
01/13/2019 07:10'00,14.6,15.6
01/13/2019 07:20'00,12.6,15.7
01/13/2019 07:30'00,14.2,15.6
01/13/2019 07:40'00,12.9,15.7
01/13/2019 07:50'00,13.9,15.6
01/13/2019 08:00'00,13.4,15.7
01/13/2019 08:10'00,12.7,15.7
01/13/2019 08:20'00,15.3,15.6
01/13/2019 08:30'00,15.1,15.6
01/13/2019 08:40'00,15.4,15.7
01/13/2019 08:50'00,16.2,15.7
01/13/2019 09:00'00,17.3,15.7
01/13/2019 09:10'00,18.5,15.8
01/13/2019 09:20'00,19.7,15.9
01/13/2019 09:30'00,21.7,15.9
01/13/2019 09:40'00,22.7,16
01/13/2019 09:50'00,24.7,16.1
01/13/2019 10:00'00,25.6,16.3
01/13/2019 10:10'00,26.7,16.4
01/13/2019 10:20'00,27.5,16.6
01/13/2019 10:30'00,27.4,16.7
01/13/2019 10:40'00,27.3,16.9
01/13/2019 10:50'00,28.2,17.1
01/13/2019 11:00'00,30.9,17.3
01/13/2019 11:10'00,29.1,17.5
01/13/2019 11:20'00,30.3,17.7
01/13/2019 11:30'00,30.4,17.9
01/13/2019 11:40'00,30,18
01/13/2019 11:50'00,30,18.1
01/13/2019 12:00'00,28.5,18.3
01/13/2019 12:10'00,28.1,18.4
01/13/2019 12:20'00,29.2,18.6
01/13/2019 12:30'00,29.2,18.8
01/13/2019 12:40'00,29.4,19.1
01/13/2019 12:50'00,33,19.4
01/13/2019 13:00'00,32,19.7
01/13/2019 13:10'00,33.5,20
01/13/2019 13:20'00,33.5,20.2
01/13/2019 13:30'00,33.9,20.4
01/13/2019 13:40'00,32.5,20.7
01/13/2019 13:50'00,34,20.9
01/13/2019 14:00'00,34.1,21.1
01/13/2019 14:10'00,34.2,21.3
01/13/2019 14:20'00,33.1,21.5
01/13/2019 14:30'00,33.3,21.7
01/13/2019 14:40'00,34.1,21.8
01/13/2019 14:50'00,33,22
01/13/2019 15:00'00,32.4,22.1
01/13/2019 15:10'00,32.5,22.2
01/13/2019 15:20'00,32.6,22.2
01/13/2019 15:30'00,30.9,22.2
01/13/2019 15:40'00,29.5,22.2
01/13/2019 15:50'00,28.6,22.2
01/13/2019 16:00'00,27.8,22.2
01/13/2019 16:10'00,27.9,22.2
01/13/2019 16:20'00,27.5,22.1
01/13/2019 16:30'00,26.6,22
01/13/2019 16:40'00,25.4,22
