"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-71 temp","TR-71 soil"
"","","°C","°C"
"2018-03-23 14:40:00","43182.6111111111","26.9","20.8"
"2018-03-23 14:50:00","43182.6180555556","26.7","20.7"
"2018-03-23 15:00:00","43182.6250000000","26.3","20.7"
"2018-03-23 15:10:00","43182.6319444444","25.9","20.6"
"2018-03-23 15:20:00","43182.6388888889","25.4","20.6"
"2018-03-23 15:30:00","43182.6458333333","25.1","20.5"
"2018-03-23 15:40:00","43182.6527777778","25.2","20.4"
"2018-03-23 15:50:00","43182.6597222222","26.0","20.4"
"2018-03-23 16:00:00","43182.6666666667","25.7","20.3"
"2018-03-23 16:10:00","43182.6736111111","25.7","20.3"
"2018-03-23 16:20:00","43182.6805555556","26.4","20.2"
"2018-03-23 16:30:00","43182.6875000000","26.1","20.2"
"2018-03-23 16:40:00","43182.6944444444","23.8","20.2"
"2018-03-23 16:50:00","43182.7013888889","23.6","20.1"
"2018-03-23 17:00:00","43182.7083333333","23.2","20.1"
"2018-03-23 17:10:00","43182.7152777778","22.7","20.0"
"2018-03-23 17:20:00","43182.7222222222","21.8","19.9"
"2018-03-23 17:30:00","43182.7291666667","20.7","19.8"
"2018-03-23 17:40:00","43182.7361111111","19.6","19.8"
"2018-03-23 17:50:00","43182.7430555556","18.4","19.6"
"2018-03-23 18:00:00","43182.7500000000","17.3","19.5"
"2018-03-23 18:10:00","43182.7569444444","16.2","19.3"
"2018-03-23 18:20:00","43182.7638888889","15.3","19.1"
"2018-03-23 18:30:00","43182.7708333333","14.6","19.0"
"2018-03-23 18:40:00","43182.7777777778","14.3","18.8"
"2018-03-23 18:50:00","43182.7847222222","13.9","18.6"
"2018-03-23 19:00:00","43182.7916666667","13.4","18.5"
"2018-03-23 19:10:00","43182.7986111111","13.1","18.3"
"2018-03-23 19:20:00","43182.8055555556","12.8","18.2"
"2018-03-23 19:30:00","43182.8125000000","13.6","18.0"
"2018-03-23 19:40:00","43182.8194444444","13.2","17.9"
"2018-03-23 19:50:00","43182.8263888889","12.5","17.8"
"2018-03-23 20:00:00","43182.8333333333","13.6","17.7"
"2018-03-23 20:10:00","43182.8402777778","13.2","17.6"
"2018-03-23 20:20:00","43182.8472222222","13.1","17.5"
"2018-03-23 20:30:00","43182.8541666667","13.7","17.5"
"2018-03-23 20:40:00","43182.8611111111","13.1","17.4"
"2018-03-23 20:50:00","43182.8680555556","13.7","17.3"
"2018-03-23 21:00:00","43182.8750000000","13.7","17.2"
"2018-03-23 21:10:00","43182.8819444444","13.1","17.2"
