date,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2017-10-13,21.1111111111111,22.10416666666666,20.514583333333334,92.20138888888889,18.6,21.6,18.3,72,29.5,22.9,26.9,100
2017-10-14,20.251388888888897,21.476388888888884,19.03472222222223,98.75694444444444,18.3,20.9,17.4,89,25.2,22.1,23.6,100
2017-10-15,18.98472222222221,20.715277777777775,17.593750000000004,99.65972222222223,16.9,19.9,15.9,94,23.2,21.3,20.7,100
2017-10-16,17.660416666666688,19.529032258064507,12.743750000000011,100.0,15.8,19.2,6.1,100,21.9,19.9,16.6,100
2017-10-17,17.381249999999998,,13.92083333333333,97.15277777777777,14.9,,9.5,83,23.7,,23.4,100
2017-10-18,18.839583333333323,,17.236111111111114,76.61111111111111,12.5,,6.8,32,34.3,,38.1,100
2017-10-19,15.863888888888896,18.28125,8.838194444444438,98.60416666666667,12.2,18.2,0.3,77,20.7,18.4,15.3,100
2017-10-20,19.079861111111118,19.19930555555557,16.029166666666672,93.97916666666667,15.2,17.7,11.3,62,32.6,30.1,30.7,100
2017-10-21,19.046527777777776,19.320138888888877,13.624305555555555,99.11111111111111,17.3,17.3,10.2,90,23.1,22.4,22.5,100
2017-10-22,19.430555555555543,19.759027777777778,12.770138888888892,100.0,17.7,19.2,11.8,100,21.5,20.6,15.2,100
2017-10-23,19.41041666666667,19.843055555555566,16.49583333333333,81.27777777777777,12.8,17.3,9.9,48,28.4,22.0,26.5,100
2017-10-24,17.038194444444457,18.15694444444445,11.486111111111107,98.36805555555556,12.6,17.0,3.4,90,24.4,19.5,15.7,100
2017-10-25,16.061111111111117,17.920138888888896,13.541666666666666,98.81944444444444,12.0,16.4,10.5,91,22.3,19.3,19.2,100
2017-10-26,17.146527777777777,17.631944444444443,13.920138888888893,91.15972222222223,9.0,14.7,5.1,55,31.0,21.6,28.2,100
2017-10-27,18.021527777777774,18.13125000000001,15.386111111111108,89.96527777777777,10.9,15.5,5.7,56,29.1,21.3,27.4,100
2017-10-28,16.45902777777777,17.926388888888898,14.323611111111111,96.3125,14.7,17.3,9.8,81,20.6,18.8,19.5,100
2017-10-29,17.60555555555555,18.223611111111097,10.334722222222219,100.0,15.2,17.3,9.3,100,21.6,19.3,12.0,100
2017-10-30,16.127777777777776,17.654166666666658,14.74444444444444,81.11111111111111,9.4,15.1,9.4,44,25.7,19.6,24.9,100
2017-10-31,15.598611111111106,16.5875,12.689583333333331,89.95833333333333,8.2,13.9,1.8,52,27.7,20.3,26.7,100
2017-11-01,16.288888888888888,17.294444444444448,13.48194444444445,91.47916666666667,9.3,15.0,5.1,55,28.4,20.9,28.2,100
2017-11-02,15.690277777777778,16.62222222222222,13.251388888888892,90.1875,7.7,13.5,5.7,49,27.4,20.1,27.8,100
2017-11-03,17.38055555555554,17.440972222222218,15.181944444444449,87.67361111111111,9.3,14.4,7.5,46,28.7,20.6,28.4,100
2017-11-04,17.101388888888895,17.93263888888889,14.51944444444445,86.8125,10.2,15.4,8.6,53,27.4,20.6,25.8,100
2017-11-05,15.247222222222227,16.268055555555563,14.329861111111118,84.11111111111111,8.6,13.9,8.7,50,29.5,19.6,26.0,100
2017-11-06,16.921527777777797,17.01527777777778,13.661805555555558,93.5625,9.9,14.5,6.6,59,30.4,21.0,27.7,100
2017-11-07,18.798611111111107,18.035416666666674,16.138194444444444,91.55555555555556,12.0,15.6,9.8,61,31.7,21.2,28.7,100
2017-11-08,17.57013888888889,18.367361111111105,12.637500000000003,100.0,14.6,17.5,11.2,100,21.7,19.4,15.9,100
2017-11-09,16.0451388888889,17.312499999999996,15.20138888888889,79.43055555555556,9.8,15.1,9.9,43,25.1,19.9,24.3,100
2017-11-10,14.941666666666663,16.184027777777793,12.364583333333327,93.32638888888889,8.8,14.3,3.2,62,26.7,19.2,23.8,100
2017-11-11,15.486111111111118,16.53472222222222,12.247222222222227,89.29166666666667,9.9,14.4,3.9,48,24.6,19.4,24.6,100
2017-11-12,12.739583333333336,14.649305555555564,11.794444444444444,88.99305555555556,7.3,12.6,6.6,62,22.5,16.9,20.1,100
2017-11-13,14.031944444444445,14.89791666666667,9.409027777777775,97.79166666666667,5.4,11.4,3.5,72,27.5,18.9,24.2,100
2017-11-14,13.698611111111113,15.326388888888882,10.313888888888885,100.0,10.0,14.0,7.8,100,19.6,16.7,15.9,100
2017-11-15,14.745833333333337,15.671527777777783,10.131944444444446,96.79166666666667,9.0,13.5,3.1,65,27.1,18.7,23.7,100
2017-11-16,11.147916666666669,13.90555555555556,9.89236111111111,88.44444444444444,6.6,12.1,5.3,53,22.2,16.2,20.8,100
2017-11-17,12.455555555555556,13.759027777777781,9.602777777777774,92.1875,5.8,11.1,2.2,51,25.1,17.5,24.8,100
2017-11-18,11.003472222222225,12.711805555555562,7.772222222222222,100.0,8.4,10.3,6.7,100,13.8,13.7,10.4,100
2017-11-19,11.29722222222222,11.470138888888885,9.85138888888889,91.77083333333333,5.7,8.1,4.6,67,23.9,17.8,20.1,100
2017-11-20,10.379861111111111,10.80347222222222,9.156249999999998,96.19444444444444,5.2,7.3,4.9,75,23.5,17.6,19.9,100
2017-11-21,11.35,11.154166666666665,9.844444444444447,90.27083333333333,4.7,6.9,4.0,58,24.8,18.5,20.7,100
2017-11-22,12.403472222222224,12.454861111111112,10.328472222222226,97.38194444444444,6.8,8.7,5.6,70,23.1,17.0,19.1,100
2017-11-23,14.897916666666665,14.654166666666665,10.259722222222218,97.99305555555556,9.6,12.6,2.2,71,25.6,17.4,20.0,100
2017-11-24,13.327083333333334,14.168055555555556,11.494444444444442,93.29166666666667,6.6,11.9,5.4,67,27.8,17.4,23.7,100
2017-11-25,12.661111111111117,13.52013888888889,9.084027777777775,97.68055555555556,5.3,11.2,4.0,70,26.2,16.4,21.4,100
2017-11-26,12.838888888888892,13.590277777777775,10.500694444444441,97.02777777777777,5.8,11.1,4.6,77,26.2,16.1,22.8,100
2017-11-27,14.529861111111106,14.698611111111113,10.31111111111111,98.92361111111111,8.8,12.7,5.4,81,27.3,17.4,20.0,100
