,0
0,0.016962333
1,0.6870532
2,0.30959257
3,0.8175653
4,0.96357584
5,0.98494184
6,0.9700206
7,0.91084534
8,0.7058562
9,0.17535257
10,0.0057534776
11,0.02269139
12,0.0036745246
13,0.0066458294
14,0.0016237515
15,0.6454221
16,0.29708406
17,0.76169914
18,0.2872837
19,0.3359331
20,0.5004764
21,0.39792702
22,0.21316901
23,0.044874925
24,0.15222804
25,0.057308104
26,0.0046325186
27,0.00060246204
28,0.0006320405
29,0.068281256
30,0.0039272904
31,0.002785969
32,0.0012359569
33,0.0025278449
34,0.008164318
35,0.008127184
36,0.010779466
37,0.0047131614
38,0.005988343
39,0.0071794237
40,0.0034281018
41,0.0058004116
42,0.004707557
43,0.0019644138
44,0.0054303235
45,0.0041070282
46,0.0017973174
47,0.0037294696
48,0.008268782
49,0.01164049
50,0.0061017224
51,0.004210339
52,0.008255877
53,0.053145915
54,0.021356815
55,0.05945403
56,0.56199145
57,0.81851554
58,0.38753417
59,0.00546873
60,0.009898961
61,0.020718275
62,0.7614725
63,0.23608989
64,0.07028359
65,0.35547772
66,0.39371136
67,0.53106993
68,0.29941925
69,0.7400408
70,0.33583686
71,0.24675117
72,0.022550654
73,0.014002606
74,0.081650026
75,0.016211638
76,0.52029085
77,0.14020722
78,0.13584666
79,0.020638643
80,0.001449179
81,0.12732607
82,0.91040874
83,0.9224853
84,0.9801286
85,0.47240388
86,0.5900959
87,0.018324431
88,0.5004952
89,0.19777483
90,0.8712168
91,0.012772782
92,0.009508069
93,0.3907067
94,0.9285204
95,0.29467112
96,0.91391486
97,0.97703403
98,0.84068155
99,0.9206246
100,0.2679955
101,0.06524085
102,0.08233012
103,0.5273465
104,0.5838126
105,0.10832928
106,0.9573125
107,0.013410068
108,0.0037559115
109,0.0019166443
110,0.0017033434
111,0.0018576699
112,0.062610336
113,0.0009346491
114,0.0010397378
115,0.0031809213
116,0.0013081601
117,0.010378
118,0.058841724
119,0.9604791
120,0.9105008
121,0.47667366
122,0.0620978
123,0.0032547445
124,0.018364651
125,0.0043198513
126,0.10637003
127,0.007365446
128,0.2822384
129,0.3593779
130,0.04810497
131,0.9209369
132,0.0125211505
133,0.05906802
134,0.019023161
135,0.8197899
136,0.03998378
137,0.4716101
138,0.034297634
139,0.10652673
140,0.004985008
141,0.2193514
142,0.02518572
143,0.7549807
144,0.053067263
145,0.56210345
146,0.002349555
147,0.090141185
148,0.035045523
149,0.8095902
150,0.05161766
151,0.037751652
152,0.040820234
153,0.007337299
154,0.057598237
155,0.011289038
156,0.009560185
157,0.0017742754
158,0.0025128485
159,0.0062729307
160,0.12757571
161,0.034975525
162,0.033976957
163,0.1410644
164,0.5153863
165,0.99905866
166,0.29789174
167,0.020853568
168,0.05619436
169,0.009124736
170,0.0010767089
171,0.0160022
172,0.07642441
173,0.12166603
174,0.009550718
175,0.0059540514
176,0.55057657
177,0.988993
178,0.6216597
179,0.056674372
180,0.01151122
181,0.053023838
182,0.012297954
183,0.05627636
184,0.08292415
185,0.530645
186,0.4489846
187,0.04555044
188,0.062505625
189,0.0142354015
190,0.05474085
191,0.003428328
192,0.0016449082
193,0.023655081
194,0.015538761
195,0.25970316
196,0.004153821
197,0.06444397
198,0.032217868
199,0.4253532
200,0.5388741
201,0.10673287
202,0.025577474
203,0.15873599
204,0.9409722
205,0.23347312
206,0.23564824
207,0.0010039987
208,0.0034120607
209,0.0044056037
210,0.0065590427
211,0.0051775975
212,0.78892505
213,0.00015958534
