date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
2017-01-15,13.984403669724774,14.444954128440369,12.890825688073392,99.33944954128441,12.5,14.1,11.5,89.0,21.3,15.1,19.4,100.0
2017-01-16,16.185321100917434,14.602752293577984,14.599082568807338,91.18348623853211,12.3,13.5,10.9,62.0,24.7,17.1,22.7,100.0
2017-01-17,16.868807339449543,14.638532110091749,15.00366972477064,91.70642201834862,12.4,13.7,10.9,65.0,26.7,16.4,21.9,100.0
2017-01-18,18.057798165137612,15.100000000000005,15.844036697247704,89.29357798165138,12.3,13.5,10.7,55.0,29.5,18.0,25.4,100.0
2017-01-19,18.787155963302748,15.610091743119263,16.4908256880734,89.29357798165138,12.4,13.9,10.9,60.0,31.1,18.8,27.4,100.0
2017-01-20,16.983486238532123,15.487155963302756,15.350458715596329,95.42201834862385,12.8,14.6,12.4,66.0,26.7,17.3,23.3,100.0
2017-01-21,16.246788990825685,15.134862385321105,15.07614678899083,96.42201834862385,12.5,14.1,11.6,73.0,30.9,16.8,25.5,100.0
2017-01-22,18.57247706422018,15.647706422018352,16.54403669724771,88.05504587155963,12.4,14.0,11.4,56.0,28.8,18.7,27.1,100.0
2017-01-23,17.012844036697246,15.588073394495414,15.623853211009171,93.79816513761467,12.5,14.1,11.3,67.0,30.7,18.0,24.1,100.0
2017-01-24,17.294495412844043,15.454128440366972,15.735779816513766,91.19266055045871,12.5,14.1,11.4,52.0,27.9,18.3,27.5,100.0
2017-01-25,18.045871559633028,15.437614678899081,15.700917431192664,89.80733944954129,12.1,6.4,10.4,64.0,30.6,21.9,25.9,100.0
2017-01-26,18.77614678899083,15.428440366972477,16.149541284403664,88.24770642201835,12.2,11.9,10.6,62.0,31.6,22.1,25.8,100.0
2017-01-27,18.706422018348626,15.899999999999997,16.550458715596335,89.1743119266055,12.2,12.2,10.8,60.0,31.2,23.8,26.9,100.0
2017-01-28,18.21651376146789,15.958715596330276,16.527522935779814,93.87155963302752,12.3,12.6,11.1,64.0,29.9,20.3,25.4,100.0
2017-01-29,19.80366972477065,16.1440366972477,17.48990825688073,87.78899082568807,12.4,12.9,11.5,54.0,31.2,21.0,27.0,100.0
2017-01-30,18.554128440366966,16.196330275229357,16.686238532110092,94.55963302752293,12.3,13.1,11.2,66.0,30.1,20.8,25.4,100.0
2017-01-31,16.17155963302753,15.464220183486237,15.286238532110088,96.38532110091744,12.9,14.0,12.7,66.0,27.9,20.6,24.9,100.0
