< Measurement Data Text Output >,,,,,,,,,
,,,,,,,,,
Date/Time,@date(),ch.1,ch.2,ch.3,ch.4,ch.5,ch.6,ch.7,ch.8
,,°C,°C,,,,,,
02/23/2020 20:40'00,43884.86111,14,16.8,,,,,,
02/23/2020 21:00'00,43884.875,12.9,16.7,,,,,,
02/23/2020 21:20'00,43884.88889,13.8,16.7,,,,,,
02/23/2020 21:40'00,43884.90278,15.3,16.5,,,,,,
02/23/2020 22:00'00,43884.91667,12.7,16.4,,,,,,
02/23/2020 22:20'00,43884.93056,13.6,16.4,,,,,,
02/23/2020 22:40'00,43884.94444,15.1,16.3,,,,,,
02/23/2020 23:00'00,43884.95833,13.5,16.2,,,,,,
02/23/2020 23:20'00,43884.97222,13.3,16.1,,,,,,
02/23/2020 23:40'00,43884.98611,14.3,16.1,,,,,,
02/24/2020 00:00'00,43885,15,16,,,,,,
02/24/2020 00:20'00,43885.01389,12.9,15.9,,,,,,
02/24/2020 00:40'00,43885.02778,13.5,15.9,,,,,,
02/24/2020 01:00'00,43885.04167,14.5,15.8,,,,,,
02/24/2020 01:20'00,43885.05556,14.6,15.8,,,,,,
02/24/2020 01:40'00,43885.06944,13,15.7,,,,,,
02/24/2020 02:00'00,43885.08333,13,15.7,,,,,,
02/24/2020 02:20'00,43885.09722,13.9,15.6,,,,,,
02/24/2020 02:40'00,43885.11111,14.6,15.6,,,,,,
02/24/2020 03:00'00,43885.125,14.6,15.5,,,,,,
02/24/2020 03:20'00,43885.13889,13.9,15.5,,,,,,
02/24/2020 03:40'00,43885.15278,12.9,15.4,,,,,,
02/24/2020 04:00'00,43885.16667,12.9,15.4,,,,,,
02/24/2020 04:20'00,43885.18056,13.3,15.4,,,,,,
02/24/2020 04:40'00,43885.19444,14.1,15.3,,,,,,
02/24/2020 05:00'00,43885.20833,14.5,15.3,,,,,,
02/24/2020 05:20'00,43885.22222,14.6,15.3,,,,,,
02/24/2020 05:40'00,43885.23611,14.2,15.2,,,,,,
02/24/2020 06:00'00,43885.25,13.4,15.2,,,,,,
02/24/2020 06:20'00,43885.26389,12.7,15.2,,,,,,
02/24/2020 06:40'00,43885.27778,13,15.1,,,,,,
02/24/2020 07:00'00,43885.29167,13.9,15.1,,,,,,
02/24/2020 07:20'00,43885.30556,14.9,15.2,,,,,,
02/24/2020 07:40'00,43885.31944,13.8,15.2,,,,,,
02/24/2020 08:00'00,43885.33333,14.9,15.3,,,,,,
02/24/2020 08:20'00,43885.34722,16.4,15.4,,,,,,
02/24/2020 08:40'00,43885.36111,23,15.6,,,,,,
02/24/2020 09:00'00,43885.375,22.9,15.9,,,,,,
02/24/2020 09:20'00,43885.38889,24.8,16.2,,,,,,
02/24/2020 09:40'00,43885.40278,27.9,16.6,,,,,,
02/24/2020 10:00'00,43885.41667,29.2,17,,,,,,
02/24/2020 10:20'00,43885.43056,27.4,17.5,,,,,,
02/24/2020 10:40'00,43885.44444,28,18,,,,,,
02/24/2020 11:00'00,43885.45833,26.6,18.2,,,,,,
02/24/2020 11:20'00,43885.47222,25.9,18.2,,,,,,
02/24/2020 11:40'00,43885.48611,23.4,18.2,,,,,,
02/24/2020 12:00'00,43885.5,24.5,18.3,,,,,,
02/24/2020 12:20'00,43885.51389,23.2,18.4,,,,,,
02/24/2020 12:40'00,43885.52778,25.9,18.5,,,,,,
02/24/2020 13:00'00,43885.54167,25.4,18.8,,,,,,
02/24/2020 13:20'00,43885.55556,25.9,19,,,,,,
02/24/2020 13:40'00,43885.56944,27,19.2,,,,,,
02/24/2020 14:00'00,43885.58333,25.2,19.4,,,,,,
02/24/2020 14:20'00,43885.59722,24.3,19.6,,,,,,
02/24/2020 14:40'00,43885.61111,26.4,19.7,,,,,,
02/24/2020 15:00'00,43885.625,26.6,19.8,,,,,,
02/24/2020 15:20'00,43885.63889,26.5,19.9,,,,,,
02/24/2020 15:40'00,43885.65278,27.6,19.9,,,,,,
02/24/2020 16:00'00,43885.66667,25.8,20,,,,,,
02/24/2020 16:20'00,43885.68056,29.8,20.2,,,,,,
02/24/2020 16:40'00,43885.69444,27.6,20.2,,,,,,
02/24/2020 17:00'00,43885.70833,25,20.2,,,,,,
02/24/2020 17:20'00,43885.72222,22.4,20.2,,,,,,
02/24/2020 17:40'00,43885.73611,20,20,,,,,,
02/24/2020 18:00'00,43885.75,18.8,19.9,,,,,,
02/24/2020 18:20'00,43885.76389,18,19.6,,,,,,
02/24/2020 18:40'00,43885.77778,17.3,19.4,,,,,,
02/24/2020 19:00'00,43885.79167,16.8,19.1,,,,,,
02/24/2020 19:20'00,43885.80556,16.1,19,,,,,,
02/24/2020 19:40'00,43885.81944,15.8,18.8,,,,,,
02/24/2020 20:00'00,43885.83333,15.5,18.6,,,,,,
02/24/2020 20:20'00,43885.84722,15.3,18.5,,,,,,
02/24/2020 20:40'00,43885.86111,15.1,18.3,,,,,,
02/24/2020 21:00'00,43885.875,14.8,18.1,,,,,,
02/24/2020 21:20'00,43885.88889,14.7,18,,,,,,
02/24/2020 21:40'00,43885.90278,14.6,17.9,,,,,,
02/24/2020 22:00'00,43885.91667,14.5,17.8,,,,,,
02/24/2020 22:20'00,43885.93056,14.3,17.7,,,,,,
02/24/2020 22:40'00,43885.94444,14.3,17.5,,,,,,
02/24/2020 23:00'00,43885.95833,14.4,17.5,,,,,,
02/24/2020 23:20'00,43885.97222,14.3,17.3,,,,,,
02/24/2020 23:40'00,43885.98611,14.1,17.3,,,,,,
02/25/2020 00:00'00,43886,13.8,17.2,,,,,,
02/25/2020 00:20'00,43886.01389,13.9,17.1,,,,,,
02/25/2020 00:40'00,43886.02778,13.7,17,,,,,,
02/25/2020 01:00'00,43886.04167,13.6,16.9,,,,,,
02/25/2020 01:20'00,43886.05556,13.3,16.8,,,,,,
02/25/2020 01:40'00,43886.06944,13,16.7,,,,,,
02/25/2020 02:00'00,43886.08333,14.4,16.6,,,,,,
02/25/2020 02:20'00,43886.09722,13.2,16.6,,,,,,
02/25/2020 02:40'00,43886.11111,15.3,16.5,,,,,,
02/25/2020 03:00'00,43886.125,13.1,16.4,,,,,,
02/25/2020 03:20'00,43886.13889,14.9,16.4,,,,,,
02/25/2020 03:40'00,43886.15278,12.9,16.3,,,,,,
02/25/2020 04:00'00,43886.16667,13.7,16.3,,,,,,
02/25/2020 04:20'00,43886.18056,15.2,16.2,,,,,,
02/25/2020 04:40'00,43886.19444,13.2,16.1,,,,,,
02/25/2020 05:00'00,43886.20833,13.4,16.1,,,,,,
02/25/2020 05:20'00,43886.22222,15,16,,,,,,
02/25/2020 05:40'00,43886.23611,14,16,,,,,,
02/25/2020 06:00'00,43886.25,13,16,,,,,,
02/25/2020 06:20'00,43886.26389,14.2,16,,,,,,
02/25/2020 06:40'00,43886.27778,15.1,15.9,,,,,,
02/25/2020 07:00'00,43886.29167,12.9,15.9,,,,,,
02/25/2020 07:20'00,43886.30556,14.4,15.9,,,,,,
02/25/2020 07:40'00,43886.31944,14.7,15.9,,,,,,
02/25/2020 08:00'00,43886.33333,15.9,16,,,,,,
02/25/2020 08:20'00,43886.34722,17.8,16.1,,,,,,
02/25/2020 08:40'00,43886.36111,19.9,16.3,,,,,,
02/25/2020 09:00'00,43886.375,18.5,16.5,,,,,,
02/25/2020 09:20'00,43886.38889,18,16.7,,,,,,
02/25/2020 09:40'00,43886.40278,19.1,16.8,,,,,,
02/25/2020 10:00'00,43886.41667,19.1,16.9,,,,,,
02/25/2020 10:20'00,43886.43056,19.1,17,,,,,,
02/25/2020 10:40'00,43886.44444,20,17.2,,,,,,
02/25/2020 11:00'00,43886.45833,20.2,17.3,,,,,,
02/25/2020 11:20'00,43886.47222,18.5,17.3,,,,,,
02/25/2020 11:40'00,43886.48611,17.5,17.3,,,,,,
02/25/2020 12:00'00,43886.5,16.9,17.3,,,,,,
02/25/2020 12:20'00,43886.51389,17.3,17.3,,,,,,
02/25/2020 12:40'00,43886.52778,18.3,17.3,,,,,,
02/25/2020 13:00'00,43886.54167,18.7,17.4,,,,,,
02/25/2020 13:20'00,43886.55556,19.5,17.5,,,,,,
02/25/2020 13:40'00,43886.56944,21.6,17.6,,,,,,
02/25/2020 14:00'00,43886.58333,20.9,17.8,,,,,,
02/25/2020 14:20'00,43886.59722,19.7,17.9,,,,,,
02/25/2020 14:40'00,43886.61111,18.6,17.9,,,,,,
02/25/2020 15:00'00,43886.625,18.8,17.9,,,,,,
02/25/2020 15:20'00,43886.63889,18.8,17.9,,,,,,
02/25/2020 15:40'00,43886.65278,18.3,17.9,,,,,,
02/25/2020 16:00'00,43886.66667,17.8,17.9,,,,,,
02/25/2020 16:20'00,43886.68056,17.8,17.8,,,,,,
02/25/2020 16:40'00,43886.69444,17.6,17.8,,,,,,
02/25/2020 17:00'00,43886.70833,17.4,17.8,,,,,,
02/25/2020 17:20'00,43886.72222,17,17.8,,,,,,
02/25/2020 17:40'00,43886.73611,16.6,17.7,,,,,,
02/25/2020 18:00'00,43886.75,16.2,17.6,,,,,,
02/25/2020 18:20'00,43886.76389,15.8,17.5,,,,,,
02/25/2020 18:40'00,43886.77778,15.5,17.3,,,,,,
02/25/2020 19:00'00,43886.79167,15.2,17.2,,,,,,
02/25/2020 19:20'00,43886.80556,15,17.2,,,,,,
02/25/2020 19:40'00,43886.81944,14.9,17.1,,,,,,
02/25/2020 20:00'00,43886.83333,14.8,17,,,,,,
02/25/2020 20:20'00,43886.84722,14.9,16.9,,,,,,
02/25/2020 20:40'00,43886.86111,14.8,16.9,,,,,,
02/25/2020 21:00'00,43886.875,14.8,16.8,,,,,,
02/25/2020 21:20'00,43886.88889,14.8,16.8,,,,,,
02/25/2020 21:40'00,43886.90278,14.7,16.7,,,,,,
02/25/2020 22:00'00,43886.91667,14.8,16.7,,,,,,
02/25/2020 22:20'00,43886.93056,14.8,16.6,,,,,,
02/25/2020 22:40'00,43886.94444,14.9,16.6,,,,,,
02/25/2020 23:00'00,43886.95833,14.8,16.6,,,,,,
02/25/2020 23:20'00,43886.97222,14.7,16.6,,,,,,
02/25/2020 23:40'00,43886.98611,14.6,16.5,,,,,,
02/26/2020 00:00'00,43887,14.4,16.5,,,,,,
02/26/2020 00:20'00,43887.01389,14.2,16.4,,,,,,
02/26/2020 00:40'00,43887.02778,14.1,16.4,,,,,,
02/26/2020 01:00'00,43887.04167,14,16.3,,,,,,
02/26/2020 01:20'00,43887.05556,13.9,16.3,,,,,,
02/26/2020 01:40'00,43887.06944,13.9,16.2,,,,,,
02/26/2020 02:00'00,43887.08333,13.9,16.2,,,,,,
02/26/2020 02:20'00,43887.09722,13.8,16.1,,,,,,
02/26/2020 02:40'00,43887.11111,13.7,16.1,,,,,,
02/26/2020 03:00'00,43887.125,13.7,16,,,,,,
02/26/2020 03:20'00,43887.13889,13.7,15.9,,,,,,
02/26/2020 03:40'00,43887.15278,13.6,15.9,,,,,,
02/26/2020 04:00'00,43887.16667,13.5,15.9,,,,,,
02/26/2020 04:20'00,43887.18056,13.5,15.9,,,,,,
02/26/2020 04:40'00,43887.19444,13.4,15.8,,,,,,
02/26/2020 05:00'00,43887.20833,13.4,15.7,,,,,,
02/26/2020 05:20'00,43887.22222,13.4,15.7,,,,,,
02/26/2020 05:40'00,43887.23611,13.4,15.7,,,,,,
02/26/2020 06:00'00,43887.25,13.4,15.7,,,,,,
02/26/2020 06:20'00,43887.26389,13.3,15.7,,,,,,
02/26/2020 06:40'00,43887.27778,13.3,15.7,,,,,,
02/26/2020 07:00'00,43887.29167,13.4,15.6,,,,,,
02/26/2020 07:20'00,43887.30556,13.6,15.6,,,,,,
02/26/2020 07:40'00,43887.31944,14.3,15.7,,,,,,
02/26/2020 08:00'00,43887.33333,15.5,15.7,,,,,,
02/26/2020 08:20'00,43887.34722,17.4,15.9,,,,,,
02/26/2020 08:40'00,43887.36111,19.7,16.2,,,,,,
02/26/2020 09:00'00,43887.375,23.1,14.8,,,,,,
02/26/2020 09:20'00,43887.38889,23.4,15.6,,,,,,
02/26/2020 09:40'00,43887.40278,26.2,16.5,,,,,,
02/26/2020 10:00'00,43887.41667,28.8,17.3,,,,,,
02/26/2020 10:20'00,43887.43056,28.3,18,,,,,,
02/26/2020 10:40'00,43887.44444,30.9,18.7,,,,,,
02/26/2020 11:00'00,43887.45833,27.6,19.2,,,,,,
02/26/2020 11:20'00,43887.47222,24.8,19.2,,,,,,
02/26/2020 11:40'00,43887.48611,25.6,19.3,,,,,,
02/26/2020 12:00'00,43887.5,26.1,19.4,,,,,,
02/26/2020 12:20'00,43887.51389,25.1,19.5,,,,,,
02/26/2020 12:40'00,43887.52778,26.2,19.6,,,,,,
02/26/2020 13:00'00,43887.54167,25.1,19.9,,,,,,
02/26/2020 13:20'00,43887.55556,25.7,20,,,,,,
02/26/2020 13:40'00,43887.56944,27.5,20.2,,,,,,
02/26/2020 14:00'00,43887.58333,27.3,20.2,,,,,,
02/26/2020 14:20'00,43887.59722,26.8,20.4,,,,,,
02/26/2020 14:40'00,43887.61111,25.6,20.6,,,,,,
02/26/2020 15:00'00,43887.625,27.2,20.8,,,,,,
02/26/2020 15:20'00,43887.63889,26.6,20.9,,,,,,
02/26/2020 15:40'00,43887.65278,26.5,21,,,,,,
02/26/2020 16:00'00,43887.66667,23.8,21.2,,,,,,
02/26/2020 16:20'00,43887.68056,27.5,21.2,,,,,,
02/26/2020 16:40'00,43887.69444,27.2,21.2,,,,,,
02/26/2020 17:00'00,43887.70833,24.2,21.1,,,,,,
02/26/2020 17:20'00,43887.72222,23.1,21,,,,,,
02/26/2020 17:40'00,43887.73611,20.6,20.7,,,,,,
02/26/2020 18:00'00,43887.75,18.9,20.5,,,,,,
02/26/2020 18:20'00,43887.76389,18,20.2,,,,,,
02/26/2020 18:40'00,43887.77778,17.4,19.9,,,,,,
02/26/2020 19:00'00,43887.79167,16.8,19.5,,,,,,
02/26/2020 19:20'00,43887.80556,16.5,19.3,,,,,,
02/26/2020 19:40'00,43887.81944,16,19,,,,,,
02/26/2020 20:00'00,43887.83333,15.7,18.7,,,,,,
02/26/2020 20:20'00,43887.84722,15.4,18.5,,,,,,
02/26/2020 20:40'00,43887.86111,15.1,18.4,,,,,,
02/26/2020 21:00'00,43887.875,14.8,18.1,,,,,,
02/26/2020 21:20'00,43887.88889,14.6,18,,,,,,
02/26/2020 21:40'00,43887.90278,14.4,17.8,,,,,,
02/26/2020 22:00'00,43887.91667,14.1,17.6,,,,,,
02/26/2020 22:20'00,43887.93056,13.9,17.5,,,,,,
02/26/2020 22:40'00,43887.94444,13.7,17.3,,,,,,
02/26/2020 23:00'00,43887.95833,13.5,17.1,,,,,,
02/26/2020 23:20'00,43887.97222,13.3,17,,,,,,
02/26/2020 23:40'00,43887.98611,13.1,16.8,,,,,,
02/27/2020 00:00'00,43888,12.9,16.7,,,,,,
02/27/2020 00:20'00,43888.01389,13.6,16.6,,,,,,
02/27/2020 00:40'00,43888.02778,13.7,16.5,,,,,,
02/27/2020 01:00'00,43888.04167,13.1,16.4,,,,,,
02/27/2020 01:20'00,43888.05556,13.4,16.4,,,,,,
02/27/2020 01:40'00,43888.06944,13.8,16.3,,,,,,
02/27/2020 02:00'00,43888.08333,12.8,16.2,,,,,,
02/27/2020 02:20'00,43888.09722,13.9,16.2,,,,,,
02/27/2020 02:40'00,43888.11111,14.3,16.1,,,,,,
02/27/2020 03:00'00,43888.125,13.2,16,,,,,,
02/27/2020 03:20'00,43888.13889,14.6,16,,,,,,
02/27/2020 03:40'00,43888.15278,14.6,16,,,,,,
02/27/2020 04:00'00,43888.16667,12.9,15.9,,,,,,
02/27/2020 04:20'00,43888.18056,13.8,15.9,,,,,,
02/27/2020 04:40'00,43888.19444,15.1,15.8,,,,,,
02/27/2020 05:00'00,43888.20833,13.8,15.8,,,,,,
02/27/2020 05:20'00,43888.22222,13,15.7,,,,,,
02/27/2020 05:40'00,43888.23611,13.9,15.7,,,,,,
02/27/2020 06:00'00,43888.25,14.9,15.6,,,,,,
02/27/2020 06:20'00,43888.26389,14.8,15.6,,,,,,
02/27/2020 06:40'00,43888.27778,12.8,15.5,,,,,,
02/27/2020 07:00'00,43888.29167,13.9,15.5,,,,,,
02/27/2020 07:20'00,43888.30556,13.4,15.5,,,,,,
02/27/2020 07:40'00,43888.31944,14.3,15.5,,,,,,
02/27/2020 08:00'00,43888.33333,15.5,15.6,,,,,,
02/27/2020 08:20'00,43888.34722,16.9,15.7,,,,,,
02/27/2020 08:40'00,43888.36111,22.3,15.9,,,,,,
02/27/2020 09:00'00,43888.375,22.4,16.4,,,,,,
02/27/2020 09:20'00,43888.38889,23.5,16.8,,,,,,
02/27/2020 09:40'00,43888.40278,27,17.4,,,,,,
02/27/2020 10:00'00,43888.41667,27.7,18.1,,,,,,
02/27/2020 10:20'00,43888.43056,27,18.5,,,,,,
02/27/2020 10:40'00,43888.44444,24.6,18.7,,,,,,
02/27/2020 11:00'00,43888.45833,24.2,18.8,,,,,,
02/27/2020 11:20'00,43888.47222,22.4,18.7,,,,,,
02/27/2020 11:40'00,43888.48611,21.4,18.5,,,,,,
02/27/2020 12:00'00,43888.5,23.9,18.4,,,,,,
02/27/2020 12:20'00,43888.51389,21.9,18.2,,,,,,
02/27/2020 12:40'00,43888.52778,23.6,18.3,,,,,,
02/27/2020 13:00'00,43888.54167,23.3,18.2,,,,,,
02/27/2020 13:20'00,43888.55556,21.7,18.1,,,,,,
02/27/2020 13:40'00,43888.56944,21.4,18.1,,,,,,
02/27/2020 14:00'00,43888.58333,21.9,18,,,,,,
02/27/2020 14:20'00,43888.59722,22,17.9,,,,,,
02/27/2020 14:40'00,43888.61111,21.7,17.9,,,,,,
02/27/2020 15:00'00,43888.625,20.7,17.8,,,,,,
02/27/2020 15:20'00,43888.63889,25.3,18.1,,,,,,
02/27/2020 15:40'00,43888.65278,24.7,18.3,,,,,,
02/27/2020 16:00'00,43888.66667,22.7,18.9,,,,,,
02/27/2020 16:20'00,43888.68056,28,19.1,,,,,,
02/27/2020 16:40'00,43888.69444,25.8,19.3,,,,,,
02/27/2020 17:00'00,43888.70833,23.4,19.3,,,,,,
02/27/2020 17:20'00,43888.72222,22.7,19.1,,,,,,
02/27/2020 17:40'00,43888.73611,19.9,18.9,,,,,,
02/27/2020 18:00'00,43888.75,16.9,18.6,,,,,,
02/27/2020 18:20'00,43888.76389,15.5,18.3,,,,,,
02/27/2020 18:40'00,43888.77778,14.6,17.9,,,,,,
02/27/2020 19:00'00,43888.79167,14,17.6,,,,,,
02/27/2020 19:20'00,43888.80556,13.6,17.3,,,,,,
02/27/2020 19:40'00,43888.81944,13.2,17.1,,,,,,
02/27/2020 20:00'00,43888.83333,12.9,16.8,,,,,,
02/27/2020 20:20'00,43888.84722,14.3,16.7,,,,,,
02/27/2020 20:40'00,43888.86111,12.8,16.5,,,,,,
02/27/2020 21:00'00,43888.875,13.8,16.4,,,,,,
02/27/2020 21:20'00,43888.88889,14.5,16.3,,,,,,
02/27/2020 21:40'00,43888.90278,12.5,16.1,,,,,,
02/27/2020 22:00'00,43888.91667,13.1,16,,,,,,
02/27/2020 22:20'00,43888.93056,14,16,,,,,,
02/27/2020 22:40'00,43888.94444,15.1,15.9,,,,,,
02/27/2020 23:00'00,43888.95833,14.6,15.8,,,,,,
02/27/2020 23:20'00,43888.97222,12.7,15.7,,,,,,
02/27/2020 23:40'00,43888.98611,12.8,15.6,,,,,,
02/28/2020 00:00'00,43889,13.6,15.6,,,,,,
02/28/2020 00:20'00,43889.01389,14.9,15.5,,,,,,
02/28/2020 00:40'00,43889.02778,14.7,15.4,,,,,,
02/28/2020 01:00'00,43889.04167,13.4,15.4,,,,,,
02/28/2020 01:20'00,43889.05556,12.5,15.3,,,,,,
02/28/2020 01:40'00,43889.06944,13.1,15.3,,,,,,
02/28/2020 02:00'00,43889.08333,14.1,15.2,,,,,,
02/28/2020 02:20'00,43889.09722,14.9,15.2,,,,,,
02/28/2020 02:40'00,43889.11111,15.1,15.1,,,,,,
02/28/2020 03:00'00,43889.125,14.2,15.1,,,,,,
02/28/2020 03:20'00,43889.13889,13.1,15,,,,,,
02/28/2020 03:40'00,43889.15278,12.5,15.1,,,,,,
02/28/2020 04:00'00,43889.16667,12.9,15,,,,,,
02/28/2020 04:20'00,43889.18056,13.7,15,,,,,,
02/28/2020 04:40'00,43889.19444,14.7,14.9,,,,,,
02/28/2020 05:00'00,43889.20833,14.9,14.9,,,,,,
02/28/2020 05:20'00,43889.22222,14.3,14.9,,,,,,
02/28/2020 05:40'00,43889.23611,13.3,14.8,,,,,,
02/28/2020 06:00'00,43889.25,12.5,14.8,,,,,,
02/28/2020 06:20'00,43889.26389,12.7,14.7,,,,,,
02/28/2020 06:40'00,43889.27778,13.4,14.7,,,,,,
02/28/2020 07:00'00,43889.29167,14.5,14.7,,,,,,
02/28/2020 07:20'00,43889.30556,14.9,14.8,,,,,,
02/28/2020 07:40'00,43889.31944,14.6,14.9,,,,,,
02/28/2020 08:00'00,43889.33333,15.3,15,,,,,,
02/28/2020 08:20'00,43889.34722,16.6,15.2,,,,,,
02/28/2020 08:40'00,43889.36111,20.3,15.4,,,,,,
02/28/2020 09:00'00,43889.375,22.7,15.9,,,,,,
02/28/2020 09:20'00,43889.38889,24.3,16.3,,,,,,
02/28/2020 09:40'00,43889.40278,27.4,13.7,,,,,,
02/28/2020 10:00'00,43889.41667,27.2,15.3,,,,,,
02/28/2020 10:20'00,43889.43056,28.7,16.3,,,,,,
02/28/2020 10:40'00,43889.44444,30.1,17,,,,,,
02/28/2020 11:00'00,43889.45833,26.1,17.6,,,,,,
02/28/2020 11:20'00,43889.47222,24,17.7,,,,,,
02/28/2020 11:40'00,43889.48611,24.5,17.7,,,,,,
02/28/2020 12:00'00,43889.5,24.7,17.8,,,,,,
02/28/2020 12:20'00,43889.51389,24.3,17.9,,,,,,
02/28/2020 12:40'00,43889.52778,25.3,18.2,,,,,,
02/28/2020 13:00'00,43889.54167,24.9,18.6,,,,,,
02/28/2020 13:20'00,43889.55556,25.7,19,,,,,,
02/28/2020 13:40'00,43889.56944,26.6,19.3,,,,,,
02/28/2020 14:00'00,43889.58333,26.4,19.5,,,,,,
02/28/2020 14:20'00,43889.59722,26.8,19.7,,,,,,
02/28/2020 14:40'00,43889.61111,25.7,19.8,,,,,,
02/28/2020 15:00'00,43889.625,26.1,20,,,,,,
02/28/2020 15:20'00,43889.63889,24,20,,,,,,
02/28/2020 15:40'00,43889.65278,21.7,19.9,,,,,,
02/28/2020 16:00'00,43889.66667,19.7,19.7,,,,,,
02/28/2020 16:20'00,43889.68056,18.5,19.4,,,,,,
02/28/2020 16:40'00,43889.69444,18.6,19.2,,,,,,
02/28/2020 17:00'00,43889.70833,18.2,19.1,,,,,,
02/28/2020 17:20'00,43889.72222,17.8,18.9,,,,,,
02/28/2020 17:40'00,43889.73611,17.1,18.7,,,,,,
02/28/2020 18:00'00,43889.75,16.7,18.5,,,,,,
02/28/2020 18:20'00,43889.76389,16.3,18.3,,,,,,
02/28/2020 18:40'00,43889.77778,16,18.2,,,,,,
02/28/2020 19:00'00,43889.79167,15.9,18,,,,,,
02/28/2020 19:20'00,43889.80556,15.7,17.9,,,,,,
02/28/2020 19:40'00,43889.81944,15,17.6,,,,,,
02/28/2020 20:00'00,43889.83333,14.8,17.5,,,,,,
02/28/2020 20:20'00,43889.84722,14.6,17.3,,,,,,
02/28/2020 20:40'00,43889.86111,14.5,17.2,,,,,,
02/28/2020 21:00'00,43889.875,14.4,17.1,,,,,,
02/28/2020 21:20'00,43889.88889,14.2,17,,,,,,
02/28/2020 21:40'00,43889.90278,14.2,16.8,,,,,,
02/28/2020 22:00'00,43889.91667,14,16.7,,,,,,
02/28/2020 22:20'00,43889.93056,13.9,16.7,,,,,,
02/28/2020 22:40'00,43889.94444,13.7,16.5,,,,,,
02/28/2020 23:00'00,43889.95833,13.7,16.5,,,,,,
02/28/2020 23:20'00,43889.97222,13.7,16.4,,,,,,
02/28/2020 23:40'00,43889.98611,13.6,16.3,,,,,,
02/29/2020 00:00'00,43890,13.5,16.2,,,,,,
02/29/2020 00:20'00,43890.01389,13.3,16.1,,,,,,
02/29/2020 00:40'00,43890.02778,13,16,,,,,,
02/29/2020 01:00'00,43890.04167,15,16,,,,,,
02/29/2020 01:20'00,43890.05556,12.8,15.9,,,,,,
02/29/2020 01:40'00,43890.06944,14,15.9,,,,,,
02/29/2020 02:00'00,43890.08333,13.1,15.8,,,,,,
02/29/2020 02:20'00,43890.09722,13.8,15.8,,,,,,
02/29/2020 02:40'00,43890.11111,12.9,15.8,,,,,,
02/29/2020 03:00'00,43890.125,14.5,15.8,,,,,,
02/29/2020 03:20'00,43890.13889,13.2,15.8,,,,,,
02/29/2020 03:40'00,43890.15278,15.2,15.7,,,,,,
02/29/2020 04:00'00,43890.16667,13.5,15.7,,,,,,
02/29/2020 04:20'00,43890.18056,13,15.7,,,,,,
02/29/2020 04:40'00,43890.19444,14.3,15.6,,,,,,
02/29/2020 05:00'00,43890.20833,13.1,15.6,,,,,,
02/29/2020 05:20'00,43890.22222,15.1,15.6,,,,,,
02/29/2020 05:40'00,43890.23611,13.4,15.6,,,,,,
02/29/2020 06:00'00,43890.25,15.4,15.5,,,,,,
02/29/2020 06:20'00,43890.26389,13.6,15.6,,,,,,
02/29/2020 06:40'00,43890.27778,13.5,15.5,,,,,,
02/29/2020 07:00'00,43890.29167,14.2,15.5,,,,,,
02/29/2020 07:20'00,43890.30556,13.9,15.6,,,,,,
02/29/2020 07:40'00,43890.31944,14,15.5,,,,,,
02/29/2020 08:00'00,43890.33333,14.2,15.5,,,,,,
02/29/2020 08:20'00,43890.34722,15,15.6,,,,,,
02/29/2020 08:40'00,43890.36111,17.5,15.7,,,,,,
02/29/2020 09:00'00,43890.375,17.9,16,,,,,,
02/29/2020 09:20'00,43890.38889,19.6,16.1,,,,,,
02/29/2020 09:40'00,43890.40278,21.2,16.5,,,,,,
02/29/2020 10:00'00,43890.41667,22,16.8,,,,,,
02/29/2020 10:20'00,43890.43056,22.6,17.1,,,,,,
02/29/2020 10:40'00,43890.44444,24.3,17.4,,,,,,
02/29/2020 11:00'00,43890.45833,25.1,18,,,,,,
02/29/2020 11:20'00,43890.47222,24.2,18.2,,,,,,
02/29/2020 11:40'00,43890.48611,24,18.4,,,,,,
02/29/2020 12:00'00,43890.5,25.5,18.7,,,,,,
02/29/2020 12:20'00,43890.51389,23.7,18.9,,,,,,
02/29/2020 12:40'00,43890.52778,23.1,19.1,,,,,,
02/29/2020 13:00'00,43890.54167,23,19.1,,,,,,
02/29/2020 13:20'00,43890.55556,22.1,19.1,,,,,,
02/29/2020 13:40'00,43890.56944,20.5,19,,,,,,
02/29/2020 14:00'00,43890.58333,19.5,18.9,,,,,,
02/29/2020 14:20'00,43890.59722,18.5,18.7,,,,,,
02/29/2020 14:40'00,43890.61111,17.8,18.6,,,,,,
02/29/2020 15:00'00,43890.625,16.8,18.4,,,,,,
02/29/2020 15:20'00,43890.63889,16,18.2,,,,,,
02/29/2020 15:40'00,43890.65278,15.5,18,,,,,,
02/29/2020 16:00'00,43890.66667,15.1,17.8,,,,,,
02/29/2020 16:20'00,43890.68056,14.2,17.5,,,,,,
02/29/2020 16:40'00,43890.69444,14.7,17.4,,,,,,
02/29/2020 17:00'00,43890.70833,14.8,17.3,,,,,,
02/29/2020 17:20'00,43890.72222,14.5,17.3,,,,,,
02/29/2020 17:40'00,43890.73611,14.4,17.2,,,,,,
02/29/2020 18:00'00,43890.75,14.3,17.1,,,,,,
02/29/2020 18:20'00,43890.76389,14.2,16.9,,,,,,
02/29/2020 18:40'00,43890.77778,14.1,16.8,,,,,,
02/29/2020 19:00'00,43890.79167,13.9,16.7,,,,,,
