date,T20_x,ST_x,T60_x,H_x,T20_y,ST_y,T60_y,H_y,T20,ST,T60,H
2019-02-04,17.918055555555547,17.20138888888889,18.558333333333323,90.84305555555555,12.0,14.7,11.9,41.5,35.2,21.2,35.3,100.0
2019-02-05,17.31874999999999,17.45902777777778,17.889583333333327,87.66180555555552,11.7,15.2,11.5,51.7,29.9,21.4,33.3,99.5
2019-02-06,14.33888888888889,15.824305555555561,14.247916666666665,94.06944444444441,11.8,15.0,11.4,69.3,28.4,17.9,30.9,98.7
2019-02-07,17.740972222222222,16.780555555555555,18.65138888888889,90.10486111111112,11.7,14.4,11.2,68.4,29.3,20.1,33.6,96.8
2019-02-08,14.993055555555552,16.429861111111112,15.244444444444449,93.07569444444444,11.3,15.2,11.2,76.8,21.2,17.7,22.9,100.0
2019-02-09,12.806249999999995,14.817361111111122,12.929861111111109,98.2215277777778,10.9,14.2,10.9,93.5,17.6,15.5,18.9,100.0
2019-02-10,16.14722222222223,15.769444444444439,17.194444444444443,88.8388888888889,11.2,13.7,11.1,70.8,29.6,19.4,33.8,95.8
2019-02-11,13.792361111111116,15.033333333333339,14.020138888888882,91.73750000000001,11.4,14.2,11.2,81.4,20.7,16.4,22.7,96.6
2019-02-12,17.25486111111111,16.09097222222222,18.554861111111116,84.50833333333335,11.2,13.2,11.3,50.8,30.7,20.3,35.8,95.2
2019-02-13,17.31458333333334,16.834027777777788,17.86180555555556,85.35277777777777,11.6,14.5,11.3,49.2,32.3,21.1,34.9,95.5
2019-02-14,15.419444444444443,16.110416666666666,15.872222222222227,88.05902777777777,11.5,14.5,11.0,75.6,23.6,18.3,30.4,94.7
2019-02-15,13.356944444444446,14.869444444444452,13.914583333333331,92.07361111111108,10.8,14.0,10.5,77.5,24.7,16.2,34.5,97.3
2019-02-16,16.561111111111128,15.736805555555556,17.58541666666667,88.41250000000002,11.6,13.1,11.6,62.7,28.4,18.6,33.0,97.4
2019-02-17,17.849305555555556,17.025000000000006,19.28194444444445,83.33263888888887,11.8,14.5,11.5,50.1,31.2,21.4,36.9,95.3
2019-02-18,17.516666666666666,16.975000000000005,18.52013888888889,84.02916666666667,11.5,14.7,11.1,54.6,31.1,20.9,34.3,94.5
2019-02-19,14.13819444444445,15.695138888888891,14.037500000000003,96.89583333333336,12.5,15.2,12.0,91.7,17.2,16.2,17.8,100.0
2019-02-20,18.252083333333328,16.845833333333335,19.040972222222216,91.4104166666666,12.8,14.5,12.5,52.5,32.0,19.6,34.1,100.0
2019-02-21,18.18263888888889,17.54583333333333,19.086111111111105,84.64027777777775,12.5,15.4,12.3,52.9,31.5,21.2,35.2,96.3
2019-02-22,17.58333333333333,17.26111111111111,18.302777777777784,85.34305555555548,11.9,15.0,11.4,54.0,28.5,20.0,31.7,94.8
2019-02-23,18.82083333333334,18.038194444444443,20.35902777777776,86.97847222222221,13.1,15.7,12.6,46.1,33.0,21.2,38.8,98.7
2019-02-24,18.3201388888889,17.90347222222222,19.49236111111111,86.8145833333333,12.3,15.6,11.9,57.6,28.7,20.7,32.7,96.3
2019-02-25,19.98055555555556,18.788888888888895,20.927083333333343,84.38125000000001,12.9,16.2,12.3,44.3,34.5,22.0,38.0,98.2
2019-02-26,20.163888888888884,19.02222222222222,21.96597222222223,82.25625000000005,13.3,15.9,12.7,41.8,32.6,22.7,38.6,96.8
2019-02-27,18.14444444444443,18.262500000000003,18.92152777777778,88.1125,12.8,16.3,12.2,65.7,28.1,20.5,33.8,95.0
2019-02-28,15.052777777777784,17.015277777777783,14.871527777777771,97.65416666666668,13.2,16.2,12.7,94.7,18.0,18.1,18.4,100.0
2019-03-01,19.755555555555546,18.19305555555556,21.231250000000003,83.01458333333333,12.3,15.4,12.0,41.0,33.2,21.9,38.6,99.5
2019-03-02,18.8513888888889,18.244444444444444,20.04166666666668,80.4611111111111,12.5,15.2,11.9,40.8,29.1,20.9,37.5,93.8
2019-03-03,15.8951388888889,17.28749999999999,15.888194444444443,92.46874999999999,14.1,16.6,13.5,80.3,21.3,18.1,22.9,97.4
2019-03-04,16.484027777777776,16.996527777777775,16.813194444444445,92.00833333333337,13.0,15.9,12.6,59.0,29.5,19.1,33.7,97.4
2019-03-05,18.29125,16.505000000000003,20.130000000000003,85.38250000000001,12.4,15.5,12.1,44.7,32.3,20.1,39.0,97.1
