,date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
51,2017-01-06,0,14.47708333333333,14.559027777777768,13.757638888888884,96.5,11.3,13.7,10.8,89.0,21.1,15.7,20.5,99.0
52,2017-01-07,0,16.261805555555554,15.150000000000002,15.447916666666654,97.52083333333331,12.0,14.1,11.7,87.0,30.7,16.8,28.6,99.0
53,2017-01-08,0,13.254166666666668,14.750694444444434,12.84097222222222,99.0,12.4,14.4,12.1,99.0,14.6,15.2,14.2,99.0
54,2017-01-09,0,15.072222222222226,14.76597222222223,14.308333333333335,96.86805555555556,11.8,14.1,11.5,81.0,26.0,15.9,23.6,99.0
55,2017-01-10,0,14.587500000000002,14.070000000000007,13.626249999999995,94.0125,11.7,12.4,11.6,64.0,23.4,14.6,20.8,99.0
56,2017-10-13,1,21.111111111111104,22.10416666666666,20.514583333333334,92.20138888888887,18.6,21.6,18.3,72.0,29.5,22.9,26.9,100.0
57,2017-10-14,1,20.251388888888897,21.476388888888888,19.034722222222232,98.75694444444444,18.3,20.9,17.4,89.0,25.2,22.1,23.6,100.0
58,2017-10-15,1,18.98472222222221,20.715277777777775,17.593750000000004,99.65972222222223,16.9,19.9,15.9,94.0,23.2,21.3,20.7,100.0
59,2017-10-16,1,17.660416666666688,19.529032258064507,12.743750000000013,100.0,15.8,19.2,6.1,100.0,21.9,19.9,16.6,100.0
62,2017-10-19,1,15.863888888888896,18.28125,8.838194444444436,98.60416666666669,12.2,18.2,0.3,77.0,20.7,18.4,15.3,100.0
63,2017-10-20,1,19.07986111111112,19.19930555555557,16.029166666666672,93.97916666666669,15.2,17.7,11.3,62.0,32.6,30.1,30.7,100.0
64,2017-10-21,1,19.046527777777776,19.320138888888877,13.624305555555555,99.11111111111113,17.3,17.3,10.2,90.0,23.1,22.4,22.5,100.0
65,2017-10-22,1,19.430555555555546,19.759027777777774,12.770138888888892,100.0,17.7,19.2,11.8,100.0,21.5,20.6,15.2,100.0
66,2017-10-23,1,19.410416666666674,19.843055555555566,16.49583333333333,81.27777777777777,12.8,17.3,9.9,48.0,28.4,22.0,26.5,100.0
67,2017-10-24,1,17.038194444444457,18.15694444444445,11.486111111111107,98.36805555555556,12.6,17.0,3.4,90.0,24.4,19.5,15.7,100.0
68,2017-10-25,1,16.061111111111117,17.920138888888896,13.541666666666664,98.81944444444444,12.0,16.4,10.5,91.0,22.3,19.3,19.2,100.0
69,2017-10-26,1,17.146527777777774,17.631944444444443,13.920138888888893,91.15972222222223,9.0,14.7,5.1,55.0,31.0,21.6,28.2,100.0
70,2017-10-27,1,18.021527777777774,18.131250000000012,15.386111111111108,89.96527777777777,10.9,15.5,5.7,56.0,29.1,21.3,27.4,100.0
