date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max,housa,days
2018-05-29,0,23.73333333333332,23.4125,23.292361111111113,86.82847222222217,19.4,21.8,19.2,65.7,31.3,24.8,28.9,100.0,2.2858081735989164,50.0
2018-05-30,0,22.12708333333333,23.04513888888888,22.079861111111125,88.19236111111113,19.1,22.0,19.2,72.5,28.9,24.4,28.9,97.9,1.9274264698915404,51.0
2018-05-31,0,19.822222222222205,21.659027777777773,19.983333333333327,90.05625000000003,17.9,21.0,18.1,75.1,24.8,22.3,24.6,97.2,1.4583243869499127,52.0
2018-06-01,0,24.36944444444444,23.39930555555557,25.287500000000005,66.05416666666667,16.0,20.0,16.1,34.9,35.1,27.4,39.5,95.4,6.5081230136774195,53.0
2018-06-02,0,24.21041666666667,24.059722222222234,24.836111111111112,73.2097222222222,16.8,21.2,16.9,40.4,33.5,27.4,36.7,100.0,5.022388185058055,54.0
2018-06-03,0,25.132638888888888,24.73194444444445,25.79930555555555,70.1875,17.3,21.9,17.5,34.5,34.2,28.0,39.1,93.9,5.862330515172598,55.0
2018-06-04,0,25.815972222222207,25.05208333333334,26.226388888888888,69.72569444444447,17.6,22.4,18.0,37.1,34.7,27.9,38.6,91.9,6.079916812655659,56.0
2018-06-05,0,24.540277777777792,24.614583333333343,24.49791666666667,80.25069444444442,18.3,23.0,18.7,43.8,33.8,26.6,35.4,99.8,3.640576995599537,57.0
2018-06-06,0,21.291666666666664,23.13958333333333,20.286111111111094,96.96319444444441,18.0,21.8,14.0,90.4,26.4,24.1,26.4,100.0,0.4523560080112348,58.0
2018-06-07,0,23.859027777777786,23.896527777777766,21.77847222222222,87.66736111111109,19.8,22.5,13.9,51.0,32.2,25.8,34.5,100.0,1.982561100621319,59.0
2018-06-08,0,24.19374999999999,24.27083333333334,24.492361111111087,84.33611111111105,18.8,22.4,19.1,53.9,33.2,26.3,35.4,98.5,2.8866736170808456,60.0
2018-06-09,0,26.159722222222232,25.14583333333333,25.565972222222232,83.33680555555559,20.1,23.8,20.6,48.1,35.5,27.4,35.8,100.0,3.2390591244725595,61.0
2018-06-10,0,23.972916666666652,24.23055555555554,23.65069444444445,86.81875000000008,19.6,23.2,19.9,68.9,30.5,25.2,29.5,100.0,2.329030360651243,62.0
2018-06-11,0,26.19236111111111,24.73333333333334,25.55277777777779,83.74652777777777,22.0,23.4,21.8,62.7,34.7,26.3,33.8,99.8,3.1573530631477227,63.0
2018-06-12,0,26.81666666666668,25.46736111111111,26.68263888888889,71.96666666666665,20.2,23.8,20.5,47.9,35.4,27.6,36.9,95.8,5.757645918468446,64.0
2018-06-13,0,24.729861111111113,24.34375000000001,24.284722222222207,71.2708333333334,18.3,22.8,18.7,46.3,34.3,26.0,34.2,87.4,5.2398818353148755,65.0
2018-06-14,0,24.445138888888913,24.07986111111111,24.568055555555574,77.14097222222225,17.0,21.9,17.7,52.5,33.2,26.1,33.8,92.5,4.2285801144638295,66.0
2018-06-15,0,22.684027777777786,23.94374999999999,22.727083333333344,89.90555555555555,19.9,23.2,20.2,75.1,28.2,24.7,27.0,96.9,1.7026214568747966,67.0
2018-06-16,0,22.488194444444442,23.168055555555554,22.39861111111113,81.80624999999998,17.3,21.9,17.6,59.1,31.6,24.8,29.8,97.2,3.018204562665509,68.0
2018-06-17,0,24.36111111111111,23.79375000000001,24.41527777777778,77.32638888888884,16.4,21.4,17.0,51.4,35.2,26.1,34.7,96.1,4.162450775408582,69.0
2018-06-18,0,22.097916666666666,23.27986111111112,21.99791666666666,87.80833333333334,18.6,22.4,19.0,71.1,31.8,24.5,29.1,94.8,1.9818589330248837,70.0
2018-06-19,0,23.94444444444445,23.679861111111112,23.511805555555547,90.65555555555555,18.9,22.3,15.2,70.9,34.4,25.5,32.6,100.0,1.6396279527477042,71.0
2018-06-20,0,21.94027777777779,23.11527777777782,22.067361111111122,99.28472222222223,19.8,22.6,20.3,96.9,24.7,23.5,24.2,100.0,0.11668477735273006,72.0
2018-06-21,0,23.93958333333333,23.650694444444426,23.32708333333333,94.43819444444449,19.3,22.2,19.9,77.1,30.3,24.7,27.8,100.0,0.9668910599961152,73.0
2018-06-22,0,25.60625000000001,24.036805555555553,24.738888888888912,82.9055555555556,17.0,21.5,17.3,54.3,34.5,26.4,33.6,100.0,3.1892387271362086,74.0
2018-06-23,0,20.96111111111111,22.697222222222237,21.140972222222224,96.14027777777778,18.7,21.1,19.2,81.0,25.4,23.6,25.4,100.0,0.6006568920829016,75.0
2018-06-24,0,24.63125,23.89305555555556,24.84513888888888,86.21666666666663,18.5,21.5,18.8,58.9,34.5,26.4,34.8,100.0,2.5851297299732074,76.0
2018-06-25,0,27.705555555555573,25.586111111111112,27.196527777777792,81.79930555555555,19.7,22.8,20.2,55.3,38.3,28.5,37.6,100.0,3.8335366466778367,77.0
2018-06-26,0,27.91041666666667,26.446527777777767,27.415277777777785,87.88680555555555,22.1,24.6,22.6,64.2,38.4,28.8,37.6,100.0,2.578790877255108,78.0
2018-06-27,0,28.18888888888889,26.60972222222221,27.15625,91.56527777777771,23.6,24.4,23.8,73.3,38.4,28.4,34.1,100.0,1.7730715850752747,79.0
2018-06-28,0,28.99236111111113,27.23402777777777,28.11944444444445,89.58263888888891,24.1,25.9,24.4,66.4,40.2,29.5,37.2,100.0,2.2952118780339097,80.0
