date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z
2016-07-25,27.5651376146789,26.66330275229357,28.532110091743114,70.75229357798165,21.5,23.8,21.5,43.0,35.8,30.7,39.6,100.0,25.84444444444445,25.79305555555557,26.341666666666676,71.61111111111111,22.3,24.0,22.1,48.0,33.1,28.8,34.7,90.0,27.09652777777778,26.780555555555555,27.28888888888888,74.05555555555556,23.2,24.7,23.2,45.0,34.5,31.0,36.5,96.0
2016-07-26,28.630275229357796,27.02201834862386,29.424770642201825,70.41284403669725,21.5,24.0,21.6,41.0,36.0,30.8,39.6,100.0,26.68611111111111,26.389583333333334,27.42013888888889,73.07638888888889,21.5,23.8,21.5,43.0,35.8,30.7,39.6,100.0,25.84444444444445,25.79305555555557,26.341666666666676,71.61111111111111,22.3,24.0,22.1,48.0,33.1,28.8,34.7,90.0
2016-07-27,23.88348623853211,25.07798165137614,23.916513761467893,94.77981651376147,21.9,24.5,22.3,84.0,26.7,25.5,26.3,100.0,27.430555555555543,26.800694444444453,28.0298611111111,75.33333333333333,21.5,24.0,21.6,41.0,36.0,30.8,39.6,100.0,26.68611111111111,26.389583333333334,27.42013888888889,73.07638888888889,21.5,23.8,21.5,43.0,35.8,30.7,39.6,100.0
2016-07-28,26.830275229357795,25.542201834862386,27.003669724770628,85.39449541284404,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0,23.390277777777797,24.84930555555555,23.49097222222221,96.04861111111111,21.7,24.0,22.0,84.0,26.7,25.5,26.3,100.0,27.430555555555543,26.800694444444453,28.0298611111111,75.33333333333333,21.5,24.0,21.6,41.0,36.0,30.8,39.6,100.0
2016-07-29,28.8045871559633,26.55688073394496,28.412844036697255,81.13761467889908,23.8,24.9,23.7,55.0,38.3,29.4,37.7,99.0,26.34305555555555,25.635416666666664,26.45555555555555,86.76388888888889,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0,23.390277777777797,24.84930555555555,23.49097222222221,96.04861111111111,21.7,24.0,22.0,84.0,26.7,25.5,26.3,100.0
2016-07-30,28.948623853211014,27.1091743119266,28.01651376146789,80.89908256880734,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,26.50763888888889,27.46111111111111,83.73611111111111,23.7,24.9,23.6,55.0,38.3,29.4,37.7,100.0,26.34305555555555,25.635416666666664,26.45555555555555,86.76388888888889,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0
2016-07-31,29.191743119266068,27.059633027522946,28.538532110091747,78.30275229357798,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0,28.031250000000014,26.947222222222216,27.24027777777778,83.61111111111111,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0,27.82569444444445,26.50763888888889,27.46111111111111,83.73611111111111,23.7,24.9,23.6,55.0,38.3,29.4,37.7,100.0
2016-08-01,29.711926605504573,27.267889908256876,29.275229357798157,77.31192660550458,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,26.916666666666675,27.688888888888886,79.68055555555556,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0,28.031250000000014,26.947222222222216,27.24027777777778,83.61111111111111,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0
2016-08-02,29.565137614678893,27.794495412844036,29.066972477064223,82.3302752293578,23.4,25.6,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,27.2097222222222,28.459027777777788,79.60416666666667,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0,28.26319444444445,26.916666666666675,27.688888888888886,79.68055555555556,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0
2016-08-03,29.77155963302753,27.755963302752296,28.722018348623862,84.94495412844037,23.6,25.8,24.0,65.0,37.0,29.4,34.0,100.0,28.589583333333323,27.62569444444444,28.29166666666667,86.53472222222223,23.4,25.6,23.7,56.0,37.6,30.0,35.4,100.0,28.868749999999995,27.2097222222222,28.459027777777788,79.60416666666667,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0
2016-08-04,29.801834862385324,27.64770642201833,28.69266055045871,84.57798165137615,23.8,26.1,24.4,64.0,39.3,29.2,34.6,100.0,28.879861111111122,27.7,28.127777777777784,87.17361111111111,23.6,25.8,24.0,65.0,37.0,29.4,34.0,100.0,28.589583333333323,27.62569444444444,28.29166666666667,86.53472222222223,23.4,25.6,23.7,56.0,37.6,30.0,35.4,100.0
2016-08-05,30.362385321100913,28.05412844036698,29.664220183486247,79.8440366972477,23.6,25.6,24.0,59.0,38.9,30.5,35.3,100.0,28.928472222222222,27.51527777777776,28.099999999999998,86.5,23.8,26.1,24.4,64.0,39.3,29.2,34.6,100.0,28.879861111111122,27.7,28.127777777777784,87.17361111111111,23.6,25.8,24.0,65.0,37.0,29.4,34.0,100.0
2016-08-06,30.658715596330268,28.115596330275228,29.905504587155978,80.29357798165138,23.9,26.0,24.4,61.0,38.0,30.0,35.4,100.0,29.415277777777774,27.899305555555554,28.88958333333334,82.36805555555556,23.6,25.6,24.0,59.0,38.9,30.5,35.3,100.0,28.928472222222222,27.51527777777776,28.099999999999998,86.5,23.8,26.1,24.4,64.0,39.3,29.2,34.6,100.0
2016-08-07,30.573394495412845,28.240366972477077,29.843119266055037,80.74311926605505,24.2,26.3,24.5,62.0,39.2,29.9,35.9,100.0,29.6861111111111,28.020138888888884,29.13541666666667,82.79166666666667,23.9,26.0,24.4,61.0,38.0,30.0,35.4,100.0,29.415277777777774,27.899305555555554,28.88958333333334,82.36805555555556,23.6,25.6,24.0,59.0,38.9,30.5,35.3,100.0
2016-08-08,30.271559633027525,28.178899082568797,29.477981651376137,83.36697247706422,24.3,26.3,24.7,61.0,39.4,30.2,36.8,100.0,29.740277777777774,28.10069444444446,29.147222222222208,82.25,24.2,26.3,24.5,62.0,39.2,29.9,35.9,100.0,29.6861111111111,28.020138888888884,29.13541666666667,82.79166666666667,23.9,26.0,24.4,61.0,38.0,30.0,35.4,100.0
2016-08-09,31.61009174311927,28.279816513761467,30.409174311926613,76.8440366972477,23.6,26.1,24.2,55.0,38.5,32.4,35.5,100.0,29.251388888888894,28.02499999999999,28.71180555555555,85.0625,24.3,26.3,24.7,61.0,39.4,30.2,36.8,100.0,29.740277777777774,28.10069444444446,29.147222222222208,82.25,24.2,26.3,24.5,62.0,39.2,29.9,35.9,100.0
2016-08-10,32.478899082568816,28.587155963302756,30.898165137614676,66.53211009174312,24.7,25.3,24.5,52.0,39.2,32.4,35.7,82.0,31.044444444444455,28.136111111111113,29.963194444444444,74.51388888888889,23.6,26.1,24.2,55.0,38.5,32.4,35.5,100.0,29.251388888888894,28.02499999999999,28.71180555555555,85.0625,24.3,26.3,24.7,61.0,39.4,30.2,36.8,100.0
2016-08-11,30.101834862385324,26.785321100917443,28.84770642201834,67.36697247706422,23.5,25.3,23.5,45.0,37.5,28.6,34.2,89.0,31.352777777777778,28.32430555555556,30.017361111111104,67.53472222222223,24.7,25.3,24.5,52.0,39.2,32.4,35.7,83.0,31.044444444444455,28.136111111111113,29.963194444444444,74.51388888888889,23.6,26.1,24.2,55.0,38.5,32.4,35.5,100.0
2016-08-12,28.888990825688065,26.492660550458726,27.963302752293565,78.57798165137615,21.1,24.2,21.7,58.0,35.6,28.4,34.0,97.0,28.892361111111104,26.62013888888889,27.915972222222223,71.92361111111111,22.4,25.3,23.0,45.0,37.5,28.6,34.2,94.0,31.352777777777778,28.32430555555556,30.017361111111104,67.53472222222223,24.7,25.3,24.5,52.0,39.2,32.4,35.7,83.0
2016-08-13,28.99908256880734,27.18348623853211,28.508256880733946,80.35779816513761,23.4,25.6,23.9,50.0,35.6,29.9,36.2,100.0,28.286111111111122,26.60069444444445,27.567361111111108,81.25,21.1,24.2,21.7,58.0,35.6,28.4,34.0,97.0,28.892361111111104,26.62013888888889,27.915972222222223,71.92361111111111,22.4,25.3,23.0,45.0,37.5,28.6,34.2,94.0
2016-08-14,29.410091743119256,27.258715596330262,28.5211009174312,80.35779816513761,24.3,25.5,24.2,62.0,37.1,29.7,35.3,93.0,28.315972222222218,27.070138888888888,27.91319444444445,80.34027777777777,23.4,25.6,23.9,50.0,35.6,29.9,36.2,100.0,28.286111111111122,26.60069444444445,27.567361111111108,81.25,21.1,24.2,21.7,58.0,35.6,28.4,34.0,97.0
2016-08-15,27.26605504587156,26.63853211009174,26.908256880733948,85.56880733944953,23.8,25.9,24.4,73.0,32.1,27.3,30.4,98.0,28.718749999999986,27.242361111111105,28.02847222222222,81.52083333333333,24.3,25.5,24.2,62.0,37.1,29.7,35.3,93.0,28.315972222222218,27.070138888888888,27.91319444444445,80.34027777777777,23.4,25.6,23.9,50.0,35.6,29.9,36.2,100.0
2016-08-16,29.688990825688066,27.309174311926597,28.657798165137617,83.06422018348624,23.4,25.2,23.8,62.0,37.4,30.0,36.9,98.0,26.782638888888908,26.50277777777778,26.549305555555563,85.8125,23.8,25.7,24.4,73.0,32.1,27.3,30.4,98.0,28.718749999999986,27.242361111111105,28.02847222222222,81.52083333333333,24.3,25.5,24.2,62.0,37.1,29.7,35.3,93.0
