date,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2018-03-23,19.002777777777776,17.56944444444444,18.214583333333334,67.11666666666672,12.5,15.4,12.9,32.0,34.8,21.0,31.1,90.6
2018-03-24,18.529166666666676,17.820833333333336,17.66111111111111,70.57569444444447,8.2,15.6,8.9,34.8,32.4,20.8,28.8,93.6
2018-03-25,17.878472222222218,17.32708333333333,17.00347222222222,73.08055555555556,8.1,14.2,8.8,31.9,31.7,20.7,27.6,95.8
2018-03-26,17.345138888888883,16.99722222222222,16.677083333333325,75.93124999999998,6.6,13.9,7.4,35.7,31.4,20.1,27.6,93.7
2018-03-27,18.665972222222234,17.638888888888882,17.98541666666666,77.41249999999998,8.4,14.3,8.9,39.6,34.6,20.9,30.8,93.9
2018-03-28,19.28263888888889,18.05,18.551388888888884,75.2645833333333,9.0,14.8,9.5,35.3,34.2,21.4,31.2,94.1
2018-03-29,20.42083333333332,18.66666666666667,19.55138888888889,74.96180555555556,8.6,14.9,9.2,29.1,37.5,22.5,33.2,96.0
2018-03-30,20.33125,19.088194444444436,19.36041666666667,68.10694444444447,10.6,16.5,11.1,22.2,37.3,22.7,33.0,95.9
2018-03-31,19.164583333333333,18.340972222222213,18.34583333333333,74.32430555555555,7.6,14.7,8.3,36.4,35.7,22.1,33.0,94.9
2018-04-01,19.559722222222224,18.681944444444444,18.713194444444436,77.11458333333333,9.6,15.5,10.1,36.3,33.3,22.2,29.5,95.8
2018-04-02,20.43472222222222,19.131944444444436,19.65,77.04166666666669,11.6,16.3,11.9,42.5,33.2,21.9,29.2,98.2
2018-04-03,21.690972222222214,19.89375,20.79652777777778,74.68888888888888,12.1,16.6,12.5,35.3,36.3,24.0,32.4,96.1
2018-04-04,22.204166666666666,20.27291666666667,21.309722222222227,75.46111111111108,11.9,16.9,12.3,39.2,36.1,23.9,32.7,95.6
2018-04-05,20.419444444444444,19.865277777777774,19.96597222222222,82.09652777777777,13.0,17.8,13.3,41.2,30.6,21.8,28.5,97.9
