date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z
2017-12-22,15.998611111111115,16.447916666666668,15.95902777777778,70.11111111111111,10.4,14.7,10.5,35.0,27.0,19.0,29.7,86.0,15.543749999999996,16.095833333333342,15.398611111111112,68.70138888888889,10.0,14.4,10.0,33.0,27.5,18.5,28.3,85.0,14.809722222222215,16.039583333333336,14.696527777777785,69.55555555555556,10.1,14.5,10.0,36.0,24.1,18.0,25.4,84.0
2017-12-23,15.347222222222221,16.296527777777786,15.028472222222213,69.3125,10.0,14.6,9.9,29.0,27.9,18.6,27.1,84.0,15.998611111111115,16.447916666666668,15.95902777777778,70.11111111111111,10.4,14.7,10.5,35.0,27.0,19.0,29.7,86.0,15.543749999999996,16.095833333333342,15.398611111111112,68.70138888888889,10.0,14.4,10.0,33.0,27.5,18.5,28.3,85.0
2017-12-24,15.35208333333333,16.07569444444445,15.147916666666667,74.74305555555556,10.0,14.4,10.2,38.0,25.8,18.2,25.8,98.0,15.347222222222221,16.296527777777786,15.028472222222213,69.3125,10.0,14.6,9.9,29.0,27.9,18.6,27.1,84.0,15.998611111111115,16.447916666666668,15.95902777777778,70.11111111111111,10.4,14.7,10.5,35.0,27.0,19.0,29.7,86.0
2017-12-25,16.436111111111106,16.638888888888882,16.443055555555546,77.27777777777777,10.5,14.9,10.5,31.0,27.6,18.8,28.4,97.0,15.35208333333333,16.07569444444445,15.147916666666667,74.74305555555556,10.0,14.4,10.2,38.0,25.8,18.2,25.8,98.0,15.347222222222221,16.296527777777786,15.028472222222213,69.3125,10.0,14.6,9.9,29.0,27.9,18.6,27.1,84.0
2017-12-26,15.693750000000007,17.10625,15.92222222222221,74.875,11.4,16.1,11.6,42.0,25.5,18.9,26.3,90.0,16.436111111111106,16.638888888888882,16.443055555555546,77.27777777777777,10.5,14.9,10.5,31.0,27.6,18.8,28.4,97.0,15.35208333333333,16.07569444444445,15.147916666666667,74.74305555555556,10.0,14.4,10.2,38.0,25.8,18.2,25.8,98.0
2017-12-27,14.150000000000004,16.14166666666667,14.265972222222226,76.1875,10.6,15.1,10.7,36.0,26.8,18.3,28.8,89.0,15.693750000000007,17.10625,15.92222222222221,74.875,11.4,16.1,11.6,42.0,25.5,18.9,26.3,90.0,16.436111111111106,16.638888888888882,16.443055555555546,77.27777777777777,10.5,14.9,10.5,31.0,27.6,18.8,28.4,97.0
2017-12-28,12.911805555555556,15.377083333333335,12.913888888888884,77.375,10.6,14.8,10.7,46.0,23.2,16.7,22.5,89.0,14.150000000000004,16.14166666666667,14.265972222222226,76.1875,10.6,15.1,10.7,36.0,26.8,18.3,28.8,89.0,15.693750000000007,17.10625,15.92222222222221,74.875,11.4,16.1,11.6,42.0,25.5,18.9,26.3,90.0
2017-12-29,15.535416666666656,15.871527777777775,15.133333333333338,70.27777777777777,10.4,14.3,10.5,38.0,27.0,18.3,27.3,83.0,12.911805555555556,15.377083333333335,12.913888888888884,77.375,10.6,14.8,10.7,46.0,23.2,16.7,22.5,89.0,14.150000000000004,16.14166666666667,14.265972222222226,76.1875,10.6,15.1,10.7,36.0,26.8,18.3,28.8,89.0
2017-12-30,14.947916666666664,16.00069444444445,14.807638888888896,73.375,10.4,14.7,10.6,41.0,26.1,18.0,25.4,89.0,15.535416666666656,15.871527777777775,15.133333333333338,70.27777777777777,10.4,14.3,10.5,38.0,27.0,18.3,27.3,83.0,12.911805555555556,15.377083333333335,12.913888888888884,77.375,10.6,14.8,10.7,46.0,23.2,16.7,22.5,89.0
2017-12-31,15.627777777777775,16.305555555555564,15.422916666666671,75.66666666666667,10.2,14.8,10.4,39.0,27.7,18.4,27.2,90.0,14.947916666666664,16.00069444444445,14.807638888888896,73.375,10.4,14.7,10.6,41.0,26.1,18.0,25.4,89.0,15.535416666666656,15.871527777777775,15.133333333333338,70.27777777777777,10.4,14.3,10.5,38.0,27.0,18.3,27.3,83.0
