H_mean_x,T20_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,H_mean_y,T20_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,days
88.23263888888886,24.9,25.4,69.9,40.9,30.3,36.6,100.0,95.24722222222216,25.2,25.5,71.1,38.3,29.1,37.0,100.0,90.87430555555555,24.7,25.1,75.9,37.7,28.9,33.9,100.0,84.0
94.63125,24.3,24.7,80.9,39.7,29.5,33.0,100.0,88.23263888888886,24.9,25.4,69.9,40.9,30.3,36.6,100.0,95.24722222222216,25.2,25.5,71.1,38.3,29.1,37.0,100.0,85.0
94.10902777777771,24.0,16.6,73.9,38.8,29.5,34.2,100.0,94.63125,24.3,24.7,80.9,39.7,29.5,33.0,100.0,88.23263888888886,24.9,25.4,69.9,40.9,30.3,36.6,100.0,86.0
96.72222222222223,24.5,24.7,86.8,32.7,27.9,29.8,100.0,94.10902777777771,24.0,16.6,73.9,38.8,29.5,34.2,100.0,94.63125,24.3,24.7,80.9,39.7,29.5,33.0,100.0,87.0
98.80416666666667,24.5,24.6,94.2,28.3,26.7,27.4,100.0,96.72222222222223,24.5,24.7,86.8,32.7,27.9,29.8,100.0,94.10902777777771,24.0,16.6,73.9,38.8,29.5,34.2,100.0,88.0
99.2375,24.0,23.0,92.4,30.3,27.9,28.5,100.0,98.80416666666667,24.5,24.6,94.2,28.3,26.7,27.4,100.0,96.72222222222223,24.5,24.7,86.8,32.7,27.9,29.8,100.0,89.0
97.3201388888889,24.8,24.4,75.7,33.1,31.5,31.9,100.0,99.2375,24.0,23.0,92.4,30.3,27.9,28.5,100.0,98.80416666666667,24.5,24.6,94.2,28.3,26.7,27.4,100.0,90.0
74.56319444444446,23.7,24.3,43.7,38.0,29.9,35.6,100.0,97.3201388888889,24.8,24.4,75.7,33.1,31.5,31.9,100.0,99.2375,24.0,23.0,92.4,30.3,27.9,28.5,100.0,91.0
76.25763888888885,22.6,22.9,46.4,43.3,30.2,35.0,98.2,74.56319444444446,23.7,24.3,43.7,38.0,29.9,35.6,100.0,97.3201388888889,24.8,24.4,75.7,33.1,31.5,31.9,100.0,92.0
70.07986111111113,22.8,23.4,42.0,40.8,30.1,34.6,97.9,76.25763888888885,22.6,22.9,46.4,43.3,30.2,35.0,98.2,74.56319444444446,23.7,24.3,43.7,38.0,29.9,35.6,100.0,93.0
54.18263888888888,24.1,24.8,33.6,38.0,29.6,35.4,75.2,70.07986111111113,22.8,23.4,42.0,40.8,30.1,34.6,97.9,76.25763888888885,22.6,22.9,46.4,43.3,30.2,35.0,98.2,94.0
62.369444444444454,25.3,25.8,36.7,40.1,30.3,36.2,97.5,54.18263888888888,24.1,24.8,33.6,38.0,29.6,35.4,75.2,70.07986111111113,22.8,23.4,42.0,40.8,30.1,34.6,97.9,95.0
55.12083333333332,24.2,25.0,35.8,43.2,30.9,36.1,93.4,62.369444444444454,25.3,25.8,36.7,40.1,30.3,36.2,97.5,54.18263888888888,24.1,24.8,33.6,38.0,29.6,35.4,75.2,96.0
54.38194444444443,24.1,25.0,35.2,41.8,30.8,35.5,90.6,55.12083333333332,24.2,25.0,35.8,43.2,30.9,36.1,93.4,62.369444444444454,25.3,25.8,36.7,40.1,30.3,36.2,97.5,97.0
48.02777777777776,24.7,25.6,33.8,43.8,31.2,36.1,66.7,54.38194444444443,24.1,25.0,35.2,41.8,30.8,35.5,90.6,55.12083333333332,24.2,25.0,35.8,43.2,30.9,36.1,93.4,1.0
54.06388888888888,25.1,25.9,35.2,39.0,31.1,35.5,95.2,48.02777777777776,24.7,25.6,33.8,43.8,31.2,36.1,66.7,54.38194444444443,24.1,25.0,35.2,41.8,30.8,35.5,90.6,2.0
46.546527777777754,26.5,27.0,33.7,38.1,31.1,35.7,62.7,54.06388888888888,25.1,25.9,35.2,39.0,31.1,35.5,95.2,48.02777777777776,24.7,25.6,33.8,43.8,31.2,36.1,66.7,3.0
51.131944444444436,26.4,27.0,32.7,41.2,31.7,35.2,91.6,46.546527777777754,26.5,27.0,33.7,38.1,31.1,35.7,62.7,54.06388888888888,25.1,25.9,35.2,39.0,31.1,35.5,95.2,4.0
42.77361111111113,26.6,27.2,29.0,41.2,31.3,36.0,55.0,51.131944444444436,26.4,27.0,32.7,41.2,31.7,35.2,91.6,46.546527777777754,26.5,27.0,33.7,38.1,31.1,35.7,62.7,5.0
51.83750000000001,25.6,26.2,30.6,39.6,30.3,34.1,93.5,42.77361111111113,26.6,27.2,29.0,41.2,31.3,36.0,55.0,51.131944444444436,26.4,27.0,32.7,41.2,31.7,35.2,91.6,6.0
47.88055555555553,25.0,25.9,24.4,33.5,28.5,32.1,95.0,51.83750000000001,25.6,26.2,30.6,39.6,30.3,34.1,93.5,42.77361111111113,26.6,27.2,29.0,41.2,31.3,36.0,55.0,27.0
83.47222222222223,26.4,26.8,50.0,38.4,33.1,39.4,100.0,47.88055555555553,25.0,25.9,24.4,33.5,28.5,32.1,95.0,51.83750000000001,25.6,26.2,30.6,39.6,30.3,34.1,93.5,28.0
89.9375,26.4,26.7,65.0,36.9,31.5,35.2,100.0,83.47222222222223,26.4,26.8,50.0,38.4,33.1,39.4,100.0,47.88055555555553,25.0,25.9,24.4,33.5,28.5,32.1,95.0,29.0
86.44444444444444,26.0,26.3,58.0,38.3,34.0,37.7,100.0,89.9375,26.4,26.7,65.0,36.9,31.5,35.2,100.0,83.47222222222223,26.4,26.8,50.0,38.4,33.1,39.4,100.0,30.0
85.22916666666667,26.5,26.9,59.0,39.5,32.9,37.3,100.0,86.44444444444444,26.0,26.3,58.0,38.3,34.0,37.7,100.0,89.9375,26.4,26.7,65.0,36.9,31.5,35.2,100.0,31.0
93.70833333333331,25.4,25.8,68.0,37.7,30.7,35.4,100.0,85.22916666666667,26.5,26.9,59.0,39.5,32.9,37.3,100.0,86.44444444444444,26.0,26.3,58.0,38.3,34.0,37.7,100.0,32.0
90.25,25.6,25.9,67.0,35.3,30.5,33.7,100.0,93.70833333333331,25.4,25.8,68.0,37.7,30.7,35.4,100.0,85.22916666666667,26.5,26.9,59.0,39.5,32.9,37.3,100.0,33.0
66.13194444444444,22.1,22.5,36.0,39.9,30.8,35.5,83.0,90.25,25.6,25.9,67.0,35.3,30.5,33.7,100.0,93.70833333333331,25.4,25.8,68.0,37.7,30.7,35.4,100.0,34.0
69.34027777777777,19.6,20.1,47.0,38.6,29.3,34.0,87.0,66.13194444444444,22.1,22.5,36.0,39.9,30.8,35.5,83.0,90.25,25.6,25.9,67.0,35.3,30.5,33.7,100.0,35.0
73.47222222222223,19.4,20.0,48.0,38.2,29.1,34.5,92.0,69.34027777777777,19.6,20.1,47.0,38.6,29.3,34.0,87.0,66.13194444444444,22.1,22.5,36.0,39.9,30.8,35.5,83.0,36.0
84.65972222222223,20.7,21.4,64.0,35.8,28.6,33.3,100.0,73.47222222222223,19.4,20.0,48.0,38.2,29.1,34.5,92.0,69.34027777777777,19.6,20.1,47.0,38.6,29.3,34.0,87.0,37.0
86.67361111111109,25.4,25.8,64.0,41.9,31.6,37.7,100.0,84.65972222222223,20.7,21.4,64.0,35.8,28.6,33.3,100.0,73.47222222222223,19.4,20.0,48.0,38.2,29.1,34.5,92.0,38.0
83.84027777777777,26.3,26.7,58.0,43.8,32.3,38.1,100.0,86.67361111111109,25.4,25.8,64.0,41.9,31.6,37.7,100.0,84.65972222222223,20.7,21.4,64.0,35.8,28.6,33.3,100.0,39.0
87.95833333333331,26.6,26.7,74.0,43.4,31.8,37.7,99.0,83.84027777777777,26.3,26.7,58.0,43.8,32.3,38.1,100.0,86.67361111111109,25.4,25.8,64.0,41.9,31.6,37.7,100.0,40.0
92.32638888888887,26.9,27.4,77.0,36.4,30.1,34.0,100.0,87.95833333333331,26.6,26.7,74.0,43.4,31.8,37.7,99.0,83.84027777777777,26.3,26.7,58.0,43.8,32.3,38.1,100.0,41.0
90.63194444444444,25.9,26.7,77.0,39.1,30.3,33.3,99.0,92.32638888888887,26.9,27.4,77.0,36.4,30.1,34.0,100.0,87.95833333333331,26.6,26.7,74.0,43.4,31.8,37.7,99.0,42.0
84.8125,24.3,25.1,62.0,39.9,31.7,36.2,100.0,90.63194444444444,25.9,26.7,77.0,39.1,30.3,33.3,99.0,92.32638888888887,26.9,27.4,77.0,36.4,30.1,34.0,100.0,43.0
82.36805555555556,23.7,24.6,63.0,39.7,31.2,35.6,99.0,84.8125,24.3,25.1,62.0,39.9,31.7,36.2,100.0,90.63194444444444,25.9,26.7,77.0,39.1,30.3,33.3,99.0,44.0
85.8263888888889,23.9,24.9,66.0,39.3,30.5,35.2,98.0,82.36805555555556,23.7,24.6,63.0,39.7,31.2,35.6,99.0,84.8125,24.3,25.1,62.0,39.9,31.7,36.2,100.0,45.0
84.4861111111111,24.6,25.7,66.0,39.6,30.6,34.6,96.0,85.8263888888889,23.9,24.9,66.0,39.3,30.5,35.2,98.0,82.36805555555556,23.7,24.6,63.0,39.7,31.2,35.6,99.0,46.0
90.27777777777777,24.7,25.6,64.0,40.9,30.3,32.8,100.0,84.4861111111111,24.6,25.7,66.0,39.6,30.6,34.6,96.0,85.8263888888889,23.9,24.9,66.0,39.3,30.5,35.2,98.0,47.0
86.16666666666669,24.5,25.8,63.0,41.6,31.5,35.7,100.0,90.27777777777777,24.7,25.6,64.0,40.9,30.3,32.8,100.0,84.4861111111111,24.6,25.7,66.0,39.6,30.6,34.6,96.0,48.0
89.4375,24.0,25.0,80.0,36.3,28.4,30.2,95.0,86.16666666666669,24.5,25.8,63.0,41.6,31.5,35.7,100.0,90.27777777777777,24.7,25.6,64.0,40.9,30.3,32.8,100.0,49.0
87.19444444444444,23.3,24.3,64.0,39.8,29.6,33.9,96.0,89.4375,24.0,25.0,80.0,36.3,28.4,30.2,95.0,86.16666666666669,24.5,25.8,63.0,41.6,31.5,35.7,100.0,50.0
84.06944444444444,22.8,23.8,65.0,43.1,30.0,35.6,95.0,87.19444444444444,23.3,24.3,64.0,39.8,29.6,33.9,96.0,89.4375,24.0,25.0,80.0,36.3,28.4,30.2,95.0,51.0
95.26388888888887,24.3,25.2,88.0,35.2,28.8,31.4,100.0,84.06944444444444,22.8,23.8,65.0,43.1,30.0,35.6,95.0,87.19444444444444,23.3,24.3,64.0,39.8,29.6,33.9,96.0,52.0
87.88194444444444,24.2,25.1,68.0,38.9,29.7,34.2,100.0,95.26388888888887,24.3,25.2,88.0,35.2,28.8,31.4,100.0,84.06944444444444,22.8,23.8,65.0,43.1,30.0,35.6,95.0,53.0
87.3125,22.3,23.3,73.0,35.5,28.4,32.0,97.0,87.88194444444444,24.2,25.1,68.0,38.9,29.7,34.2,100.0,95.26388888888887,24.3,25.2,88.0,35.2,28.8,31.4,100.0,54.0
90.22916666666669,23.1,24.0,81.0,32.4,28.0,30.0,98.0,87.3125,22.3,23.3,73.0,35.5,28.4,32.0,97.0,87.88194444444444,24.2,25.1,68.0,38.9,29.7,34.2,100.0,55.0
90.22222222222223,25.0,25.7,74.0,34.3,28.6,32.2,97.0,90.22916666666669,23.1,24.0,81.0,32.4,28.0,30.0,98.0,87.3125,22.3,23.3,73.0,35.5,28.4,32.0,97.0,56.0
88.22222222222223,24.8,25.5,67.0,37.7,29.8,34.8,99.0,90.22222222222223,25.0,25.7,74.0,34.3,28.6,32.2,97.0,90.22916666666669,23.1,24.0,81.0,32.4,28.0,30.0,98.0,57.0
93.23611111111113,21.3,22.2,87.0,32.0,27.4,28.6,98.0,88.22222222222223,24.8,25.5,67.0,37.7,29.8,34.8,99.0,90.22222222222223,25.0,25.7,74.0,34.3,28.6,32.2,97.0,58.0
85.56944444444444,19.7,20.3,76.0,30.2,25.6,28.1,94.0,93.23611111111113,21.3,22.2,87.0,32.0,27.4,28.6,98.0,88.22222222222223,24.8,25.5,67.0,37.7,29.8,34.8,99.0,59.0
84.84027777777777,19.6,20.2,74.0,30.1,24.7,26.2,100.0,85.56944444444444,19.7,20.3,76.0,30.2,25.6,28.1,94.0,93.23611111111113,21.3,22.2,87.0,32.0,27.4,28.6,98.0,60.0
84.59722222222223,19.4,20.0,70.0,36.3,25.6,31.1,94.0,84.84027777777777,19.6,20.2,74.0,30.1,24.7,26.2,100.0,85.56944444444444,19.7,20.3,76.0,30.2,25.6,28.1,94.0,61.0
90.96527777777777,20.4,20.8,82.0,28.5,25.0,26.6,99.0,84.59722222222223,19.4,20.0,70.0,36.3,25.6,31.1,94.0,84.84027777777777,19.6,20.2,74.0,30.1,24.7,26.2,100.0,62.0
94.97222222222223,22.0,22.6,83.0,29.2,25.1,27.0,100.0,90.96527777777777,20.4,20.8,82.0,28.5,25.0,26.6,99.0,84.59722222222223,19.4,20.0,70.0,36.3,25.6,31.1,94.0,63.0
86.46527777777777,22.5,23.1,67.0,39.5,28.1,33.8,100.0,94.97222222222223,22.0,22.6,83.0,29.2,25.1,27.0,100.0,90.96527777777777,20.4,20.8,82.0,28.5,25.0,26.6,99.0,64.0
75.5625,22.4,23.2,57.0,40.1,28.4,33.7,95.0,86.46527777777777,22.5,23.1,67.0,39.5,28.1,33.8,100.0,94.97222222222223,22.0,22.6,83.0,29.2,25.1,27.0,100.0,65.0
78.03472222222223,19.3,20.2,63.0,37.3,27.4,31.7,93.0,75.5625,22.4,23.2,57.0,40.1,28.4,33.7,95.0,86.46527777777777,22.5,23.1,67.0,39.5,28.1,33.8,100.0,66.0
79.52083333333333,18.5,19.3,53.0,39.3,29.2,32.1,94.0,78.03472222222223,19.3,20.2,63.0,37.3,27.4,31.7,93.0,75.5625,22.4,23.2,57.0,40.1,28.4,33.7,95.0,67.0
90.67361111111113,19.8,20.4,85.0,24.3,23.9,24.0,97.0,79.52083333333333,18.5,19.3,53.0,39.3,29.2,32.1,94.0,78.03472222222223,19.3,20.2,63.0,37.3,27.4,31.7,93.0,68.0
92.51388888888887,19.2,19.7,88.0,25.3,23.6,24.2,96.0,90.67361111111113,19.8,20.4,85.0,24.3,23.9,24.0,97.0,79.52083333333333,18.5,19.3,53.0,39.3,29.2,32.1,94.0,69.0
83.15277777777777,20.8,21.6,61.0,36.1,27.1,32.9,100.0,92.51388888888887,19.2,19.7,88.0,25.3,23.6,24.2,96.0,90.67361111111113,19.8,20.4,85.0,24.3,23.9,24.0,97.0,70.0
82.2361111111111,19.4,20.2,63.0,35.6,26.7,31.3,94.0,83.15277777777777,20.8,21.6,61.0,36.1,27.1,32.9,100.0,92.51388888888887,19.2,19.7,88.0,25.3,23.6,24.2,96.0,71.0
89.29861111111109,21.5,22.1,72.0,33.7,26.7,30.0,100.0,82.2361111111111,19.4,20.2,63.0,35.6,26.7,31.3,94.0,83.15277777777777,20.8,21.6,61.0,36.1,27.1,32.9,100.0,72.0
92.74305555555556,20.1,20.5,86.0,24.9,24.8,24.4,98.0,89.29861111111109,21.5,22.1,72.0,33.7,26.7,30.0,100.0,82.2361111111111,19.4,20.2,63.0,35.6,26.7,31.3,94.0,73.0
88.85416666666669,17.8,19.0,71.0,29.5,24.5,26.8,100.0,92.74305555555556,20.1,20.5,86.0,24.9,24.8,24.4,98.0,89.29861111111109,21.5,22.1,72.0,33.7,26.7,30.0,100.0,74.0
92.36111111111113,16.4,17.3,76.0,26.6,23.2,25.0,100.0,88.85416666666669,17.8,19.0,71.0,29.5,24.5,26.8,100.0,92.74305555555556,20.1,20.5,86.0,24.9,24.8,24.4,98.0,75.0
82.10416666666667,14.1,14.8,59.0,36.8,24.6,29.7,99.0,92.36111111111113,16.4,17.3,76.0,26.6,23.2,25.0,100.0,88.85416666666669,17.8,19.0,71.0,29.5,24.5,26.8,100.0,76.0
88.08333333333331,18.8,19.3,81.0,22.0,22.0,21.6,94.0,82.10416666666667,14.1,14.8,59.0,36.8,24.6,29.7,99.0,92.36111111111113,16.4,17.3,76.0,26.6,23.2,25.0,100.0,77.0
94.38194444444444,19.8,20.1,78.0,30.0,24.5,28.0,100.0,88.08333333333331,18.8,19.3,81.0,22.0,22.0,21.6,94.0,82.10416666666667,14.1,14.8,59.0,36.8,24.6,29.7,99.0,78.0
72.9513888888889,20.7,19.0,45.0,29.9,24.1,34.0,91.0,94.38194444444444,19.8,20.1,78.0,30.0,24.5,28.0,100.0,88.08333333333331,18.8,19.3,81.0,22.0,22.0,21.6,94.0,104.0
