T20_mean_x,H_mean_x,T20_min_x,H_min_x,T20_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
21.95694444,71.17777778,13.5,39.9,34.5,34.2,89.7,4.619990667627146,66.73680556,12.6,32.1,33.8,25.4,34.7,89.9,5.43987772919318,61.65555556,12.4,29.5,35.1,25.0,37.2,87.8,6.12358668991821,22.0
23.33263889,67.94027778,14.4,36.9,33.6,34.7,90.8,5.5191690451499245,71.17777778,13.5,39.9,34.5,25.2,34.2,89.7,4.619990667627146,66.73680556,12.6,32.1,33.8,25.4,34.7,89.9,5.43987772919318,23.0
19.62222222,84.88541667,15.3,62.4,28.7,26.3,97.1,2.1868180345644634,67.94027778,14.4,36.9,33.6,25.5,34.7,90.8,5.5191690451499245,71.17777778,13.5,39.9,34.5,25.2,34.2,89.7,4.619990667627146,24.0
21.40694444,77.76944444,14.5,57.7,28.3,27.7,98.2,3.4776257188721105,84.88541667,15.3,62.4,28.7,22.1,26.3,97.1,2.1868180345644634,67.94027778,14.4,36.9,33.6,25.5,34.7,90.8,5.5191690451499245,25.0
19.69444444,63.94930556,11.1,32.1,30.2,32.1,99.9,5.1503492768642944,77.76944444,14.5,57.7,28.3,23.2,27.7,98.2,3.4776257188721105,84.88541667,15.3,62.4,28.7,22.1,26.3,97.1,2.1868180345644634,26.0
20.12152778,65.46736111,9.0,32.4,30.5,31.0,92.6,5.010781039801309,63.94930556,11.1,32.1,30.2,24.0,32.1,99.9,5.1503492768642944,77.76944444,14.5,57.7,28.3,23.2,27.7,98.2,3.4776257188721105,27.0
21.86458333,69.36805556,11.8,32.9,35.5,34.6,89.4,4.848015907767457,65.46736111,9.0,32.4,30.5,23.1,31.0,92.6,5.010781039801309,63.94930556,11.1,32.1,30.2,24.0,32.1,99.9,5.1503492768642944,28.0
17.72986111,95.08958333,14.9,88.5,21.2,20.8,100.0,0.6491971532151726,69.36805556,11.8,32.9,35.5,24.7,34.6,89.4,4.848015907767457,65.46736111,9.0,32.4,30.5,23.1,31.0,92.6,5.010781039801309,29.0
18.76736111,89.93541667,15.1,77.4,24.4,22.9,98.6,1.3903940707599405,95.08958333,14.9,88.5,21.2,20.4,20.8,100.0,0.6491971532151726,69.36805556,11.8,32.9,35.5,24.7,34.6,89.4,4.848015907767457,30.0
19.59027778,78.45486111,13.8,45.6,32.4,28.7,96.5,3.032834632165849,89.93541667,15.1,77.4,24.4,20.9,22.9,98.6,1.3903940707599405,95.08958333,14.9,88.5,21.2,20.4,20.8,100.0,0.6491971532151726,31.0
19.29305556,60.44583333,10.9,34.0,30.5,30.1,84.7,5.42582821353674,78.45486111,13.8,45.6,32.4,22.1,28.7,96.5,3.032834632165849,89.93541667,15.1,77.4,24.4,20.9,22.9,98.6,1.3903940707599405,32.0
19.93333333,64.37986111,8.6,27.8,33.5,30.9,100.0,5.028737445570052,60.44583333,10.9,34.0,30.5,22.1,30.1,84.7,5.42582821353674,78.45486111,13.8,45.6,32.4,22.1,28.7,96.5,3.032834632165849,33.0
21.35416667,70.67847222,10.8,31.2,34.2,32.5,96.0,4.445673486283088,64.37986111,8.6,27.8,33.5,22.8,30.9,100.0,5.028737445570052,60.44583333,10.9,34.0,30.5,22.1,30.1,84.7,5.42582821353674,34.0
18.49513889,90.56458333,16.1,81.6,20.6,20.5,96.2,1.2979450258535996,70.67847222,10.8,31.2,34.2,24.0,32.5,96.0,4.445673486283088,64.37986111,8.6,27.8,33.5,22.8,30.9,100.0,5.028737445570052,35.0
24.61805556,70.28888889,17.0,39.5,34.3,35.3,97.6,5.28328863467931,90.56458333,16.1,81.6,20.6,20.2,20.5,96.2,1.2979450258535996,70.67847222,10.8,31.2,34.2,24.0,32.5,96.0,4.445673486283088,36.0
23.72916667,73.35972222,14.8,44.8,35.2,34.1,96.6,4.629172880646731,70.28888889,17.0,39.5,34.3,24.7,35.3,97.6,5.28328863467931,90.56458333,16.1,81.6,20.6,20.2,20.5,96.2,1.2979450258535996,37.0
23.49305556,81.45416667,16.0,58.6,31.7,28.6,100.0,3.1285487592693366,73.35972222,14.8,44.8,35.2,25.6,34.1,96.6,4.629172880646731,70.28888889,17.0,39.5,34.3,24.7,35.3,97.6,5.28328863467931,38.0
24.5625,78.025,18.7,52.3,34.4,33.6,93.4,4.020828503133583,81.45416667,16.0,58.6,31.7,24.1,28.6,100.0,3.1285487592693366,73.35972222,14.8,44.8,35.2,25.6,34.1,96.6,4.629172880646731,50.0
23.13194444,81.64583333,18.9,63.1,30.0,28.1,100.0,3.122577524637151,78.025,18.7,52.3,34.4,25.9,33.6,93.4,4.020828503133583,81.45416667,16.0,58.6,31.7,24.1,28.6,100.0,3.1285487592693366,51.0
21.63055556,88.16736111,18.8,71.8,27.1,27.5,98.5,1.8991639592997576,81.64583333,18.9,63.1,30.0,23.7,28.1,100.0,3.122577524637151,78.025,18.7,52.3,34.4,25.9,33.6,93.4,4.020828503133583,52.0
19.4375,90.83333333,17.5,75.6,24.0,24.0,98.8,1.3207122127588378,88.16736111,18.8,71.8,27.1,23.7,27.5,98.5,1.8991639592997576,81.64583333,18.9,63.1,30.0,23.7,28.1,100.0,3.122577524637151,53.0
24.1375,65.82847222,16.1,34.8,36.0,38.4,95.8,6.452994898900442,90.83333333,17.5,75.6,24.0,21.7,24.0,98.8,1.3207122127588378,88.16736111,18.8,71.8,27.1,23.7,27.5,98.5,1.8991639592997576,54.0
23.70625,73.17569444,16.2,41.2,32.8,36.0,100.0,4.921029492948394,65.82847222,16.1,34.8,36.0,27.6,38.4,95.8,6.452994898900442,90.83333333,17.5,75.6,24.0,21.7,24.0,98.8,1.3207122127588378,55.0
24.25,70.07569444,16.9,38.7,32.5,36.1,98.2,5.668127148624332,73.17569444,16.2,41.2,32.8,27.8,36.0,100.0,4.921029492948394,65.82847222,16.1,34.8,36.0,27.6,38.4,95.8,6.452994898900442,56.0
24.91875,68.03055556,16.9,36.7,32.8,35.9,92.7,6.238525430103357,70.07569444,16.9,38.7,32.5,28.9,36.1,98.2,5.668127148624332,73.17569444,16.2,41.2,32.8,27.8,36.0,100.0,4.921029492948394,57.0
24.08402778,75.1625,17.8,42.1,32.0,35.2,95.6,4.555752495428255,68.03055556,16.9,36.7,32.8,28.3,35.9,92.7,6.238525430103357,70.07569444,16.9,38.7,32.5,28.9,36.1,98.2,5.668127148624332,58.0
20.95347222,92.77291667,17.6,81.7,25.4,26.0,100.0,1.1199959738055256,75.1625,17.8,42.1,32.0,26.7,35.2,95.6,4.555752495428255,68.03055556,16.9,36.7,32.8,28.3,35.9,92.7,6.238525430103357,59.0
23.49652778,84.78333333,19.3,49.5,31.8,35.0,100.0,2.737560408486212,92.77291667,17.6,81.7,25.4,23.0,26.0,100.0,1.1199959738055256,75.1625,17.8,42.1,32.0,26.7,35.2,95.6,4.555752495428255,60.0
23.46666667,83.72986111,18.5,46.5,30.3,35.4,99.7,2.9898953266518618,84.78333333,19.3,49.5,31.8,26.1,35.0,100.0,2.737560408486212,92.77291667,17.6,81.7,25.4,23.0,26.0,100.0,1.1199959738055256,61.0
25.72986111,80.94166667,19.6,40.7,35.2,37.4,100.0,3.737868542867087,83.72986111,18.5,46.5,30.3,26.1,35.4,99.7,2.9898953266518618,84.78333333,19.3,49.5,31.8,26.1,35.0,100.0,2.737560408486212,62.0
23.64722222,82.11944444,19.3,61.8,30.0,29.9,97.3,3.1270448861103506,80.94166667,19.6,40.7,35.2,27.5,37.4,100.0,3.737868542867087,83.72986111,18.5,46.5,30.3,26.1,35.4,99.7,2.9898953266518618,63.0
26.02847222,79.78194444,22.2,57.5,32.9,34.0,92.5,3.942104946458587,82.11944444,19.3,61.8,30.0,24.4,29.9,97.3,3.1270448861103506,80.94166667,19.6,40.7,35.2,27.5,37.4,100.0,3.737868542867087,64.0
26.05833333,68.72083333,20.3,46.4,33.5,36.0,93.7,6.2643330487248825,79.78194444,22.2,57.5,32.9,26.1,34.0,92.5,3.942104946458587,82.11944444,19.3,61.8,30.0,24.4,29.9,97.3,3.1270448861103506,65.0
24.12083333,67.47986111,18.6,45.4,32.5,32.3,89.1,5.814665939086171,68.72083333,20.3,46.4,33.5,27.4,36.0,93.7,6.2643330487248825,79.78194444,22.2,57.5,32.9,26.1,34.0,92.5,3.942104946458587,66.0
23.65069444,75.81111111,16.4,50.0,31.9,31.6,92.8,4.326225031679317,67.47986111,18.6,45.4,32.5,25.3,32.3,89.1,5.814665939086171,68.72083333,20.3,46.4,33.5,27.4,36.0,93.7,6.2643330487248825,67.0
22.08888889,89.975,19.7,74.0,26.4,26.1,99.9,1.6411675384811004,75.81111111,16.4,50.0,31.9,25.6,31.6,92.8,4.326225031679317,67.47986111,18.6,45.4,32.5,25.3,32.3,89.1,5.814665939086171,68.0
21.85347222,79.23472222,17.4,52.7,32.4,31.1,98.4,3.3642897651511987,89.975,19.7,74.0,26.4,23.7,26.1,99.9,1.6411675384811004,75.81111111,16.4,50.0,31.9,25.6,31.6,92.8,4.326225031679317,69.0
23.75069444,76.76458333,16.0,45.9,34.0,35.9,99.5,4.170456115937864,79.23472222,17.4,52.7,32.4,24.3,31.1,98.4,3.3642897651511987,89.975,19.7,74.0,26.4,23.7,26.1,99.9,1.6411675384811004,70.0
21.54097222,87.53333333,18.2,62.5,31.1,29.2,98.1,1.9813761579720968,76.76458333,16.0,45.9,34.0,26.1,35.9,99.5,4.170456115937864,79.23472222,17.4,52.7,32.4,24.3,31.1,98.4,3.3642897651511987,71.0
23.48958333,84.47013889,18.5,53.8,33.2,34.0,98.8,2.7400966656164565,87.53333333,18.2,62.5,31.1,23.6,29.2,98.1,1.9813761579720968,76.76458333,16.0,45.9,34.0,26.1,35.9,99.5,4.170456115937864,72.0
21.59861111,97.23263889,19.6,92.8,24.2,23.8,100.0,0.4422583336060285,84.47013889,18.5,53.8,33.2,25.5,34.0,98.8,2.7400966656164565,87.53333333,18.2,62.5,31.1,23.6,29.2,98.1,1.9813761579720968,73.0
23.6625,86.81319444,18.9,68.0,29.3,28.8,100.0,2.3189976071029075,97.23263889,19.6,92.8,24.2,22.8,23.8,100.0,0.4422583336060285,84.47013889,18.5,53.8,33.2,25.5,34.0,98.8,2.7400966656164565,74.0
25.10763889,73.32986111,17.1,43.1,36.9,34.7,95.9,5.0275658965920265,86.81319444,18.9,68.0,29.3,24.2,28.8,100.0,2.3189976071029075,97.23263889,19.6,92.8,24.2,22.8,23.8,100.0,0.4422583336060285,75.0
