date,disease,T20_mean_x,T60_mean_x,H_mean_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,housa_y,H_mean_z,H_min_z,T20_max_z,T60_max_z,housa_z,days
2018-05-03,0,19.62222222,19.72013889,84.88541667,62.4,28.7,22.1,26.3,2.1868180345644634,67.94027778,36.9,33.6,25.5,34.7,5.5191690451499245,71.17777778,39.9,34.5,34.2,4.619990667627146,24.0
2018-05-04,0,21.40694444,21.24305556,77.76944444,57.7,28.3,23.2,27.7,3.4776257188721105,84.88541667,62.4,28.7,22.1,26.3,2.1868180345644634,67.94027778,36.9,33.6,34.7,5.5191690451499245,25.0
2018-05-05,0,19.69444444,19.475,63.94930556,32.1,30.2,24.0,32.1,5.1503492768642944,77.76944444,57.7,28.3,23.2,27.7,3.4776257188721105,84.88541667,62.4,28.7,26.3,2.1868180345644634,26.0
2018-05-06,0,20.12152778,19.77638889,65.46736111,32.4,30.5,23.1,31.0,5.010781039801309,63.94930556,32.1,30.2,24.0,32.1,5.1503492768642944,77.76944444,57.7,28.3,27.7,3.4776257188721105,27.0
2018-05-07,0,21.86458333,21.47152778,69.36805556,32.9,35.5,24.7,34.6,4.848015907767457,65.46736111,32.4,30.5,23.1,31.0,5.010781039801309,63.94930556,32.1,30.2,32.1,5.1503492768642944,28.0
2018-05-08,0,17.72986111,17.98194444,95.08958333,88.5,21.2,20.4,20.8,0.6491971532151726,69.36805556,32.9,35.5,24.7,34.6,4.848015907767457,65.46736111,32.4,30.5,31.0,5.010781039801309,29.0
2018-05-09,0,18.76736111,18.82638889,89.93541667,77.4,24.4,20.9,22.9,1.3903940707599405,95.08958333,88.5,21.2,20.4,20.8,0.6491971532151726,69.36805556,32.9,35.5,34.6,4.848015907767457,30.0
2018-05-10,0,19.59027778,19.18888889,78.45486111,45.6,32.4,22.1,28.7,3.032834632165849,89.93541667,77.4,24.4,20.9,22.9,1.3903940707599405,95.08958333,88.5,21.2,20.8,0.6491971532151726,31.0
2018-05-11,0,19.29305556,18.69027778,60.44583333,34.0,30.5,22.1,30.1,5.42582821353674,78.45486111,45.6,32.4,22.1,28.7,3.032834632165849,89.93541667,77.4,24.4,22.9,1.3903940707599405,32.0
2018-05-12,0,19.93333333,19.24513889,64.37986111,27.8,33.5,22.8,30.9,5.028737445570052,60.44583333,34.0,30.5,22.1,30.1,5.42582821353674,78.45486111,45.6,32.4,28.7,3.032834632165849,33.0
2018-05-13,0,21.35416667,20.63125,70.67847222,31.2,34.2,24.0,32.5,4.445673486283088,64.37986111,27.8,33.5,22.8,30.9,5.028737445570052,60.44583333,34.0,30.5,30.1,5.42582821353674,34.0
2018-05-14,0,18.49513889,18.74444444,90.56458333,81.6,20.6,20.2,20.5,1.2979450258535996,70.67847222,31.2,34.2,24.0,32.5,4.445673486283088,64.37986111,27.8,33.5,30.9,5.028737445570052,35.0
2018-05-15,0,24.61805556,23.77777778,70.28888889,39.5,34.3,24.7,35.3,5.28328863467931,90.56458333,81.6,20.6,20.2,20.5,1.2979450258535996,70.67847222,31.2,34.2,32.5,4.445673486283088,36.0
2018-05-16,0,23.72916667,23.31805556,73.35972222,44.8,35.2,25.6,34.1,4.629172880646731,70.28888889,39.5,34.3,24.7,35.3,5.28328863467931,90.56458333,81.6,20.6,20.5,1.2979450258535996,37.0
2018-05-17,0,23.49305556,22.72986111,81.45416667,58.6,31.7,24.1,28.6,3.1285487592693366,73.35972222,44.8,35.2,25.6,34.1,4.629172880646731,70.28888889,39.5,34.3,35.3,5.28328863467931,38.0
2018-05-29,0,24.5625,24.34875,78.025,52.3,34.4,25.9,33.6,4.020828503133583,81.45416667,58.6,31.7,24.1,28.6,3.1285487592693366,73.35972222,44.8,35.2,34.1,4.629172880646731,50.0
2018-05-30,0,23.13194444,22.89791667,81.64583333,63.1,30.0,23.7,28.1,3.122577524637151,78.025,52.3,34.4,25.9,33.6,4.020828503133583,81.45416667,58.6,31.7,28.6,3.1285487592693366,51.0
2018-05-31,0,21.63055556,21.74722222,88.16736111,71.8,27.1,23.7,27.5,1.8991639592997576,81.64583333,63.1,30.0,23.7,28.1,3.122577524637151,78.025,52.3,34.4,33.6,4.020828503133583,52.0
2018-06-01,0,19.4375,19.63888889,90.83333333,75.6,24.0,21.7,24.0,1.3207122127588378,88.16736111,71.8,27.1,23.7,27.5,1.8991639592997576,81.64583333,63.1,30.0,28.1,3.122577524637151,53.0
2018-06-02,0,24.1375,24.98263889,65.82847222,34.8,36.0,27.6,38.4,6.452994898900442,90.83333333,75.6,24.0,21.7,24.0,1.3207122127588378,88.16736111,71.8,27.1,27.5,1.8991639592997576,54.0
2018-06-03,0,23.70625,24.40138889,73.17569444,41.2,32.8,27.8,36.0,4.921029492948394,65.82847222,34.8,36.0,27.6,38.4,6.452994898900442,90.83333333,75.6,24.0,24.0,1.3207122127588378,55.0
2018-06-04,0,24.25,25.04375,70.07569444,38.7,32.5,28.9,36.1,5.668127148624332,73.17569444,41.2,32.8,27.8,36.0,4.921029492948394,65.82847222,34.8,36.0,38.4,6.452994898900442,56.0
2018-06-05,0,24.91875,25.64444444,68.03055556,36.7,32.8,28.3,35.9,6.238525430103357,70.07569444,38.7,32.5,28.9,36.1,5.668127148624332,73.17569444,41.2,32.8,36.0,4.921029492948394,57.0
2018-06-06,0,24.08402778,24.39791667,75.1625,42.1,32.0,26.7,35.2,4.555752495428255,68.03055556,36.7,32.8,28.3,35.9,6.238525430103357,70.07569444,38.7,32.5,36.1,5.668127148624332,58.0
2018-06-07,0,20.95347222,21.05902778,92.77291667,81.7,25.4,23.0,26.0,1.1199959738055256,75.1625,42.1,32.0,26.7,35.2,4.555752495428255,68.03055556,36.7,32.8,35.9,6.238525430103357,59.0
2018-06-08,0,23.49652778,24.01041667,84.78333333,49.5,31.8,26.1,35.0,2.737560408486212,92.77291667,81.7,25.4,23.0,26.0,1.1199959738055256,75.1625,42.1,32.0,35.2,4.555752495428255,60.0
2018-06-09,0,23.46666667,24.43541667,83.72986111,46.5,30.3,26.1,35.4,2.9898953266518618,84.78333333,49.5,31.8,26.1,35.0,2.737560408486212,92.77291667,81.7,25.4,26.0,1.1199959738055256,61.0
2018-06-10,0,25.72986111,25.74652778,80.94166667,40.7,35.2,27.5,37.4,3.737868542867087,83.72986111,46.5,30.3,26.1,35.4,2.9898953266518618,84.78333333,49.5,31.8,35.0,2.737560408486212,62.0
2018-06-11,0,23.64722222,23.44583333,82.11944444,61.8,30.0,24.4,29.9,3.1270448861103506,80.94166667,40.7,35.2,27.5,37.4,3.737868542867087,83.72986111,46.5,30.3,35.4,2.9898953266518618,63.0
2018-06-12,0,26.02847222,25.62777778,79.78194444,57.5,32.9,26.1,34.0,3.942104946458587,82.11944444,61.8,30.0,24.4,29.9,3.1270448861103506,80.94166667,40.7,35.2,37.4,3.737868542867087,64.0
2018-06-13,0,26.05833333,26.17013889,68.72083333,46.4,33.5,27.4,36.0,6.2643330487248825,79.78194444,57.5,32.9,26.1,34.0,3.942104946458587,82.11944444,61.8,30.0,29.9,3.1270448861103506,65.0
2018-06-14,0,24.12083333,23.8875,67.47986111,45.4,32.5,25.3,32.3,5.814665939086171,68.72083333,46.4,33.5,27.4,36.0,6.2643330487248825,79.78194444,57.5,32.9,34.0,3.942104946458587,66.0
2018-06-15,0,23.65069444,23.89305556,75.81111111,50.0,31.9,25.6,31.6,4.326225031679317,67.47986111,45.4,32.5,25.3,32.3,5.814665939086171,68.72083333,46.4,33.5,36.0,6.2643330487248825,67.0
2018-06-16,0,22.08888889,22.13680556,89.975,74.0,26.4,23.7,26.1,1.6411675384811004,75.81111111,50.0,31.9,25.6,31.6,4.326225031679317,67.47986111,45.4,32.5,32.3,5.814665939086171,68.0
2018-06-17,0,21.85347222,21.93194444,79.23472222,52.7,32.4,24.3,31.1,3.3642897651511987,89.975,74.0,26.4,23.7,26.1,1.6411675384811004,75.81111111,50.0,31.9,31.6,4.326225031679317,69.0
2018-06-18,0,23.75069444,23.96388889,76.76458333,45.9,34.0,26.1,35.9,4.170456115937864,79.23472222,52.7,32.4,24.3,31.1,3.3642897651511987,89.975,74.0,26.4,26.1,1.6411675384811004,70.0
2018-06-19,0,21.54097222,21.55416667,87.53333333,62.5,31.1,23.6,29.2,1.9813761579720968,76.76458333,45.9,34.0,26.1,35.9,4.170456115937864,79.23472222,52.7,32.4,31.1,3.3642897651511987,71.0
2018-06-20,0,23.48958333,23.62222222,84.47013889,53.8,33.2,25.5,34.0,2.7400966656164565,87.53333333,62.5,31.1,23.6,29.2,1.9813761579720968,76.76458333,45.9,34.0,35.9,4.170456115937864,72.0
2018-06-21,0,21.59861111,21.6625,97.23263889,92.8,24.2,22.8,23.8,0.4422583336060285,84.47013889,53.8,33.2,25.5,34.0,2.7400966656164565,87.53333333,62.5,31.1,29.2,1.9813761579720968,73.0
2018-06-22,0,23.6625,23.55625,86.81319444,68.0,29.3,24.2,28.8,2.3189976071029075,97.23263889,92.8,24.2,22.8,23.8,0.4422583336060285,84.47013889,53.8,33.2,34.0,2.7400966656164565,74.0
2018-06-23,0,25.10763889,24.94722222,73.32986111,43.1,36.9,26.1,34.7,5.0275658965920265,86.81319444,68.0,29.3,24.2,28.8,2.3189976071029075,97.23263889,92.8,24.2,23.8,0.4422583336060285,75.0
2018-06-24,0,20.53819444,20.61805556,93.41111111,73.0,25.8,23.3,25.5,0.99831961152879,73.32986111,43.1,36.9,26.1,34.7,5.0275658965920265,86.81319444,68.0,29.3,28.8,2.3189976071029075,76.0
2018-06-25,0,24.08958333,24.3875,83.01458333,49.9,35.3,25.9,34.6,3.11388607559248,93.41111111,73.0,25.8,23.3,25.5,0.99831961152879,73.32986111,43.1,36.9,34.7,5.0275658965920265,77.0
2018-06-26,0,27.42152778,27.36319444,74.28958333,47.0,37.8,27.8,36.8,5.459602805555671,83.01458333,49.9,35.3,25.9,34.6,3.11388607559248,93.41111111,73.0,25.8,25.5,0.99831961152879,78.0
2018-06-27,0,27.01041667,26.97083333,83.98611111,59.6,35.7,28.5,36.4,3.335860449305869,74.28958333,47.0,37.8,27.8,36.8,5.459602805555671,83.01458333,49.9,35.3,34.6,3.11388607559248,79.0
2018-06-28,0,27.39236111,27.40277778,86.09861111,61.8,35.1,28.2,35.2,2.9576742802314624,83.98611111,59.6,35.7,28.5,36.4,3.335860449305869,74.28958333,47.0,37.8,36.8,5.459602805555671,80.0
2018-06-29,0,28.07083333,28.01944444,85.98541667,58.4,38.0,29.4,37.6,3.072787898967312,86.09861111,61.8,35.1,28.2,35.2,2.9576742802314624,83.98611111,59.6,35.7,36.4,3.335860449305869,81.0
