date,disease,T20_mean_x,ST_mean_x,T60_mean_x,ST_min_x,ST_max_x,T60_max_x
2016-11-17,1,13.9302752293578,15.441284403669727,13.481651376146786,14.1,16.9,22.8
2016-11-18,1,12.928440366972476,14.364220183486239,12.644036697247705,13.1,15.8,20.6
2016-11-19,1,16.01009174311927,15.012844036697247,15.361467889908266,13.8,17.0,23.9
2016-11-20,1,15.886238532110086,15.82752293577981,15.56146788990826,15.1,16.7,20.2
2016-11-21,1,17.889908256880734,16.617431192660558,17.399082568807334,15.6,18.0,23.7
2016-11-22,1,16.472477064220186,16.690825688073396,16.189908256880727,16.1,17.4,20.2
2016-11-23,1,17.724770642201836,17.137614678899087,17.367889908256878,16.4,18.1,22.4
2016-11-24,1,14.12293577981651,15.885321100917439,13.866972477064214,15.6,16.2,17.6
2016-11-25,1,12.721100917431194,14.606422018348628,12.421100917431195,14.0,15.8,20.7
2016-11-26,1,11.782568807339446,13.541284403669724,11.405504587155972,12.3,15.0,20.5
2016-11-27,1,14.881651376146786,14.467889908256884,14.381651376146786,13.6,16.1,22.8
2016-11-28,1,16.441284403669727,15.709174311926615,15.949541284403667,15.2,16.5,22.4
2016-11-29,1,14.824770642201836,15.605504587155965,14.358715596330269,15.3,15.9,19.1
2016-11-30,1,14.773394495412846,15.001834862385328,14.04036697247706,14.6,15.8,18.7
2016-12-01,1,15.244954128440366,15.087155963302765,14.592660550458724,14.5,16.0,20.6
2016-12-02,1,15.896330275229356,15.437614678899074,15.474311926605505,14.9,16.1,22.0
2016-12-03,1,13.722018348623855,15.030275229357796,13.399082568807335,14.7,15.4,16.4
2016-12-04,1,15.819266055045881,15.115596330275235,15.037614678899086,14.4,16.5,22.5
2016-12-05,1,16.640366972477068,15.66330275229358,15.97339449541284,14.9,17.0,23.3
2016-12-06,1,15.547706422018347,15.82018348623853,15.204587155963294,15.3,16.4,19.1
2016-12-07,1,14.451376146788993,15.407339449541302,14.122018348623852,15.1,16.0,18.9
2016-12-08,1,13.914678899082567,14.611926605504566,13.280733944954125,14.2,15.1,16.7
2016-12-09,1,14.453211009174314,14.752293577981654,13.890825688073395,14.4,15.5,18.6
2016-12-10,1,16.050458715596328,14.754128440366975,15.395412844036706,13.6,15.6,22.0
2016-12-11,1,13.754128440366964,14.669724770642192,13.240366972477071,14.3,15.2,17.9
2016-12-12,1,13.868807339449544,14.191743119266038,12.901834862385314,13.8,14.8,16.8
2016-12-13,1,14.162385321100912,14.146788990825673,13.3651376146789,13.7,14.8,18.2
2016-12-14,1,13.874311926605507,14.464220183486226,13.452293577981653,14.3,14.8,15.6
2016-12-15,1,14.597247706422017,14.70091743119266,14.037614678899088,14.4,15.5,19.4
2016-12-16,1,12.536697247706414,13.697247706422026,11.611926605504589,13.4,14.1,14.2
2016-12-17,1,13.08165137614679,13.685321100917433,12.230275229357801,13.4,13.8,14.6
2016-12-18,1,13.5302752293578,12.980733944954142,12.733027522935787,11.4,13.4,17.1
2016-12-19,1,15.199082568807338,13.934862385321093,14.360550458715592,13.3,15.1,20.7
2016-12-20,1,15.81192660550458,14.622018348623856,15.107339449541286,14.0,15.9,21.8
2016-12-21,1,15.188990825688071,14.841284403669714,14.686238532110096,14.4,15.6,18.7
2016-12-22,1,16.40183486238532,15.206422018348633,15.747706422018357,14.5,16.4,22.4
2016-12-23,1,14.982568807339456,15.13944954128438,14.672477064220187,14.8,15.7,18.7
2016-12-24,1,14.734862385321104,15.538532110091724,14.450458715596328,15.2,15.8,17.7
2016-12-25,1,14.27155963302752,14.818348623853224,13.660550458715589,14.5,15.2,17.6
2016-12-26,1,15.126605504587154,14.670642201834855,14.336697247706418,14.3,15.4,20.0
2016-12-27,1,15.889908256880734,14.962385321100905,15.276146788990824,14.3,16.2,21.6
2016-12-28,1,15.622935779816508,15.26146788990825,15.271559633027522,14.7,16.3,21.7
2016-12-29,1,15.828440366972474,14.942201834862384,14.845871559633036,14.1,16.3,24.5
2016-12-30,1,16.865137614678904,15.217431192660555,16.176146788990813,14.4,16.9,26.8
2016-12-31,1,16.48990825688073,15.045871559633028,15.465137614678902,14.2,16.6,26.3
2017-01-01,1,16.923853211009177,14.825688073394494,15.94311926605505,14.1,16.7,26.8
2017-01-02,1,17.11467889908257,15.064220183486233,16.333944954128444,14.3,16.7,27.1
2017-01-03,1,17.446788990825688,15.499082568807351,16.69816513761467,14.7,17.1,27.7
2017-01-04,1,16.455045871559633,15.555963302752286,15.884403669724774,14.9,16.8,27.6
2017-01-05,1,16.62752293577982,15.537614678899072,15.891743119266053,14.9,16.9,25.2
2017-01-06,1,15.71467889908257,14.966972477064214,14.657798165137613,14.2,16.1,23.8
2017-01-07,1,14.964220183486235,14.472477064220175,14.190825688073392,13.7,15.7,20.5
2017-01-08,1,17.20917431192661,15.033944954128444,16.259633027522927,14.1,16.8,28.6
2017-01-09,0,13.297247706422025,14.834862385321085,12.909174311926606,14.6,15.2,14.2
2017-01-10,0,15.806422018348627,14.732110091743136,14.9302752293578,14.1,15.9,23.6
2017-01-15,0,14.644036697247708,16.172477064220182,13.966972477064214,15.9,16.9,21.0
2017-01-16,0,16.86146788990826,16.41192660550458,16.413761467889902,15.3,18.6,27.6
2017-01-17,0,17.21834862385321,16.580733944954133,16.92935779816514,15.6,18.2,28.9
2017-01-18,0,18.134862385321103,17.046788990825686,17.958715596330286,15.5,19.5,28.0
2017-01-19,0,18.827522935779818,17.557798165137616,18.58899082568808,15.9,20.3,30.2
2017-01-20,0,17.455045871559633,17.534862385321098,17.074311926605507,16.4,19.8,26.2
