,date,T20_x,ST_x,T60_x,H_x,T20_y,ST_y,T60_y,H_y,T20,ST,T60,H
0,2016-11-16,14.979861111111115,15.786111111111117,14.199305555555561,87.39583333333331,8.2,13.7,9.0,49.0,26.5,18.0,21.4,100.0
1,2016-11-17,14.131944444444445,15.162500000000005,13.740972222222226,89.71527777777777,8.4,13.0,8.5,55.0,24.7,17.7,22.0,100.0
2,2016-11-18,15.865277777777786,15.57777777777778,15.009722222222226,91.20833333333331,9.6,13.8,9.9,59.0,27.1,17.8,23.0,100.0
3,2016-11-19,16.07708333333333,16.181250000000006,15.834027777777774,99.47916666666669,13.9,15.4,13.9,92.0,22.8,17.5,20.6,100.0
4,2016-11-20,18.009027777777764,17.181944444444447,17.431944444444447,94.25,12.7,15.4,12.8,70.0,27.3,19.2,23.8,100.0
5,2016-11-21,16.588888888888878,16.935416666666665,16.378472222222225,96.80555555555556,13.1,15.9,13.4,77.0,21.8,17.9,20.2,100.0
6,2016-11-22,17.829166666666676,17.576388888888893,17.43055555555555,93.625,13.3,16.4,13.6,62.0,26.0,19.5,23.6,100.0
7,2016-11-23,15.315972222222221,16.425694444444446,15.129166666666675,93.03472222222223,12.5,15.4,12.7,58.0,21.9,17.7,19.9,100.0
8,2016-11-24,12.957638888888885,15.001388888888886,12.668055555555561,97.8125,7.6,12.9,7.5,73.0,24.6,17.4,21.9,100.0
9,2016-11-25,12.374999999999995,13.641666666666666,11.643055555555554,87.90277777777777,6.9,11.8,6.7,57.0,22.0,15.6,18.2,100.0
10,2016-11-26,14.895138888888885,14.677777777777779,14.348611111111113,83.2638888888889,10.2,13.1,10.6,48.0,23.7,16.4,20.7,100.0
11,2016-11-27,16.493055555555557,15.99166666666667,16.026388888888892,96.27083333333331,14.4,15.2,14.4,77.0,25.0,17.3,21.7,100.0
12,2016-11-28,16.077777777777776,16.218749999999993,15.825694444444453,89.0,13.4,15.4,13.7,62.0,24.0,17.6,21.7,100.0
13,2016-11-29,16.124305555555562,16.035416666666666,15.72916666666666,83.34722222222223,13.4,15.2,13.7,56.0,23.9,17.9,21.9,93.0
14,2016-11-30,15.340277777777768,15.719444444444466,14.862500000000008,89.3611111111111,13.3,15.2,13.4,61.0,21.2,16.6,19.2,100.0
15,2016-12-01,16.013194444444434,15.865972222222213,15.55625,94.29166666666669,13.4,15.2,13.4,69.0,23.3,16.8,20.2,100.0
16,2016-12-02,15.411111111111113,15.782638888888904,15.179166666666667,84.36805555555556,13.1,15.2,13.4,49.0,21.0,16.9,19.7,100.0
17,2016-12-03,15.80972222222223,15.69444444444444,15.174305555555547,80.84722222222223,12.9,15.0,13.1,50.0,24.1,17.3,20.9,93.0
18,2016-12-04,16.380555555555542,16.06527777777778,15.8451388888889,88.24305555555556,13.0,14.9,13.0,67.0,24.8,17.8,21.6,100.0
19,2016-12-05,16.389583333333327,16.37430555555555,16.03541666666667,90.98611111111113,13.6,15.5,13.8,57.0,22.9,17.8,21.0,100.0
20,2016-12-06,15.702777777777774,16.065277777777773,15.429861111111116,84.55555555555556,13.2,15.5,13.5,52.0,23.6,17.4,21.8,99.0
21,2016-12-07,15.499305555555553,15.782638888888865,15.193749999999998,78.44444444444444,13.0,15.1,13.2,48.0,22.6,17.0,20.8,90.0
22,2016-12-08,15.168749999999996,15.430555555555573,14.683333333333335,76.30555555555556,12.4,14.8,12.6,48.0,21.7,16.8,19.0,90.0
