T60_mean_x,H_mean_x,T20_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
17.35069444444444,88.85416666666669,13.0,12.9,46.0,27.4,20.5,28.9,99.0
16.290972222222226,93.1875,12.9,12.8,52.0,29.9,19.8,29.4,99.0
16.130555555555553,92.79861111111113,12.9,12.9,59.0,27.0,19.9,26.0,99.0
16.835416666666664,88.54861111111109,12.6,12.5,47.0,29.9,20.0,29.2,99.0
17.40555555555555,88.22222222222223,12.7,12.6,40.0,30.4,20.6,30.5,99.0
17.257638888888884,89.41666666666669,12.7,12.6,45.0,30.1,20.7,30.2,99.0
17.152083333333348,93.9375,12.7,12.9,54.0,28.4,20.1,29.0,99.0
18.088888888888885,88.8125,13.0,13.1,42.0,29.8,20.7,30.1,99.0
17.447222222222212,93.65277777777777,12.7,12.7,61.0,29.3,20.6,28.8,99.0
15.775000000000004,97.13194444444444,13.2,13.4,70.0,26.7,19.3,26.5,99.0
17.45277777777777,90.70833333333331,12.8,12.8,47.0,29.8,20.7,28.6,99.0
16.88263888888888,91.54861111111113,12.5,12.8,52.0,27.2,19.7,30.1,99.0
17.406249999999982,88.72222222222223,12.7,12.6,43.0,29.4,20.5,31.5,99.0
17.681944444444433,88.45833333333331,12.9,12.9,33.0,29.9,20.9,31.5,99.0
18.20347222222223,87.3125,12.8,12.7,36.0,30.3,20.5,31.2,99.0
13.88333333333333,99.0,13.0,13.0,99.0,16.1,18.2,14.8,99.0
16.736111111111118,92.56944444444444,13.1,13.1,50.0,29.5,19.1,28.9,99.0
16.948611111111113,90.53472222222223,12.8,12.8,43.0,29.2,19.3,30.2,99.0
17.496527777777775,90.09027777777777,12.7,12.8,45.0,29.2,19.8,30.6,99.0
15.096527777777775,98.96527777777777,12.8,13.1,98.0,20.2,18.1,20.0,99.0
17.12569444444445,87.42361111111109,12.8,13.1,40.0,29.7,20.7,29.9,99.0
16.602777777777774,90.85416666666669,12.6,13.1,43.0,29.4,20.1,28.4,99.0
17.611805555555552,86.27083333333331,12.6,13.0,46.0,29.7,21.2,29.7,99.0
17.99097222222222,85.15972222222223,12.7,13.2,37.0,29.9,21.5,31.2,99.0
