H_mean_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
87.80833333333334,19.0,71.1,31.8,24.5,29.1,94.8,1.981858933024884,77.32638888888884,17.0,51.4,35.2,26.1,34.7,96.1,4.162450775408582,81.80624999999998,17.6,59.1,31.6,24.8,29.8,97.2,3.018204562665509,71.0
90.65555555555555,15.2,70.9,34.4,25.5,32.6,100.0,1.6396279527477042,87.80833333333334,19.0,71.1,31.8,24.5,29.1,94.8,1.981858933024884,77.32638888888884,17.0,51.4,35.2,26.1,34.7,96.1,4.162450775408582,72.0
99.28472222222223,20.3,96.9,24.7,23.5,24.2,100.0,0.11668477735273006,90.65555555555555,15.2,70.9,34.4,25.5,32.6,100.0,1.6396279527477042,87.80833333333334,19.0,71.1,31.8,24.5,29.1,94.8,1.981858933024884,73.0
94.43819444444449,19.9,77.1,30.3,24.7,27.8,100.0,0.9668910599961152,99.28472222222223,20.3,96.9,24.7,23.5,24.2,100.0,0.11668477735273006,90.65555555555555,15.2,70.9,34.4,25.5,32.6,100.0,1.6396279527477042,74.0
82.9055555555556,17.3,54.3,34.5,26.4,33.6,100.0,3.1892387271362086,94.43819444444449,19.9,77.1,30.3,24.7,27.8,100.0,0.9668910599961152,99.28472222222223,20.3,96.9,24.7,23.5,24.2,100.0,0.11668477735273006,75.0
96.14027777777778,19.2,81.0,25.4,23.6,25.4,100.0,0.6006568920829016,82.9055555555556,17.3,54.3,34.5,26.4,33.6,100.0,3.1892387271362086,94.43819444444449,19.9,77.1,30.3,24.7,27.8,100.0,0.9668910599961152,76.0
86.21666666666663,18.8,58.9,34.5,26.4,34.8,100.0,2.5851297299732074,96.14027777777778,19.2,81.0,25.4,23.6,25.4,100.0,0.6006568920829016,82.9055555555556,17.3,54.3,34.5,26.4,33.6,100.0,3.1892387271362086,77.0
81.79930555555555,20.2,55.3,38.3,28.5,37.6,100.0,3.8335366466778367,86.21666666666663,18.8,58.9,34.5,26.4,34.8,100.0,2.5851297299732074,96.14027777777778,19.2,81.0,25.4,23.6,25.4,100.0,0.6006568920829016,78.0
87.88680555555555,22.6,64.2,38.4,28.8,37.6,100.0,2.5787908772551082,81.79930555555555,20.2,55.3,38.3,28.5,37.6,100.0,3.8335366466778367,86.21666666666663,18.8,58.9,34.5,26.4,34.8,100.0,2.5851297299732074,79.0
91.56527777777771,23.8,73.3,38.4,28.4,34.1,100.0,1.7730715850752747,87.88680555555555,22.6,64.2,38.4,28.8,37.6,100.0,2.5787908772551082,81.79930555555555,20.2,55.3,38.3,28.5,37.6,100.0,3.8335366466778367,80.0
