date,disease,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
2016-07-23,0,28.111009174311928,27.233944954128447,28.351376146788983,71.91743119266054,23.2,24.8,23.2,45.0,34.5,31.0,36.5,96.0
2016-07-24,0,26.703669724770645,26.104587155963305,27.386238532110106,68.77064220183486,22.6,24.0,22.6,48.0,33.1,28.8,34.7,90.0
2016-07-25,0,27.565137614678893,26.66330275229357,28.53211009174311,70.75229357798165,21.5,23.8,21.5,43.0,35.8,30.7,39.6,100.0
2016-07-26,0,28.6302752293578,27.022018348623856,29.424770642201825,70.41284403669725,21.5,24.0,21.6,41.0,36.0,30.8,39.6,100.0
2016-07-27,0,23.88348623853211,25.07798165137614,23.91651376146789,94.77981651376149,21.9,24.5,22.3,84.0,26.7,25.5,26.3,100.0
2016-07-28,0,26.830275229357795,25.542201834862386,27.003669724770628,85.39449541284405,21.8,23.7,22.2,53.0,36.1,28.8,37.1,100.0
2016-07-29,0,28.8045871559633,26.55688073394496,28.412844036697248,81.13761467889908,23.8,24.9,23.7,55.0,38.3,29.4,37.7,99.0
2016-07-30,0,28.94862385321101,27.109174311926605,28.01651376146789,80.89908256880734,22.0,24.5,22.3,51.0,38.3,33.2,36.8,100.0
2016-07-31,0,29.19174311926607,27.059633027522946,28.538532110091747,78.30275229357798,21.3,24.4,21.8,53.0,36.8,29.3,35.0,100.0
2016-08-01,0,29.71192660550457,27.26788990825688,29.27522935779816,77.31192660550458,21.9,24.7,22.4,53.0,35.9,29.4,35.4,100.0
2016-08-02,0,29.56513761467889,27.79449541284404,29.066972477064233,82.3302752293578,23.4,25.6,23.7,56.0,37.6,30.0,35.4,100.0
2016-08-03,0,29.77155963302753,27.755963302752296,28.722018348623862,84.94495412844037,23.6,25.8,24.0,65.0,37.0,29.4,34.0,100.0
2016-08-04,0,29.80183486238533,27.647706422018327,28.69266055045871,84.57798165137615,23.8,26.1,24.4,64.0,39.3,29.2,34.6,100.0
2016-08-05,0,30.362385321100913,28.054128440366977,29.66422018348625,79.8440366972477,23.6,25.6,24.0,59.0,38.9,30.5,35.3,100.0
2016-08-06,0,30.65871559633027,28.11559633027523,29.905504587155978,80.29357798165137,23.9,26.0,24.4,61.0,38.0,30.0,35.4,100.0
2016-08-07,0,30.573394495412845,28.24036697247708,29.84311926605504,80.74311926605505,24.2,26.3,24.5,62.0,39.2,29.9,35.9,100.0
2016-08-08,0,30.271559633027525,28.178899082568805,29.477981651376137,83.36697247706422,24.3,26.3,24.7,61.0,39.4,30.2,36.8,100.0
2016-08-09,0,31.61009174311927,28.279816513761467,30.40917431192661,76.8440366972477,23.6,26.1,24.2,55.0,38.5,32.4,35.5,100.0
2016-08-10,0,32.478899082568816,28.58715596330276,30.89816513761468,66.53211009174312,24.7,25.3,24.5,52.0,39.2,32.4,35.7,82.0
2016-08-11,0,30.101834862385324,26.785321100917443,28.84770642201834,67.36697247706422,23.5,25.3,23.5,45.0,37.5,28.6,34.2,89.0
2016-08-12,0,28.888990825688065,26.49266055045873,27.963302752293572,78.57798165137615,21.1,24.2,21.7,58.0,35.6,28.4,34.0,97.0
2016-08-13,0,28.99908256880734,27.183486238532108,28.508256880733942,80.35779816513761,23.4,25.6,23.9,50.0,35.6,29.9,36.2,100.0
2016-08-14,0,29.41009174311925,27.258715596330266,28.5211009174312,80.35779816513761,24.3,25.5,24.2,62.0,37.1,29.7,35.3,93.0
2016-08-15,0,27.266055045871557,26.638532110091734,26.908256880733948,85.56880733944953,23.8,25.9,24.4,73.0,32.1,27.3,30.4,98.0
2016-08-16,0,29.688990825688066,27.309174311926604,28.65779816513761,83.06422018348623,23.4,25.2,23.8,62.0,37.4,30.0,36.9,98.0
