H_mean_x,T20_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,housa_x,H_mean_y,T20_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z,housa_z,days
64.46319444,10.9,36.3,29.6,22.9,25.9,90.0,4.651627753476673,80.32291667,13.8,59.2,26.6,21.9,25.1,100.0,2.940999864324345,88.81527778,15.0,69.9,27.1,21.2,26.2,99.8,1.5864121234845825,26.0
67.02152778,9.1,37.0,30.1,22.3,28.1,91.8,4.5044315324727116,64.46319444,10.9,36.3,29.6,22.9,25.9,90.0,4.651627753476673,80.32291667,13.8,59.2,26.6,21.9,25.1,100.0,2.940999864324345,27.0
71.50416667,11.6,35.6,33.8,24.0,31.0,91.5,4.262571258752908,67.02152778,9.1,37.0,30.1,22.3,28.1,91.8,4.5044315324727116,64.46319444,10.9,36.3,29.6,22.9,25.9,90.0,4.651627753476673,28.0
97.57361111,15.4,89.7,20.7,19.4,20.3,100.0,0.3162470512157319,71.50416667,11.6,35.6,33.8,24.0,31.0,91.5,4.262571258752908,67.02152778,9.1,37.0,30.1,22.3,28.1,91.8,4.5044315324727116,29.0
94.175,15.3,83.1,23.2,20.2,22.4,100.0,0.792924692082775,97.57361111,15.4,89.7,20.7,19.4,20.3,100.0,0.3162470512157319,71.50416667,11.6,35.6,33.8,24.0,31.0,91.5,4.262571258752908,30.0
80.79722222,13.5,45.6,31.3,22.1,28.4,99.2,2.6466992350336738,94.175,15.3,83.1,23.2,20.2,22.4,100.0,0.792924692082775,97.57361111,15.4,89.7,20.7,19.4,20.3,100.0,0.3162470512157319,31.0
62.18888889,10.6,35.6,29.0,22.3,26.8,85.6,4.877567448573871,80.79722222,13.5,45.6,31.3,22.1,28.4,99.2,2.6466992350336738,94.175,15.3,83.1,23.2,20.2,22.4,100.0,0.792924692082775,32.0
66.69236111,8.6,27.6,32.2,22.8,28.8,92.1,4.4951705771178165,62.18888889,10.6,35.6,29.0,22.3,26.8,85.6,4.877567448573871,80.79722222,13.5,45.6,31.3,22.1,28.4,99.2,2.6466992350336738,33.0
73.73402778,10.7,38.0,33.8,23.4,30.9,94.1,3.825062550334216,66.69236111,8.6,27.6,32.2,22.8,28.8,92.1,4.4951705771178165,62.18888889,10.6,35.6,29.0,22.3,26.8,85.6,4.877567448573871,34.0
94.29027778,16.2,87.2,20.5,19.4,20.2,99.9,0.7736202263473501,73.73402778,10.7,38.0,33.8,23.4,30.9,94.1,3.825062550334216,66.69236111,8.6,27.6,32.2,22.8,28.8,92.1,4.4951705771178165,35.0
74.05416667,17.0,42.7,33.1,25.2,29.9,100.0,4.314510331309641,94.29027778,16.2,87.2,20.5,19.4,20.2,99.9,0.7736202263473501,73.73402778,10.7,38.0,33.8,23.4,30.9,94.1,3.825062550334216,36.0
75.31805556,14.6,49.5,33.8,26.0,32.6,93.4,4.139353846518923,74.05416667,17.0,42.7,33.1,25.2,29.9,100.0,4.314510331309641,94.29027778,16.2,87.2,20.5,19.4,20.2,99.9,0.7736202263473501,37.0
80.32430556,16.1,58.7,31.3,23.8,28.6,92.9,3.3178685771842784,75.31805556,14.6,49.5,33.8,26.0,32.6,93.4,4.139353846518923,74.05416667,17.0,42.7,33.1,25.2,29.9,100.0,4.314510331309641,38.0
80.41625,18.7,56.7,35.1,25.5,32.7,93.3,3.4856460037555377,80.32430556,16.1,58.7,31.3,23.8,28.6,92.9,3.3178685771842784,75.31805556,14.6,49.5,33.8,26.0,32.6,93.4,4.139353846518923,50.0
85.99236111,19.1,63.3,31.0,24.5,29.3,100.0,2.434645401660015,80.41625,18.7,56.7,35.1,25.5,32.7,93.3,3.4856460037555377,80.32430556,16.1,58.7,31.3,23.8,28.6,92.9,3.3178685771842784,51.0
88.84652778,19.0,71.0,28.5,24.0,29.1,99.8,1.8124528872141696,85.99236111,19.1,63.3,31.0,24.5,29.3,100.0,2.434645401660015,80.41625,18.7,56.7,35.1,25.5,32.7,93.3,3.4856460037555377,52.0
91.42708333,17.8,76.4,24.9,22.0,24.8,99.2,1.2451563273781063,88.84652778,19.0,71.0,28.5,24.0,29.1,99.8,1.8124528872141696,85.99236111,19.1,63.3,31.0,24.5,29.3,100.0,2.434645401660015,53.0
64.98055556,15.9,30.1,36.4,26.9,40.5,96.3,6.875833875480031,91.42708333,17.8,76.4,24.9,22.0,24.8,99.2,1.2451563273781063,88.84652778,19.0,71.0,28.5,24.0,29.1,99.8,1.8124528872141696,54.0
72.4875,16.5,34.6,33.7,26.9,39.3,100.0,5.170447024303508,64.98055556,15.9,30.1,36.4,26.9,40.5,96.3,6.875833875480031,91.42708333,17.8,76.4,24.9,22.0,24.8,99.2,1.2451563273781063,55.0
70.14375,17.1,32.5,33.9,27.9,39.0,97.5,5.802182489321575,72.4875,16.5,34.6,33.7,26.9,39.3,100.0,5.170447024303508,64.98055556,15.9,30.1,36.4,26.9,40.5,96.3,6.875833875480031,56.0
68.44166667,17.3,33.7,34.9,27.6,39.3,93.3,6.297779365564254,70.14375,17.1,32.5,33.9,27.9,39.0,97.5,5.802182489321575,72.4875,16.5,34.6,33.7,26.9,39.3,100.0,5.170447024303508,57.0
