date,disease,T20_mean_x,H_min_x,H_mean_y,H_max_y,H_max_z,H_mean_a,H_max_a,T20_mean_b,ST_min_b,H_max_b
2016-07-27,0,23.88348623853211,84.0,75.33333333333333,100.0,100.0,71.6111111111111,90.0,27.09652777777778,24.7,96.0
2016-07-28,0,26.830275229357795,53.0,96.04861111111113,100.0,100.0,73.0763888888889,100.0,25.844444444444452,24.0,90.0
2016-07-29,0,28.8045871559633,55.0,86.76388888888891,100.0,100.0,75.33333333333333,100.0,26.68611111111111,23.8,100.0
2016-07-30,0,28.94862385321101,51.0,83.7361111111111,100.0,100.0,96.04861111111113,100.0,27.43055555555555,24.0,100.0
2016-07-31,0,29.19174311926607,53.0,83.6111111111111,100.0,100.0,86.76388888888891,100.0,23.3902777777778,24.0,100.0
2016-08-01,0,29.71192660550457,53.0,79.68055555555556,100.0,100.0,83.7361111111111,100.0,26.343055555555548,23.7,100.0
2016-08-02,0,29.56513761467889,56.0,79.60416666666667,100.0,100.0,83.6111111111111,100.0,27.82569444444445,24.9,100.0
2016-08-03,0,29.77155963302753,65.0,86.53472222222223,100.0,100.0,79.68055555555556,100.0,28.03125000000001,24.5,100.0
2016-08-04,0,29.80183486238533,64.0,87.17361111111109,100.0,100.0,79.60416666666667,100.0,28.26319444444445,24.4,100.0
2016-08-05,0,30.362385321100913,59.0,86.5,100.0,100.0,86.53472222222223,100.0,28.868749999999995,24.7,100.0
2016-08-06,0,30.65871559633027,61.0,82.36805555555556,100.0,100.0,87.17361111111109,100.0,28.58958333333333,25.6,100.0
2016-08-07,0,30.573394495412845,62.0,82.79166666666667,100.0,100.0,86.5,100.0,28.879861111111122,25.8,100.0
2016-08-08,0,30.271559633027525,61.0,82.25,100.0,100.0,82.36805555555556,100.0,28.928472222222233,26.1,100.0
2016-08-09,0,31.61009174311927,55.0,85.0625,100.0,100.0,82.79166666666667,100.0,29.415277777777767,25.6,100.0
2016-08-10,0,32.478899082568816,52.0,74.5138888888889,100.0,100.0,82.25,100.0,29.686111111111106,26.0,100.0
2016-08-11,0,30.101834862385324,45.0,67.53472222222223,83.0,100.0,85.0625,100.0,29.740277777777766,26.3,100.0
2016-08-12,0,28.888990825688065,58.0,71.9236111111111,94.0,83.0,74.5138888888889,100.0,29.25138888888889,26.3,100.0
2016-08-13,0,28.99908256880734,50.0,81.25,97.0,94.0,67.53472222222223,83.0,31.04444444444445,26.1,100.0
2016-08-14,0,29.41009174311925,62.0,80.34027777777777,100.0,97.0,71.9236111111111,94.0,31.352777777777767,25.3,83.0
2016-08-15,0,27.266055045871557,73.0,81.52083333333333,93.0,100.0,81.25,97.0,28.89236111111111,25.3,94.0
2016-08-16,0,29.688990825688066,62.0,85.8125,98.0,93.0,80.34027777777777,100.0,28.286111111111122,24.2,97.0
2016-08-17,0,29.983486238532105,61.0,84.85416666666667,98.0,98.0,81.52083333333333,93.0,28.315972222222207,25.6,100.0
2016-08-18,0,30.764220183486252,58.0,84.1875,100.0,98.0,85.8125,98.0,28.718749999999986,25.5,93.0
2016-08-19,0,31.250458715596327,65.0,81.8263888888889,98.0,100.0,84.85416666666667,98.0,26.78263888888891,25.7,98.0
2016-08-20,0,30.75229357798165,66.0,86.16666666666669,99.0,98.0,84.1875,100.0,28.92361111111111,25.2,98.0
2016-08-21,0,30.506422018348626,59.0,85.5,99.0,99.0,81.8263888888889,98.0,28.983333333333324,26.1,100.0
2016-08-22,0,30.816513761467885,34.0,81.5763888888889,100.0,99.0,86.16666666666669,99.0,30.082638888888912,26.5,98.0
2016-08-23,0,29.950458715596326,66.0,76.1388888888889,95.0,100.0,85.5,99.0,30.38055555555555,27.2,99.0
2016-08-24,0,31.02018348623852,50.0,84.65972222222223,98.0,95.0,81.5763888888889,100.0,29.85625,26.8,99.0
2016-08-25,0,29.44128440366973,68.0,81.33333333333333,99.0,98.0,76.1388888888889,95.0,29.88055555555555,26.4,100.0
2016-08-26,0,30.207339449541273,58.0,83.7986111111111,97.0,99.0,84.65972222222223,98.0,30.09791666666667,25.8,95.0
