date,disease,H_mean_x,H_min_x,T20_max_x,T60_max_x,housa_x,H_mean_y,H_min_y,T20_max_y,T60_max_y,H_max_y,housa_y,H_mean_z,T20_min_z,T60_min_z,H_min_z,T20_max_z,T60_max_z,H_max_z,housa_z,days
2018-05-04,0,80.32291667,59.2,26.6,25.1,2.940999864324345,88.81527778,69.9,27.1,26.2,99.8,1.5864121234845825,73.53888889,14.0,14.2,41.0,33.5,30.6,93.2,4.231948223287088,25.0
2018-05-05,0,64.46319444,36.3,29.6,25.9,4.651627753476673,80.32291667,59.2,26.6,25.1,100.0,2.940999864324345,88.81527778,15.0,15.2,69.9,27.1,26.2,99.8,1.5864121234845825,26.0
2018-05-06,0,67.02152778,37.0,30.1,28.1,4.5044315324727116,64.46319444,36.3,29.6,25.9,90.0,4.651627753476673,80.32291667,13.8,14.0,59.2,26.6,25.1,100.0,2.940999864324345,27.0
2018-05-07,0,71.50416667,35.6,33.8,31.0,4.262571258752908,67.02152778,37.0,30.1,28.1,91.8,4.5044315324727116,64.46319444,10.9,11.3,36.3,29.6,25.9,90.0,4.651627753476673,28.0
2018-05-08,0,97.57361111,89.7,20.7,20.3,0.3162470512157319,71.50416667,35.6,33.8,31.0,91.5,4.262571258752908,67.02152778,9.1,9.5,37.0,30.1,28.1,91.8,4.5044315324727116,29.0
2018-05-09,0,94.175,83.1,23.2,22.4,0.792924692082775,97.57361111,89.7,20.7,20.3,100.0,0.3162470512157319,71.50416667,11.6,11.8,35.6,33.8,31.0,91.5,4.262571258752908,30.0
2018-05-10,0,80.79722222,45.6,31.3,28.4,2.6466992350336738,94.175,83.1,23.2,22.4,100.0,0.792924692082775,97.57361111,15.4,15.5,89.7,20.7,20.3,100.0,0.3162470512157319,31.0
2018-05-11,0,62.18888889,35.6,29.0,26.8,4.877567448573871,80.79722222,45.6,31.3,28.4,99.2,2.6466992350336738,94.175,15.3,15.3,83.1,23.2,22.4,100.0,0.792924692082775,32.0
2018-05-12,0,66.69236111,27.6,32.2,28.8,4.4951705771178165,62.18888889,35.6,29.0,26.8,85.6,4.877567448573871,80.79722222,13.5,13.5,45.6,31.3,28.4,99.2,2.6466992350336738,33.0
2018-05-13,0,73.73402778,38.0,33.8,30.9,3.825062550334216,66.69236111,27.6,32.2,28.8,92.1,4.4951705771178165,62.18888889,10.6,10.8,35.6,29.0,26.8,85.6,4.877567448573871,34.0
2018-05-14,0,94.29027778,87.2,20.5,20.2,0.7736202263473501,73.73402778,38.0,33.8,30.9,94.1,3.825062550334216,66.69236111,8.6,8.9,27.6,32.2,28.8,92.1,4.4951705771178165,35.0
2018-05-15,0,74.05416667,42.7,33.1,29.9,4.314510331309641,94.29027778,87.2,20.5,20.2,99.9,0.7736202263473501,73.73402778,10.7,11.2,38.0,33.8,30.9,94.1,3.825062550334216,36.0
2018-05-16,0,75.31805556,49.5,33.8,32.6,4.139353846518923,74.05416667,42.7,33.1,29.9,100.0,4.314510331309641,94.29027778,16.2,16.3,87.2,20.5,20.2,99.9,0.7736202263473501,37.0
2018-05-17,0,80.32430556,58.7,31.3,28.6,3.3178685771842784,75.31805556,49.5,33.8,32.6,93.4,4.139353846518923,74.05416667,17.0,17.1,42.7,33.1,29.9,100.0,4.314510331309641,38.0
2018-05-29,0,80.41625,56.7,35.1,32.7,3.4856460037555377,80.32430556,58.7,31.3,28.6,92.9,3.3178685771842784,75.31805556,14.6,14.9,49.5,33.8,32.6,93.4,4.139353846518923,50.0
2018-05-30,0,85.99236111,63.3,31.0,29.3,2.434645401660015,80.41625,56.7,35.1,32.7,93.3,3.4856460037555377,80.32430556,16.1,16.7,58.7,31.3,28.6,92.9,3.3178685771842784,51.0
2018-05-31,0,88.84652778,71.0,28.5,29.1,1.8124528872141696,85.99236111,63.3,31.0,29.3,100.0,2.434645401660015,80.41625,18.7,19.1,56.7,35.1,32.7,93.3,3.4856460037555377,52.0
2018-06-01,0,91.42708333,76.4,24.9,24.8,1.2451563273781063,88.84652778,71.0,28.5,29.1,99.8,1.8124528872141696,85.99236111,19.1,18.8,63.3,31.0,29.3,100.0,2.434645401660015,53.0
2018-06-02,0,64.98055556,30.1,36.4,40.5,6.875833875480031,91.42708333,76.4,24.9,24.8,99.2,1.2451563273781063,88.84652778,19.0,18.9,71.0,28.5,29.1,99.8,1.8124528872141696,54.0
2018-06-03,0,72.4875,34.6,33.7,39.3,5.170447024303508,64.98055556,30.1,36.4,40.5,96.3,6.875833875480031,91.42708333,17.8,17.7,76.4,24.9,24.8,99.2,1.2451563273781063,55.0
2018-06-04,0,70.14375,32.5,33.9,39.0,5.802182489321575,72.4875,34.6,33.7,39.3,100.0,5.170447024303508,64.98055556,15.9,15.9,30.1,36.4,40.5,96.3,6.875833875480031,56.0
2018-06-05,0,68.44166667,33.7,34.9,39.3,6.297779365564254,70.14375,32.5,33.9,39.0,97.5,5.802182489321575,72.4875,16.5,16.5,34.6,33.7,39.3,100.0,5.170447024303508,57.0
2018-06-06,0,75.97916667,39.7,33.4,35.9,4.444112022231996,68.44166667,33.7,34.9,39.3,93.3,6.297779365564254,70.14375,17.1,17.0,32.5,33.9,39.0,97.5,5.802182489321575,58.0
2018-06-07,0,93.57777778,83.6,26.7,26.4,1.0067941780826941,75.97916667,39.7,33.4,35.9,96.0,4.444112022231996,68.44166667,17.3,17.3,33.7,34.9,39.3,93.3,6.297779365564254,59.0
2018-06-08,0,85.01875,46.0,33.1,37.8,2.7362063623249657,93.57777778,83.6,26.7,26.4,100.0,1.0067941780826941,75.97916667,18.0,18.0,39.7,33.4,35.9,96.0,4.444112022231996,60.0
2018-06-09,0,83.61527778,42.1,34.2,40.5,3.0751561812706494,85.01875,46.0,33.1,37.8,100.0,2.7362063623249657,93.57777778,17.9,18.0,83.6,26.7,26.4,100.0,1.0067941780826941,61.0
2018-06-10,0,79.64166667,38.6,36.6,40.7,4.101542461759498,83.61527778,42.1,34.2,40.5,100.0,3.0751561812706494,85.01875,19.6,19.6,46.0,33.1,37.8,100.0,2.7362063623249657,62.0
2018-06-11,0,84.43472222,64.3,31.0,29.4,2.718815648175501,79.64166667,38.6,36.6,40.7,100.0,4.101542461759498,83.61527778,18.6,18.6,42.1,34.2,40.5,100.0,3.0751561812706494,63.0
2018-06-12,0,82.44861111,59.0,36.1,34.7,3.4320478187882997,84.43472222,64.3,31.0,29.4,96.3,2.718815648175501,79.64166667,19.7,19.8,38.6,36.6,40.7,100.0,4.101542461759498,64.0
2018-06-13,0,71.05625,48.0,36.6,36.9,6.0151394173905715,82.44861111,59.0,36.1,34.7,94.9,3.4320478187882997,84.43472222,19.4,19.4,64.3,31.0,29.4,96.3,2.718815648175501,65.0
2018-06-14,0,69.60069444,47.7,35.5,33.6,5.485551172791852,71.05625,48.0,36.6,36.9,95.1,6.0151394173905715,82.44861111,22.1,21.6,59.0,36.1,34.7,94.9,3.4320478187882997,66.0
2018-06-15,0,76.89583333,47.0,33.5,33.5,4.235471602703991,69.60069444,47.7,35.5,33.6,89.1,5.485551172791852,71.05625,20.1,20.1,48.0,36.6,36.9,95.1,6.0151394173905715,67.0
2018-06-16,0,90.24652778,74.3,28.1,26.5,1.6244617663962382,76.89583333,47.0,33.5,33.5,93.1,4.235471602703991,69.60069444,18.2,18.2,47.7,35.5,33.6,89.1,5.485551172791852,68.0
2018-06-17,0,80.75277778,54.7,32.5,30.6,3.182660890016082,90.24652778,74.3,28.1,26.5,98.2,1.6244617663962382,76.89583333,16.7,17.0,47.0,33.5,33.5,93.1,4.235471602703991,69.0
2018-06-18,0,77.06180556,48.8,34.6,35.1,4.179902156720543,80.75277778,54.7,32.5,30.6,95.9,3.182660890016082,90.24652778,19.8,19.9,74.3,28.1,26.5,98.2,1.6244617663962382,70.0
2018-06-19,0,87.97361111,68.0,31.9,29.1,1.9294438420531632,77.06180556,48.8,34.6,35.1,98.1,4.179902156720543,80.75277778,17.1,17.3,54.7,32.5,30.6,95.9,3.182660890016082,71.0
2018-06-20,0,84.15347222,54.1,34.9,35.1,2.836249312768892,87.97361111,68.0,31.9,29.1,95.5,1.9294438420531632,77.06180556,16.1,16.6,48.8,34.6,35.1,98.1,4.179902156720543,72.0
2018-06-21,0,97.41319444,92.2,24.6,24.0,0.4168613429713779,84.15347222,54.1,34.9,35.1,97.6,2.836249312768892,87.97361111,18.3,18.6,68.0,31.9,29.1,95.5,1.9294438420531632,73.0
2018-06-22,0,87.02638889,66.7,30.6,30.0,2.2925017763553663,97.41319444,92.2,24.6,24.0,100.0,0.4168613429713779,84.15347222,18.7,19.0,54.1,34.9,35.1,97.6,2.836249312768892,74.0
2018-06-23,0,73.47152778,44.7,37.2,34.8,5.052528329680727,87.02638889,66.7,30.6,30.0,100.0,2.2925017763553663,97.41319444,19.7,19.9,92.2,24.6,24.0,100.0,0.4168613429713779,75.0
2018-06-24,0,92.81666667,73.7,25.9,25.7,1.103579087981253,73.47152778,44.7,37.2,34.8,94.4,5.052528329680727,87.02638889,18.9,19.0,66.7,30.6,30.0,100.0,2.2925017763553663,76.0
2018-06-25,0,82.00972222,45.5,34.7,36.4,3.3868866724618085,92.81666667,73.7,25.9,25.7,100.0,1.103579087981253,73.47152778,16.9,17.0,44.7,37.2,34.8,94.4,5.052528329680727,77.0
