date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
2018-08-12,31.684403669724766,30.607339449541286,31.760550458715596,76.9284403669725,26.5,28.3,26.4,49.9,39.9,34.2,39.4,97.2
2018-08-13,30.548623853211012,29.84220183486238,30.482568807339437,83.2183486238532,26.4,28.4,26.3,62.4,37.6,31.8,37.0,97.2
2018-08-14,31.723853211009157,30.540366972477067,31.573394495412845,79.64311926605505,26.0,28.0,25.9,57.1,40.9,34.1,39.0,99.1
2018-08-15,31.412844036697255,30.71192660550459,31.41284403669725,79.74954128440368,27.1,28.8,27.0,58.6,38.7,33.4,39.0,97.0
2018-08-16,27.920183486238518,28.96697247706422,27.941284403669727,88.30550458715595,25.3,27.9,25.4,61.5,37.6,31.0,37.8,98.0
2018-08-17,28.88348623853212,28.707339449541298,28.937614678899084,85.21284403669723,25.5,27.4,25.5,63.4,35.7,30.6,36.1,100.0
2018-08-18,30.154128440366964,28.17064220183486,30.223853211009178,58.176146788990856,22.2,25.6,22.1,26.7,40.0,31.3,41.9,83.1
2018-08-19,27.57064220183487,26.79633027522935,27.696330275229357,61.4587155963303,19.7,24.1,19.7,40.5,37.0,29.4,40.6,81.3
2018-08-20,27.489908256880746,26.35963302752294,27.41559633027523,67.28532110091744,19.4,23.9,19.5,33.9,38.3,29.6,39.8,91.8
2018-08-21,27.042201834862375,26.210091743119253,26.93577981651376,76.85779816513764,20.7,24.3,20.9,54.6,37.5,28.7,37.6,100.0
2018-08-22,31.883486238532125,28.934862385321082,31.641284403669733,81.01192660550463,25.4,26.8,25.5,52.0,41.0,31.7,43.5,100.0
2018-08-23,33.55321100917431,29.84770642201834,32.766055045871575,77.53761467889908,26.2,27.9,26.1,46.0,43.8,32.3,43.3,99.7
