date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x
2020-01-31,22.2625,21.075,22.512500000000003,22.2625,17.4,20.4,17.5,17.4,27.4,21.5,28.0,27.4
2020-02-01,18.545454545454547,18.178181818181816,18.932727272727277,18.545454545454547,13.0,16.3,13.2,13.0,30.7,21.0,28.7,30.7
2020-02-02,18.585454545454546,17.4,19.020000000000003,18.585454545454546,12.8,13.5,13.0,12.8,29.7,20.5,28.2,29.7
2020-02-03,19.39818181818182,17.843636363636357,19.634545454545457,19.39818181818182,12.5,15.7,13.0,12.5,31.6,21.3,31.2,31.6
2020-02-04,17.939999999999998,17.54181818181818,18.04,17.939999999999998,12.7,15.8,13.0,12.7,26.1,20.5,26.0,26.1
2020-02-05,18.979999999999993,17.327272727272724,19.596363636363634,18.979999999999993,12.8,11.7,13.0,12.8,31.7,20.8,30.4,31.7
2020-02-06,18.070909090909087,17.47272727272727,18.57818181818182,18.070909090909087,12.1,15.5,12.9,12.1,27.3,20.4,27.2,27.3
2020-02-07,17.741818181818186,17.081818181818186,18.183636363636364,17.741818181818186,12.5,13.3,12.8,12.5,28.2,20.0,27.5,28.2
2020-02-08,18.672727272727272,17.367272727272727,18.65454545454545,18.672727272727272,12.3,15.5,12.7,12.3,28.6,20.5,27.7,28.6
2020-02-09,18.934545454545457,17.05090909090909,19.218181818181822,18.934545454545457,13.0,12.4,13.1,13.0,30.3,20.1,29.5,30.3
2020-02-10,18.252727272727274,17.52181818181818,18.665454545454548,18.252727272727274,12.7,15.8,12.9,12.7,28.7,20.4,29.7,28.7
2020-02-11,18.676363636363632,16.82727272727273,19.07818181818182,18.676363636363632,12.3,10.6,12.6,12.3,31.6,19.9,30.4,31.6
2020-02-12,19.176363636363632,17.65090909090909,19.461818181818185,19.176363636363632,12.6,15.8,12.9,12.6,33.7,20.5,32.3,33.7
2020-02-13,19.59272727272727,17.925454545454546,19.759999999999994,19.59272727272727,12.6,15.9,13.0,12.6,31.7,21.0,31.0,31.7
2020-02-14,20.458181818181824,18.936363636363634,20.347272727272724,20.458181818181824,14.8,17.4,14.7,14.8,30.0,21.9,29.9,30.0
2020-02-15,17.343636363636367,18.247272727272726,17.310909090909092,17.343636363636367,13.3,17.0,13.3,13.3,27.0,19.8,26.7,27.0
2020-02-16,18.747272727272726,17.905454545454546,18.352727272727275,18.747272727272726,13.3,16.4,13.3,13.3,26.6,20.4,26.2,26.6
2020-02-17,17.060000000000002,17.05090909090909,15.074545454545452,17.060000000000002,16.4,16.6,13.3,16.4,18.7,17.6,19.1,18.7
2020-02-18,20.60909090909091,17.929090909090903,19.67272727272727,20.60909090909091,14.2,16.4,13.3,14.2,35.0,20.5,30.2,35.0
2020-02-19,18.676363636363632,17.72909090909091,18.454545454545453,18.676363636363632,12.8,16.2,13.1,12.8,30.7,19.8,27.4,30.7
2020-02-20,19.63818181818182,17.212727272727275,19.276363636363634,19.63818181818182,12.1,15.5,12.3,12.1,31.4,19.9,29.2,31.4
2020-02-21,19.736363636363638,17.918181818181814,19.629090909090912,19.736363636363638,12.7,16.0,13.0,12.7,27.6,20.5,26.9,27.6
2020-02-22,20.770909090909083,18.234545454545454,20.372727272727264,20.770909090909083,12.8,16.3,12.9,12.8,33.5,21.0,30.9,33.5
2020-02-23,16.605454545454545,17.292727272727273,16.49272727272727,16.605454545454545,13.2,15.5,13.3,13.2,22.2,17.8,21.7,22.2
2020-02-24,19.46909090909091,17.705454545454547,18.838181818181813,19.46909090909091,13.2,16.2,13.2,13.2,31.6,19.9,27.8,31.6
2020-02-25,21.112727272727277,17.972727272727273,20.363636363636367,21.112727272727277,12.8,16.2,12.9,12.8,33.5,20.7,30.5,33.5
2020-02-26,16.679999999999996,17.574545454545454,16.60363636363636,16.679999999999996,13.2,16.7,13.3,13.2,22.5,18.4,21.8,22.5
2020-02-27,20.996363636363633,18.434545454545454,20.285454545454538,20.996363636363633,13.4,16.3,13.4,13.4,34.0,21.5,31.0,34.0
2020-02-28,19.492727272727272,18.06545454545455,19.083636363636362,19.492727272727272,13.1,16.4,13.1,13.1,32.0,20.1,29.0,32.0
2020-02-29,19.62,17.66181818181818,19.349090909090915,19.62,12.7,15.8,12.9,12.7,32.2,20.6,29.2,32.2
2020-03-01,17.067272727272726,17.581818181818186,16.93818181818182,17.067272727272726,13.2,16.3,13.3,13.2,26.8,19.8,26.0,26.8
2020-03-02,20.378181818181808,18.092727272727274,20.152727272727276,20.378181818181808,13.0,15.9,13.1,13.0,31.7,21.2,29.6,31.7
2020-03-03,21.270909090909083,18.916363636363638,20.945454545454552,21.270909090909083,14.0,16.9,14.0,14.0,34.9,21.7,31.9,34.9
2020-03-04,21.474545454545456,19.003636363636364,21.01454545454546,21.474545454545456,13.3,16.8,13.3,13.3,33.7,21.8,31.6,33.7
2020-03-05,17.543636363636367,18.02545454545454,17.565454545454553,17.543636363636367,13.3,16.0,13.3,13.3,26.6,20.0,26.6,26.6
2020-03-06,21.058181818181815,18.28727272727273,20.58727272727272,21.058181818181815,13.3,16.4,13.3,13.3,35.2,21.2,31.9,35.2
2020-03-07,20.950909090909093,17.812727272727273,20.32545454545455,20.950909090909093,13.0,14.5,13.1,13.0,34.2,20.5,31.1,34.2
2020-03-08,20.59454545454546,18.91090909090909,20.676363636363636,20.59454545454546,12.6,16.1,12.7,12.6,36.1,23.9,32.6,36.1
2020-03-09,13.7,15.249090909090905,13.845454545454547,13.7,12.9,14.6,13.0,12.9,14.7,16.5,14.9,14.7
2020-03-10,21.307272727272725,17.436363636363637,21.998181818181816,21.307272727272725,12.6,14.1,12.8,12.6,31.4,21.6,33.2,31.4
2020-03-11,16.469090909090912,17.94909090909091,16.518181818181823,16.469090909090912,15.2,17.6,15.2,15.2,18.2,18.5,18.2,18.2
2020-03-12,20.950909090909086,18.98181818181818,21.30363636363636,20.950909090909086,13.6,16.9,13.6,13.6,31.4,21.1,31.1,31.4
2020-03-13,21.420000000000005,18.870909090909098,22.005454545454548,21.420000000000005,13.2,16.6,13.3,13.2,32.7,22.2,32.1,32.7
2020-03-14,21.40363636363637,19.205454545454543,21.796363636363626,21.40363636363637,12.9,16.7,12.9,12.9,33.4,22.0,32.3,33.4
2020-03-15,16.423636363636362,17.581818181818186,16.552727272727267,16.423636363636362,13.3,16.3,13.2,13.3,22.3,19.3,25.3,22.3
2020-03-16,20.70181818181818,18.505454545454544,21.487272727272728,20.70181818181818,13.0,16.1,12.9,13.0,33.4,21.7,33.3,33.4
2020-03-17,19.861818181818183,18.401818181818186,20.803636363636365,19.861818181818183,13.2,16.1,13.0,13.2,29.8,21.2,31.9,29.8
2020-03-18,20.84727272727273,18.843636363636364,21.889090909090914,20.84727272727273,12.9,16.3,12.8,12.9,30.7,22.3,32.8,30.7
2020-03-19,20.88545454545455,19.08363636363636,21.525454545454544,20.88545454545455,13.2,16.8,13.1,13.2,29.9,22.2,33.0,29.9
2020-03-20,21.394545454545458,19.156363636363636,21.96909090909091,21.394545454545458,13.3,16.8,13.2,13.3,31.7,22.0,34.9,31.7
2020-03-21,20.692727272727275,19.54363636363636,21.394545454545458,20.692727272727275,13.8,17.6,13.5,13.8,28.5,21.5,31.1,28.5
2020-03-22,20.909090909090914,18.979999999999997,21.35272727272727,20.909090909090914,13.2,16.9,13.0,13.2,29.7,21.7,31.0,29.7
2020-03-23,19.927272727272722,19.067272727272726,20.38545454545455,19.927272727272722,13.1,17.1,13.0,13.1,28.5,21.3,30.2,28.5
2020-03-24,19.28545454545455,18.516363636363636,20.15636363636364,19.28545454545455,10.6,16.3,10.5,10.6,29.1,21.1,32.1,29.1
2020-03-25,17.26,17.163636363636364,17.87818181818182,17.26,8.3,14.7,8.1,8.3,27.2,19.5,30.4,27.2
2020-03-26,17.236363636363638,16.427272727272722,17.736363636363638,17.236363636363638,6.2,13.4,6.0,6.2,29.1,19.8,30.4,29.1
2020-03-27,17.576363636363634,16.360000000000003,17.54363636363636,17.576363636363634,5.2,12.8,4.9,5.2,30.5,20.2,29.6,30.5
2020-03-28,16.739999999999995,17.26909090909091,16.854545454545455,16.739999999999995,13.6,15.7,13.3,13.6,23.1,18.5,23.8,23.1
