date,T20_x,ST_x,T60_x,H_x,T20_y,ST_y,T60_y,H_y,T20,ST,T60,H
2020-01-30,17.032,19.364000000000004,17.136000000000003,17.032,13.3,17.5,13.3,13.3,27.4,21.5,28.0,27.4
2020-01-31,17.465277777777782,18.127777777777773,17.788888888888884,17.465277777777782,13.0,16.3,13.1,13.0,30.7,21.0,28.7,30.7
2020-02-01,17.462500000000002,17.468055555555555,17.856944444444448,17.462500000000002,12.8,13.5,13.0,12.8,29.7,20.5,28.2,29.7
2020-02-02,18.191666666666663,17.927777777777774,18.41388888888889,18.191666666666663,12.5,15.7,13.0,12.5,31.6,21.3,31.2,31.6
2020-02-03,17.084722222222222,17.63055555555555,17.19861111111111,17.084722222222222,12.7,15.8,13.0,12.7,26.1,20.5,26.0,26.1
2020-02-04,17.762499999999996,17.445833333333333,18.33888888888889,17.762499999999996,12.6,11.7,13.0,12.6,31.7,20.8,30.4,31.7
2020-02-05,17.072222222222212,17.515277777777776,17.505555555555567,17.072222222222212,12.1,15.5,12.9,12.1,27.3,20.4,27.2,27.3
2020-02-06,16.74305555555556,17.12777777777778,17.143055555555556,16.74305555555556,12.5,13.3,12.8,12.5,28.2,20.0,27.5,28.2
2020-02-07,17.59027777777778,17.41111111111111,17.569444444444443,17.59027777777778,12.3,15.5,12.7,12.3,28.6,20.5,27.7,28.6
2020-02-08,17.794444444444444,17.211111111111116,18.020833333333336,17.794444444444444,13.0,12.4,13.1,13.0,30.3,20.1,29.5,30.3
2020-02-09,17.166666666666664,17.544444444444444,17.53888888888889,17.166666666666664,12.6,15.8,12.9,12.6,28.7,20.4,29.7,28.7
2020-02-10,17.55833333333333,16.986111111111114,17.895833333333336,17.55833333333333,12.3,10.6,12.6,12.3,31.6,19.9,30.4,31.6
2020-02-11,17.93333333333333,17.734722222222224,18.21666666666667,17.93333333333333,12.6,15.8,12.9,12.6,33.7,20.5,32.3,33.7
2020-02-12,18.84583333333334,18.183333333333334,18.986111111111107,18.84583333333334,12.6,15.9,13.0,12.6,31.7,21.0,31.0,31.7
2020-02-13,19.56111111111111,19.131944444444443,19.491666666666667,19.56111111111111,14.8,17.4,14.7,14.8,30.0,21.9,29.9,30.0
2020-02-14,16.637500000000003,18.102777777777774,16.60555555555555,16.637500000000003,13.3,17.0,13.3,13.3,27.0,19.8,26.7,27.0
2020-02-15,18.41111111111111,17.98194444444444,17.44027777777778,18.41111111111111,13.3,16.4,13.3,13.3,26.6,20.4,26.2,26.6
2020-02-16,16.91805555555555,17.08611111111111,15.084722222222215,16.91805555555555,16.0,16.6,13.3,16.0,18.7,17.6,19.1,18.7
2020-02-17,19.138888888888896,17.990277777777777,18.444444444444443,19.138888888888896,13.2,16.4,13.2,13.2,35.0,20.5,30.2,35.0
2020-02-18,17.473611111111108,17.5875,17.386111111111116,17.473611111111108,12.2,16.2,12.8,12.2,30.7,19.8,27.4,30.7
2020-02-19,18.34583333333334,17.35277777777778,18.10694444444444,18.34583333333334,12.1,15.5,12.3,12.1,31.4,19.9,29.2,31.4
2020-02-20,18.56111111111112,18.029166666666665,18.502777777777784,18.56111111111112,12.7,16.0,13.0,12.7,27.6,20.5,26.9,27.6
2020-02-21,19.451388888888886,18.36666666666667,19.168055555555544,19.451388888888886,12.8,16.3,12.9,12.8,33.5,21.0,30.9,33.5
2020-02-22,16.236111111111114,17.259722222222223,15.952777777777776,16.236111111111114,13.2,15.5,13.3,13.2,22.2,17.8,21.7,22.2
2020-02-23,18.17222222222222,17.69305555555556,17.723611111111104,18.17222222222222,13.2,16.2,13.2,13.2,31.6,19.9,27.8,31.6
2020-02-24,19.762500000000003,18.155555555555555,19.20972222222222,19.762500000000003,12.8,16.2,12.9,12.8,33.5,20.7,30.5,33.5
2020-02-25,16.28194444444445,17.543055555555554,16.24166666666667,16.28194444444445,13.2,16.7,13.3,13.2,22.5,18.4,21.8,22.5
2020-02-26,19.669444444444437,18.5486111111111,19.140277777777776,19.669444444444437,13.4,16.3,13.4,13.4,34.0,21.5,31.0,34.0
2020-02-27,18.18472222222222,17.95555555555556,17.9111111111111,18.18472222222222,13.0,16.4,13.1,13.0,32.0,20.1,29.0,32.0
2020-02-28,18.472222222222225,17.711111111111112,18.287500000000005,18.472222222222225,12.7,15.8,12.9,12.7,32.2,20.6,29.2,32.2
