date,T20_mean_x,ST_mean_x,T60_mean_x,H_mean_x,T20_min_x,ST_min_x,T60_min_x,H_min_x,T20_max_x,ST_max_x,T60_max_x,H_max_x,T20_mean_y,ST_mean_y,T60_mean_y,H_mean_y,T20_min_y,ST_min_y,T60_min_y,H_min_y,T20_max_y,ST_max_y,T60_max_y,H_max_y,T20_mean_z,ST_mean_z,T60_mean_z,H_mean_z,T20_min_z,ST_min_z,T60_min_z,H_min_z,T20_max_z,ST_max_z,T60_max_z,H_max_z
2017-01-18,16.527083333333323,16.541666666666668,16.068055555555556,89.82638888888889,12.8,15.6,12.5,42.0,26.2,18.2,28.9,99.0,16.234027777777776,16.467361111111106,15.675694444444437,91.16666666666667,12.4,15.3,12.3,50.0,25.2,18.6,27.6,99.0,14.546527777777774,16.0861111111111,13.76527777777777,98.50694444444444,12.7,15.6,12.3,90.0,21.2,16.9,21.0,99.0
2017-01-19,17.231944444444448,17.09583333333333,16.926388888888894,87.77083333333333,12.7,15.5,12.5,41.0,27.7,19.5,28.0,99.0,16.527083333333323,16.541666666666668,16.068055555555556,89.82638888888889,12.8,15.6,12.5,42.0,26.2,18.2,28.9,99.0,16.234027777777776,16.467361111111106,15.675694444444437,91.16666666666667,12.4,15.3,12.3,50.0,25.2,18.6,27.6,99.0
2017-01-20,17.75138888888889,17.59305555555556,17.452083333333338,88.46527777777777,12.8,15.9,12.5,47.0,28.6,20.3,30.2,99.0,17.231944444444448,17.09583333333333,16.926388888888894,87.77083333333333,12.7,15.5,12.5,41.0,27.7,19.5,28.0,99.0,16.527083333333323,16.541666666666668,16.068055555555556,89.82638888888889,12.8,15.6,12.5,42.0,26.2,18.2,28.9,99.0
2017-01-21,16.708333333333332,17.473611111111115,16.277777777777775,96.42361111111111,13.3,16.4,13.2,73.0,26.8,19.8,26.2,99.0,17.75138888888889,17.59305555555556,17.452083333333338,88.46527777777777,12.8,15.9,12.5,47.0,28.6,20.3,30.2,99.0,17.231944444444448,17.09583333333333,16.926388888888894,87.77083333333333,12.7,15.5,12.5,41.0,27.7,19.5,28.0,99.0
2017-01-22,16.038194444444443,17.001388888888894,15.583333333333336,96.59722222222223,13.0,16.1,12.8,69.0,28.6,18.8,29.2,99.0,16.708333333333332,17.473611111111115,16.277777777777775,96.42361111111111,13.3,16.4,13.2,73.0,26.8,19.8,26.2,99.0,17.75138888888889,17.59305555555556,17.452083333333338,88.46527777777777,12.8,15.9,12.5,47.0,28.6,20.3,30.2,99.0
2017-01-23,17.674305555555563,17.618055555555557,17.35069444444444,88.85416666666667,13.0,15.9,12.9,46.0,27.4,20.5,28.9,99.0,16.038194444444443,17.001388888888894,15.583333333333336,96.59722222222223,13.0,16.1,12.8,69.0,28.6,18.8,29.2,99.0,16.708333333333332,17.473611111111115,16.277777777777775,96.42361111111111,13.3,16.4,13.2,73.0,26.8,19.8,26.2,99.0
2017-01-24,16.612500000000004,17.395833333333325,16.290972222222223,93.1875,12.9,16.1,12.8,52.0,29.9,19.8,29.4,99.0,17.674305555555563,17.618055555555557,17.35069444444444,88.85416666666667,13.0,15.9,12.9,46.0,27.4,20.5,28.9,99.0,16.038194444444443,17.001388888888894,15.583333333333336,96.59722222222223,13.0,16.1,12.8,69.0,28.6,18.8,29.2,99.0
2017-01-25,16.74097222222221,17.240277777777777,16.130555555555553,92.79861111111111,12.9,16.0,12.9,59.0,27.0,19.9,26.0,99.0,16.612500000000004,17.395833333333325,16.290972222222223,93.1875,12.9,16.1,12.8,52.0,29.9,19.8,29.4,99.0,17.674305555555563,17.618055555555557,17.35069444444444,88.85416666666667,13.0,15.9,12.9,46.0,27.4,20.5,28.9,99.0
2017-01-26,17.26597222222223,17.225694444444436,16.835416666666664,88.54861111111111,12.6,15.8,12.5,47.0,29.9,20.0,29.2,99.0,16.74097222222221,17.240277777777777,16.130555555555553,92.79861111111111,12.9,16.0,12.9,59.0,27.0,19.9,26.0,99.0,16.612500000000004,17.395833333333325,16.290972222222223,93.1875,12.9,16.1,12.8,52.0,29.9,19.8,29.4,99.0
2017-01-27,17.818055555555556,17.65,17.40555555555555,88.22222222222223,12.7,15.8,12.6,40.0,30.4,20.6,30.5,99.0,17.26597222222223,17.225694444444436,16.835416666666664,88.54861111111111,12.6,15.8,12.5,47.0,29.9,20.0,29.2,99.0,16.74097222222221,17.240277777777777,16.130555555555553,92.79861111111111,12.9,16.0,12.9,59.0,27.0,19.9,26.0,99.0
2017-01-28,17.75625000000001,17.77361111111111,17.257638888888884,89.41666666666667,12.7,16.0,12.6,45.0,30.1,20.7,30.2,99.0,17.818055555555556,17.65,17.40555555555555,88.22222222222223,12.7,15.8,12.6,40.0,30.4,20.6,30.5,99.0,17.26597222222223,17.225694444444436,16.835416666666664,88.54861111111111,12.6,15.8,12.5,47.0,29.9,20.0,29.2,99.0
2017-01-29,17.50347222222222,17.835416666666667,17.152083333333344,93.9375,12.7,16.1,12.9,54.0,28.4,20.1,29.0,99.0,17.75625000000001,17.77361111111111,17.257638888888884,89.41666666666667,12.7,16.0,12.6,45.0,30.1,20.7,30.2,99.0,17.818055555555556,17.65,17.40555555555555,88.22222222222223,12.7,15.8,12.6,40.0,30.4,20.6,30.5,99.0
2017-01-30,18.481250000000003,17.95069444444445,18.088888888888885,88.8125,13.0,16.3,13.1,42.0,29.8,20.7,30.1,99.0,17.50347222222222,17.835416666666667,17.152083333333344,93.9375,12.7,16.1,12.9,54.0,28.4,20.1,29.0,99.0,17.75625000000001,17.77361111111111,17.257638888888884,89.41666666666667,12.7,16.0,12.6,45.0,30.1,20.7,30.2,99.0
2017-01-31,17.694444444444454,18.04930555555556,17.447222222222212,93.65277777777777,12.7,16.4,12.7,61.0,29.3,20.6,28.8,99.0,18.481250000000003,17.95069444444445,18.088888888888885,88.8125,13.0,16.3,13.1,42.0,29.8,20.7,30.1,99.0,17.50347222222222,17.835416666666667,17.152083333333344,93.9375,12.7,16.1,12.9,54.0,28.4,20.1,29.0,99.0
