date,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max
2018-04-07,18.73611111111111,19.603472222222216,18.700694444444437,82.96666666666667,9.7,17.3,10.7,42.7,28.8,21.7,28.1,100.0
2018-04-08,17.549305555555563,18.175000000000004,17.753472222222214,70.80694444444447,7.3,15.4,8.3,23.5,32.6,21.3,37.4,94.3
2018-04-09,17.238194444444453,17.27916666666665,17.24236111111111,75.56458333333333,4.6,14.0,5.6,34.5,36.9,20.1,36.2,92.6
2018-04-10,19.740972222222222,18.356944444444444,19.604861111111124,68.15694444444445,8.6,15.4,9.3,24.0,33.1,20.9,35.5,93.8
2018-04-11,18.148611111111105,18.204861111111114,18.095138888888886,92.68194444444443,12.0,16.1,12.7,80.3,25.8,19.4,24.1,99.9
2018-04-12,22.48194444444444,20.290972222222223,22.74652777777776,76.6458333333333,13.9,18.2,14.7,26.9,34.5,22.5,38.2,99.7
2018-04-13,20.531944444444438,19.779861111111114,20.645138888888884,67.84027777777779,11.4,17.4,12.3,21.5,33.6,24.3,36.3,93.5
2018-04-14,19.51944444444443,19.200000000000006,19.37708333333332,83.3701388888889,11.5,17.5,12.2,45.4,31.0,20.9,29.1,95.8
2018-04-15,19.776388888888885,19.847916666666666,19.702777777777765,86.48055555555553,11.3,18.2,12.3,46.4,31.9,21.5,29.6,100.0
2018-04-16,19.84861111111111,18.945833333333336,19.781944444444445,73.69861111111109,9.6,16.3,10.4,32.7,31.8,20.9,34.6,94.5
2018-04-17,17.861805555555556,19.025,17.930555555555554,89.68402777777779,13.4,18.1,14.2,62.3,27.6,20.4,26.5,96.1
2018-04-18,19.713194444444444,19.375694444444445,19.704861111111107,81.5847222222222,12.9,17.8,13.8,38.6,34.2,21.2,38.8,97.6
2018-04-19,20.655555555555555,19.59930555555555,20.30902777777779,75.36527777777779,11.0,17.2,11.7,37.8,31.2,21.8,31.6,94.5
2018-04-20,21.994444444444436,20.474305555555556,21.94305555555556,69.42291666666667,11.5,17.9,12.3,33.7,33.1,22.9,36.0,99.4
2018-04-21,22.575694444444448,20.702083333333334,22.06180555555555,70.82083333333327,12.3,18.2,13.0,36.7,35.9,23.1,36.1,92.2
2018-04-22,22.199305555555558,21.086805555555557,21.926388888888898,71.17986111111111,12.3,18.6,12.9,29.4,34.6,23.5,35.4,92.2
2018-04-23,23.379166666666666,21.4,22.838888888888896,71.62777777777781,13.8,19.2,14.4,38.8,35.6,23.4,36.2,91.5
2018-04-24,19.836111111111112,20.99374999999999,19.85069444444443,87.81875000000001,17.6,20.5,17.8,67.3,25.8,21.5,24.6,100.0
2018-04-25,21.83402777777778,21.109027777777776,21.993055555555546,77.43819444444443,13.9,19.2,14.4,44.5,32.8,23.0,35.9,97.3
2018-04-26,21.605555555555558,21.09166666666667,21.495138888888892,64.33125,12.0,17.5,12.5,30.0,34.6,24.8,35.3,86.4
2018-04-27,20.93680555555556,21.322222222222226,20.92847222222222,72.53958333333333,15.1,19.3,15.6,51.1,29.0,23.5,29.4,88.2
2018-04-28,21.631249999999994,21.07013888888888,21.648611111111123,61.65555555555553,12.4,17.9,13.0,29.5,35.1,25.0,37.2,87.8
2018-04-29,22.37986111111111,21.602083333333322,22.116666666666653,66.73680555555552,12.6,18.2,13.3,32.1,33.8,25.4,34.7,89.9
2018-04-30,21.956944444444442,21.71805555555555,21.72152777777777,71.1777777777778,13.5,18.7,14.2,39.9,34.5,25.2,34.2,89.7
2018-05-01,23.332638888888898,22.27013888888889,23.13263888888889,67.94027777777774,14.4,19.3,15.2,36.9,33.6,25.5,34.7,90.8
2018-05-02,19.62222222222222,20.855555555555554,19.720138888888886,84.88541666666661,15.3,19.7,15.9,62.4,28.7,22.1,26.3,97.1
2018-05-03,21.40694444444444,21.35972222222221,21.243055555555554,77.76944444444445,14.5,19.0,14.9,57.7,28.3,23.2,27.7,98.2
2018-05-04,19.694444444444454,20.147222222222226,19.474999999999998,63.94930555555555,11.1,17.5,12.0,32.1,30.2,24.0,32.1,99.9
2018-05-05,20.121527777777782,19.77708333333333,19.776388888888885,65.46736111111113,9.0,16.3,9.9,32.4,30.5,23.1,31.0,92.6
2018-05-06,21.86458333333334,21.08819444444445,21.47152777777778,69.36805555555557,11.8,17.7,12.5,32.9,35.5,24.7,34.6,89.4
2018-05-07,17.729861111111102,19.690277777777794,17.981944444444448,95.08958333333334,14.9,19.1,15.5,88.5,21.2,20.4,20.8,100.0
2018-05-08,18.767361111111118,19.856250000000003,18.826388888888896,89.93541666666668,15.1,18.7,15.8,77.4,24.4,20.9,22.9,98.6
2018-05-09,19.59027777777779,19.670833333333334,19.18888888888889,78.45486111111109,13.8,18.2,14.4,45.6,32.4,22.1,28.7,96.5
2018-05-10,19.293055555555547,19.112499999999994,18.69027777777776,60.445833333333326,10.9,16.6,11.6,34.0,30.5,22.1,30.1,84.7
2018-05-11,19.933333333333323,19.232638888888886,19.24513888888889,64.37986111111115,8.6,15.6,9.4,27.8,33.5,22.8,30.9,100.0
2018-05-12,21.354166666666682,20.25486111111111,20.63125,70.67847222222218,10.8,16.8,11.6,31.2,34.2,24.0,32.5,96.0
2018-05-13,18.495138888888892,19.753472222222197,18.74444444444446,90.56458333333335,16.1,19.3,16.7,81.6,20.6,20.2,20.5,96.2
2018-05-14,24.618055555555568,21.819444444444443,23.777777777777786,70.2888888888889,17.0,19.2,17.4,39.5,34.3,24.7,35.3,97.6
2018-05-15,23.729166666666668,22.34791666666667,23.318055555555567,73.35972222222223,14.8,19.3,15.5,44.8,35.2,25.6,34.1,96.6
2018-05-16,23.493055555555546,22.26597222222223,22.729861111111113,81.45416666666665,16.0,20.1,16.6,58.6,31.7,24.1,28.6,100.0
2018-05-17,24.562500000000007,22.58625,24.348750000000003,78.025,18.7,21.3,19.1,52.3,34.4,25.9,33.6,93.4
